gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x888919d186aebff5:0x714a55b75f8c8137,Samurai Japan,"Samurai Japan, 700 Montgomery Hwy #178, Vestavia Hills, AL 35216",33.4456937,-86.792313,['Japanese restaurant'],5.0,14,,"[['Friday', '11AM–3PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM']]"
0x889293190fc87b75:0xc1a2e8c41b5beae2,Hibachi Joe's,"Hibachi Joe's, 3675 Montgomery Hwy, Dothan, AL 36303",31.2577225,-85.4345542,"['Japanese steakhouse', 'Caterer', 'Food producer', 'Takeout Restaurant', 'Party planner']",4.6,54,,"[['Saturday', '10:30AM–7PM'], ['Sunday', '11AM–5PM'], ['Monday', '10:30AM–7PM'], ['Tuesday', '10:30AM–7PM'], ['Wednesday', '10:30AM–7PM'], ['Thursday', '10:30AM–7PM'], ['Friday', '10:30AM–7PM']]"
0x8889191cc43fbc3d:0x9e230ad3cada6e7c,Sekisui,"Sekisui, 700 Montgomery Hwy #178, Vestavia Hills, AL 35216",33.4457162,-86.7923139,['Japanese restaurant'],4.1,8,,"[['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '11AM–11PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM']]"
0x8889179da3445e5b:0x39c8686e22b7dc4c,Asian Rim Birmingham,"Asian Rim Birmingham, 3419 Colonnade Pkwy #100, Birmingham, AL 35243",33.4385853,-86.72847399999999,"['Sushi restaurant', 'American restaurant', 'Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Japanese steakhouse', 'Pan-Asian restaurant', 'Thai restaurant']",4.4,45,,"[['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '11:30AM–8PM'], ['Monday', '11:30AM–9:30PM'], ['Tuesday', '11:30AM–9:30PM'], ['Wednesday', '11:30AM–9:30PM'], ['Thursday', '11:30AM–9:30PM']]"
0x88891bc479ad5109:0xb7b149bd159f6ca7,Sakura Japanese Restaurant,"Sakura Japanese Restaurant, 1025 20th St S, Birmingham, AL 35205",33.5011401,-86.7964781,['Japanese restaurant'],3.5,6,$$,
0x888921f720d4c2bb:0x1ea0b76677b22a4d,Otoro Hibachi,"Otoro Hibachi, 3435 S Shades Crest Rd, Hoover, AL 35226",33.3469184,-86.869453,['Japanese restaurant'],4.7,15,,"[['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]"
0x889a4e2fe7384a2f:0x953509856375f467,Wild Bowl & Sushi,"Wild Bowl & Sushi, 1500 Government St suite i, Mobile, AL 36604",30.6815565,-88.07361739999999,['Japanese restaurant'],4.4,64,,"[['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM']]"
0x8889cb80f95756e7:0x1f744c55e38e1437,Osaka hibachi&steakhouse,"Osaka hibachi&steakhouse, 1302 2nd Ave SW, Cullman, AL 35055",34.1641348,-86.83662389999999,['Japanese restaurant'],4.3,74,,"[['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM']]"
0x8889cb81af3a35f5:0xbdf1bbe24ff78013,Mt Fuji Restaurant,"Mt Fuji Restaurant, 1629 Town Square S W, Cullman, AL 35055",34.160962,-86.838635,['Japanese restaurant'],4.1,214,$$,"[['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–3PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM']]"
0x889bb3ab472e5183:0x8a14205acdc4f72d,Hibachi Express,"Hibachi Express, 5753 Old Shell Rd Suite 104, Mobile, AL 36608",30.6889693,-88.17516379999999,['Japanese restaurant'],4.3,8,$,"[['Tuesday', '10AM–9:30PM'], ['Wednesday', '10AM–9:30PM'], ['Thursday', '10AM–9:30PM'], ['Friday', '10AM–9:30PM'], ['Saturday', '10:30AM–9:30PM'], ['Sunday', '10:30AM–9PM'], ['Monday', '10AM–9:30PM']]"
0x888cf2e945e3161b:0xcce23a2cfb3b9476,Sakura Japanese,"Sakura Japanese, 819 E Glenn Ave, Auburn, AL 36830",32.6095545,-85.4638299,['Japanese restaurant'],2.9,8,,"[['Sunday', '11AM–10PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
0x889265be51194c41:0x57724ce4ad666ed7,Tonki Japanese Restaurant,"Tonki Japanese Restaurant, 96 AL-134, Daleville, AL 36322",31.307546199999997,-85.71575779999999,['Japanese restaurant'],4.6,48,,"[['Monday', '11AM–7:30PM'], ['Tuesday', '11AM–7:30PM'], ['Wednesday', '11AM–7:30PM'], ['Thursday', '11AM–7:30PM'], ['Friday', '11AM–7:30PM'], ['Saturday', '11AM–7:30PM'], ['Sunday', 'Closed']]"
0x888e81d0534a0605:0x7817830b4ec31503,스시카페,"36106 Alabama, Montgomery, Zelda Rd, 스시카페",32.3559222,-86.2652835,['Japanese restaurant'],4.3,7,,"[['Sunday', 'Closed'], ['Monday', '11AM–2PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '12–9:30PM']]"
0x88896d8dc9c9bbd9:0xd2cece961c7136c7,Sakura,"Alabama, Leeds, Ashville Rd, Sakura邮政编码: 35094",33.560060899999996,-86.5237264,"['Restaurant', 'Japanese restaurant']",3.5,19,,"[['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM']]"
