gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x513245b9c9fd6749:0xfff7913a8cae668f,fushimi Japanese,"fushimi Japanese, 607 Old Steese Hwy, Fairbanks, AK 99701",64.8499021,-147.6958315,['Japanese restaurant'],4.5,8,,"[['Sunday', '12–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
0x56c67b8b17d34cdf:0x8095fe0f2040c344,Samurai Sam's,"Samurai Sam's, 10544 Kenai Spur Hwy STE 4, Kenai, AK 99611",60.5599038,-151.2378767,"['Japanese restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Chinese restaurant', 'Fast food restaurant', 'Food court', 'Noodle shop', 'Salad shop', 'Thai restaurant']",3.5,18,$,
0x56c895d054898b81:0xf9e519569d587c28,Ryuu Bowl,"Ryuu Bowl, 1142 North Muldoon Road #120, Anchorage, AK 99504",61.228652499999995,-149.7423992,['Japanese restaurant'],4.3,34,,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', 'Closed']]"
0x56c8de1972a45fcb:0x6fddb4654ac3b94b,Khan's Sushi,"Khan's Sushi, 1731 E Palmer-Wasilla Hwy #200, Wasilla, AK 99654",61.577956,-149.4094029,['Japanese restaurant'],4.5,37,,"[['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '12–8PM'], ['Sunday', '12–8PM'], ['Monday', '11AM–3PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–3PM']]"
0x513245eb793ad429:0x3bb21b10e1254f7a,Oishi Bakery,"Oishi Bakery, 206 Driveway St, Fairbanks, AK 99701",64.845913,-147.7243545,"['Bakery', 'Japanese delicatessen']",4.5,18,,"[['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM']]"
0x56c897dd14b739bd:0x41f1b05bc9ca0c28,Arigato | Japanese Restaurant,"Arigato | Japanese Restaurant, 3315 Spenard Rd, Anchorage, AK 99503",61.1896414,-149.9078216,['Japanese restaurant'],4.6,108,,"[['Friday', '11:30AM–9PM'], ['Saturday', '11:30AM–9PM'], ['Sunday', '4–9PM'], ['Monday', '11:30AM–9PM'], ['Tuesday', '11:30AM–9PM'], ['Wednesday', '11:30AM–9PM'], ['Thursday', '11:30AM–9PM']]"
0x51324543ca842f51:0xd2b71488c56b89cc,Tokyo Express,"Tokyo Express, 516 Old Steese Hwy, Fairbanks, AK 99701",64.8503482,-147.69960559999998,['Japanese restaurant'],4.6,104,$$,"[['Monday', 'Closed'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM'], ['Sunday', 'Closed']]"
0x540c25a890084b51:0xc59c7a629715236e,Shogun Restaurant,"Shogun Restaurant, 1287 Tongass Ave, Ketchikan, AK 99901",55.3458962,-131.6603597,['Japanese restaurant'],4.1,55,$$,"[['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed']]"
0x56c89792ec8c7cb9:0xf7287462246ebb4f,Dish Sushi Bar,"Dish Sushi Bar, 639 W International Airport Rd, Anchorage, AK 99518",61.1739192,-149.89564249999998,"['Japanese restaurant', 'Asian restaurant', 'Bar', 'Cocktail bar', 'Restaurant', 'Sushi restaurant']",3.3,24,$$,"[['Sunday', 'Closed'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '12–10PM'], ['Saturday', '12–10PM']]"
0x50c2d8062f8c4cb5:0x81898422ceef1927,Osaka Restaurant,"Osaka Restaurant, 980 Stevenson St, Utqiagvik, AK 99723",71.29201809999999,-156.79074839999998,"['Japanese restaurant', 'Delivery Restaurant', 'Restaurant']",4.3,78,,"[['Friday', '6AM–12AM'], ['Saturday', '11AM–12AM'], ['Sunday', '6AM–12AM'], ['Monday', '6AM–12AM'], ['Tuesday', '6AM–12AM'], ['Wednesday', '6AM–12AM'], ['Thursday', '6AM–12AM']]"
0x56c864cfaf1f6187:0xa10e3d21479840d5,Sakura Asian Bistro,"Sakura Asian Bistro, 1000 Arlberg Ave, Girdwood, AK 99587",60.9704446,-149.0987185,"['Japanese restaurant', 'Sushi restaurant']",3.9,37,,"[['Wednesday', 'Closed'], ['Thursday', 'Closed'], ['Friday', '5–10PM'], ['Saturday', '5–10PM'], ['Sunday', '5–10PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed']]"
0x56c897c5384c53e9:0x9651b0980e60392c,The New Central Market,"The New Central Market, 555 W Northern Lights Blvd #100, Anchorage, AK 99503",61.1957655,-149.8943612,"['Asian grocery store', 'Grocery store', 'Indian grocery store', 'Japanese grocery store', 'Korean grocery store']",4.0,208,,"[['Tuesday', '9AM–8PM'], ['Wednesday', '9AM–8PM'], ['Thursday', '9AM–8PM'], ['Friday', '9AM–8PM'], ['Saturday', '9AM–8PM'], ['Sunday', '9AM–8PM'], ['Monday', '9AM–8PM']]"
0x56c897367ab01faf:0x49d34033bcb4823d,TOZAI Japanese restaurant / catering,"TOZAI Japanese restaurant / catering, 639 W International Airport Rd, Anchorage, AK 99518",61.1739233,-149.8953578,['Japanese restaurant'],4.6,87,,"[['Monday', '5–10PM'], ['Tuesday', '5–10PM'], ['Wednesday', '5–10PM'], ['Thursday', '5–10PM'], ['Friday', '5–11PM'], ['Saturday', '5–11PM'], ['Sunday', 'Closed']]"
