gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x872b06c0e4c2c79b:0x6c5530b133da1179,I Sushi,"I Sushi, 4939 W Ray Rd #1&2, Chandler, AZ 85226",33.3189967,-111.9258165,"['Restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Korean barbecue restaurant', 'Sushi restaurant']",4.3,8,,"[['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM'], ['Saturday', '11AM–2PM'], ['Sunday', 'Closed'], ['Monday', '11AM–2PM']]"
0x872b6df53a3bd1df:0xac587f858a1402a2,Yogis Grill - Bethany,"Yogis Grill - Bethany, 6075 N 19th Ave # 101, Phoenix, AZ 85015",33.5253008,-112.09925539999999,"['Japanese restaurant', 'Fast food restaurant', 'Pan-Asian restaurant', 'Sushi restaurant']",3.7,15,,"[['Monday', '10:30AM–9PM'], ['Tuesday', '10:30AM–9PM'], ['Wednesday', '10:30AM–9PM'], ['Thursday', '10:30AM–9PM'], ['Friday', '10:30AM–9PM'], ['Saturday', '10:30AM–9PM'], ['Sunday', 'Closed']]"
0x872b1555bd32fee9:0x89c4a6c01a58d24,Señor Yoshi,"Señor Yoshi, 4105 N 51st Ave, Phoenix, AZ 85031",33.4953348,-112.16652909999999,"['Asian restaurant', 'Japanese restaurant', 'Takeout Restaurant', 'Ramen restaurant', 'Sushi restaurant', 'Sushi takeaway', 'Udon noodle restaurant']",4.4,36,$,"[['Sunday', '11AM–5PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–8PM']]"
0x872b0b124545dc41:0xd7209beffc55c60,Blue Wasabi,"Blue Wasabi, 6137 N Scottsdale Rd, Scottsdale, AZ 85250",33.5261006,-111.9247608,"['Sushi restaurant', 'Japanese restaurant', 'Restaurant']",4.2,5,,
0x86d67321826590a7:0x3e4049d7c004acc7,Sushi Bomb,,32.15591,-110.883805,"['Japanese delicatessen', 'Service establishment']",5.0,5,,"[['Thursday', '12–8PM'], ['Friday', '12–8PM'], ['Saturday', '12–8PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '12–8PM'], ['Wednesday', '12–8PM']]"
0x872b13c24cff7a41:0x65fd775dc1a3721b,Sushi Tokoro,"Sushi Tokoro, 1575 E Camelback Rd, Phoenix, AZ 85014",33.508962,-112.04828909999999,"['Japanese restaurant', 'Sushi restaurant']",4.7,48,,"[['Sunday', '11AM–9:30PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
0x872b44b7c0b4f095:0x594e7915351c97e1,Samurai Sam's,"Samurai Sam's, 13761 W Bell Rd #211, Surprise, AZ 85374",33.63708,-112.3568569,"['Fast food restaurant', 'Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Restaurant']",2.9,8,,"[['Friday', '10:30AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', 'Closed'], ['Monday', '10:30AM–8PM'], ['Tuesday', '10:30AM–8PM'], ['Wednesday', '10:30AM–8PM'], ['Thursday', '10:30AM–8PM']]"
0x872b44c9d835b5e3:0xccda5859afd7b84b,Hayashi Hibachi,"Hayashi Hibachi, 13823 W Bell Rd, Surprise, AZ 85374",33.6382747,-112.35784009999999,"['Japanese restaurant', 'Asian restaurant', 'Japanese steakhouse', 'Steak house', 'Sushi restaurant']",3.3,27,,"[['Tuesday', '11AM–10:30PM'], ['Wednesday', '11AM–10:30PM'], ['Thursday', '11AM–10:30PM'], ['Friday', '11AM–11:30PM'], ['Saturday', '11AM–11:30PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10:30PM']]"
0x86d60dc7daea9887:0xd89d52fcbca8c68,Sakura Sushi,"Sakura Sushi, 12125 N Oracle Rd #105, Oro Valley, AZ 85737",32.425584,-110.938092,"['Sushi restaurant', 'Bar', 'Chinese restaurant', 'Japanese restaurant']",4.0,14,,"[['Sunday', '12–8PM'], ['Monday', '4–9PM'], ['Tuesday', '4–9PM'], ['Wednesday', '4–9PM'], ['Thursday', '4–9PM'], ['Friday', '4–10PM'], ['Saturday', '4–10PM']]"
0x80d663c2b3a2804b:0x7f47a6467ad83ae4,Rolls & Bowls Sushi of Foothills,"Rolls & Bowls Sushi of Foothills, 11242 S Foothills Blvd Suite 15, Yuma, AZ 85367",32.667159399999996,-114.41018369999999,"['Sushi restaurant', 'Asian fusion restaurant', 'Fusion restaurant', 'Japanese restaurant']",4.7,55,,"[['Tuesday', '11AM–7PM'], ['Wednesday', 'Closed'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM'], ['Sunday', '11AM–7PM'], ['Monday', '11AM–7PM']]"
0x872b0bbdc117e2c3:0x6b5e04bf709c8f67,Tokyo Tonic,"Tokyo Tonic, 7140 E 6th Ave, Scottsdale, AZ 85251",33.4989573,-111.92675299999999,"['Restaurant', 'Bar', 'Japanese restaurant', 'Karaoke bar', 'Sushi restaurant']",3.2,5,,"[['Friday', '3PM–12AM'], ['Saturday', '3PM–12AM'], ['Sunday', '3PM–12AM'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', 'Closed']]"
0x872a48ecc904cdd5:0xfb18b8f209622028,Wok N Roll Japanese and Chinese Cuisine,"Wok N Roll Japanese and Chinese Cuisine, 2510 E Hunt Hwy #21, San Tan Valley, AZ 85143",33.1370333,-111.53902819999999,"['Chinese restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant']",3.6,8,$$,"[['Friday', '4AM–10PM'], ['Saturday', '4AM–10PM'], ['Sunday', '4–8PM'], ['Monday', 'Closed'], ['Tuesday', '4AM–9PM'], ['Wednesday', '4AM–9PM'], ['Thursday', '4AM–9PM']]"
0x872b69a2e8e9c817:0xc4d37ae230d7bcae,Teriyaki Madness,"Teriyaki Madness, 16955 N 75th Ave Ste 115, Peoria, AZ 85382",33.6375218,-112.21963339999999,"['Asian fusion restaurant', 'Caterer', 'Fast food restaurant', 'Gluten-free restaurant', 'Japanese restaurant', 'Restaurant']",3.7,38,$,"[['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM']]"
0x872b08c270f19523:0xdaa8ee82ee40a41b,Osaka Grill Teriyaki & Roll,"Osaka Grill Teriyaki & Roll, 681 E Apache Blvd, Tempe, AZ 85281",33.4140371,-111.92894,['Japanese restaurant'],3.6,65,$$,"[['Monday', '12–11:30PM'], ['Tuesday', '12–11:30PM'], ['Wednesday', '12–11:30PM'], ['Thursday', '12–11:30PM'], ['Friday', '12–11:30PM'], ['Saturday', 'Closed'], ['Sunday', '12–11:30PM']]"
0x872b12c333458575:0x35e35437244c2fda,Kyoto Bowl,"Kyoto Bowl, 702 W Camelback Rd #1, Phoenix, AZ 85013",33.509789,-112.083452,"['Japanese restaurant', 'Asian restaurant']",3.1,18,$,"[['Monday', '10:30AM–9PM'], ['Tuesday', '10:30AM–9PM'], ['Wednesday', '10:30AM–9PM'], ['Thursday', '10:30AM–9PM'], ['Friday', '10:30AM–9PM'], ['Saturday', '10:30AM–9PM'], ['Sunday', '11AM–8PM']]"
0x872b7583be2ab90d:0xee5bc038334cf023,BIG EYE SUSHI BAR,"BIG EYE SUSHI BAR, 14144 N 100th St, Scottsdale, AZ 85260",33.613017899999996,-111.86503909999999,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant']",4.2,58,$$,"[['Sunday', 'Closed'], ['Monday', '4–9:30PM'], ['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM'], ['Saturday', '1–10:30PM']]"
0x872b75f31eb3e239:0x3b2411f791bbfd9c,Yama Sushi & Asian Cuisine,"Yama Sushi & Asian Cuisine, 7704 E Doubletree Ranch Rd, Scottsdale, AZ 85258",33.5652117,-111.91578829999999,['Japanese restaurant'],4.5,26,$$,"[['Sunday', '12–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
0x872b695814acc595:0x988c28f39973dc71,Daiso Japan,"Daiso Japan, 4330 W Union Hills Dr, Glendale, AZ 85308",33.6554545,-112.15410589999999,['Japanese confectionery shop'],3.8,28,,"[['Sunday', '9AM–9PM'], ['Monday', '9AM–9PM'], ['Tuesday', '9AM–9PM'], ['Wednesday', '9AM–9PM'], ['Thursday', '9AM–9PM'], ['Friday', '9AM–9PM'], ['Saturday', '9AM–9PM']]"
0x872b77142244235f:0xb137edc6db69e88c,Toyama Restaurant,"Toyama Restaurant, 23415 N Scottsdale Rd, Scottsdale, AZ 85255",33.6990666,-111.9235913,['Japanese restaurant'],4.6,54,$$,"[['Saturday', '5–10PM'], ['Sunday', '5–9PM'], ['Monday', 'Closed'], ['Tuesday', '5–9:30PM'], ['Wednesday', '5–9:30PM'], ['Thursday', '5–9:30PM'], ['Friday', '5–10PM']]"
0x872da3e1fd021b3b:0x497431dd4f4b3eb7,Takashi Japanese Restaurant,"Takashi Japanese Restaurant, 465 Jordan Rd # 1, Sedona, AZ 86336",34.873703,-111.761371,"['Japanese restaurant', 'Asian restaurant', 'Bar', 'Sushi restaurant']",4.3,28,$$,"[['Saturday', '4–8:30PM'], ['Sunday', '4–8:30PM'], ['Monday', 'Closed'], ['Tuesday', '12–8:30PM'], ['Wednesday', '4–8:30PM'], ['Thursday', '4–8:30PM'], ['Friday', '12–8:30PM']]"
0x872b0b3ee84ca069:0xd32e736e289eb4f0,ShinBay,"ShinBay, 3720 N Scottsdale Rd #201, Scottsdale, AZ 85251",33.491025,-111.926402,"['Japanese restaurant', 'Asian restaurant', 'Restaurant', 'Seafood restaurant']",4.7,44,,"[['Saturday', '5:45–10PM'], ['Sunday', '5:45–10PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '5:45–10PM'], ['Thursday', '5:45–10PM'], ['Friday', '5:45–10PM']]"
0x872b0756d50e4647:0x2608bca876929344,Seksun Sushi,"Seksun Sushi, 1175 W Ray Rd #3633, Chandler, AZ 85224",33.3200874,-111.8627319,"['Sushi restaurant', 'Japanese restaurant']",3.8,118,$$,"[['Friday', '11AM–10PM'], ['Saturday', '12–10PM'], ['Sunday', '12–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x872b744ad4cfd397:0x2e25bff595d237e4,Samurai Sam's,"Samurai Sam's, 15111 N Hayden Rd #120, Scottsdale, AZ 85260",33.622056,-111.904496,"['Japanese restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Chinese restaurant', 'Fast food restaurant', 'Food court', 'Noodle shop', 'Salad shop', 'Thai restaurant']",4.3,58,$,"[['Wednesday', '10AM–3:30PM'], ['Thursday', '10AM–3:30PM'], ['Friday', '10AM–3:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '10AM–3:30PM'], ['Tuesday', '10AM–3:30PM']]"
0x872b0bc064cbb9bb:0xe516771420e712e9,BENIHANA - Delivery Only,"BENIHANA - Delivery Only, 3815 N Scottsdale Rd, Scottsdale, AZ 85251",33.4920225,-111.9258761,['Japanese restaurant'],1.0,5,$$$,
