gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x87d3a9523186a76f:0xb00b3c5f666acf58,Noodle House,"Noodle House, 2412 E Race Ave, Searcy, AR 72143",35.2511685,-91.7081955,['Japanese restaurant'],4.3,38,,"[['Thursday', '11AM–2PM'], ['Friday', '4–9PM'], ['Saturday', '11AM–2PM'], ['Sunday', '12–8PM'], ['Monday', '11AM–2PM'], ['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM']]"
0x87d42c03e5a1ccc1:0x2e96cd992b4e6b10,Teriyaki Madness- Jonesboro,"Teriyaki Madness- Jonesboro, 2110 Fair Park Blvd, Jonesboro, AR 72401",35.8184444,-90.671955,"['Asian fusion restaurant', 'Asian restaurant', 'Japanese restaurant']",4.1,7,,
0x87d2818a8661d35b:0xfa8f98b12a3522f1,Sashimi Japanese Steakhouse Conway,"Sashimi Japanese Steakhouse Conway, 1700 Altus #105, Conway, AR 72032",35.1030143,-92.4384376,"['Japanese steakhouse', 'Asian restaurant', 'Japanese restaurant']",4.2,38,,"[['Saturday', '11AM–2PM'], ['Sunday', '5–8:30PM'], ['Monday', '11AM–2PM'], ['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM']]"
0x87d2a57933bf9f31:0x80c8a74be028286d,Ocko's Hibachi & More,"Ocko's Hibachi & More, 5420 Baseline Rd, Little Rock, AR 72209",34.6692325,-92.3385347,['Authentic Japanese restaurant'],4.3,18,$,"[['Saturday', '11AM–9PM'], ['Sunday', '11AM–3PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM']]"
0x87cd5742ae0091e9:0xac8101ca7e1b37c3,Chicot Hibachi Express - Bryant,"Chicot Hibachi Express - Bryant, 3213 Main St Suite 7, Bryant, AR 72022",34.6239869,-92.4969619,['Japanese restaurant'],4.7,18,,"[['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–8PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM']]"
0x87d2a3516ed0cd1b:0xb125ff032132bf6b,Shogun Japanese Steakhouse,"Shogun Japanese Steakhouse, 2815 Cantrell Rd, Little Rock, AR 72202",34.759676999999996,-92.30809719999999,"['Restaurant', 'Asian restaurant', 'Japanese restaurant', 'Japanese steakhouse', 'Sushi restaurant']",3.4,25,,"[['Thursday', '4–9:30PM'], ['Friday', '4–10:30PM'], ['Saturday', '4–10:30PM'], ['Sunday', '4–9:30PM'], ['Monday', '4–9:30PM'], ['Tuesday', '4–9:30PM'], ['Wednesday', '4–9:30PM']]"
0x87c911394a05f27f:0x2692bde7c23eb351,Chicot Hibachi Express - Bentonville,"Chicot Hibachi Express - Bentonville, 1401 S Walton Blvd Suite 21, Bentonville, AR 72712",36.3564314,-94.2117928,['Japanese restaurant'],3.5,36,,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM']]"
0x87c96ff3e92ab74d:0xd48734d398d15df7,Chicot Hibachi Express - Fayetteville,"Chicot Hibachi Express - Fayetteville, 2155 M.L.K. Jr Blvd, Fayetteville, AR 72701",36.0539512,-94.1901702,['Japanese restaurant'],4.1,68,,"[['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM']]"
0x87d2a120950fa557:0xea005f4d9f0e364f,Chicot Hibachi Express Colony West,"Chicot Hibachi Express Colony West, 10300 N Rodney Parham Rd ste D1, Little Rock, AR 72227",34.7682054,-92.38718709999999,['Japanese restaurant'],4.1,28,,"[['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9:30PM']]"
0x8632435e1ef3cb0b:0x301d670852ae0a92,Hachi Hachi,"Hachi Hachi, 1255 Cash Rd SW, Camden, AR 71701",33.5621369,-92.8533556,['Japanese restaurant'],4.7,28,,"[['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–2:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM']]"
0x87d27e7c749c6bd5:0xeb090ab24aea064e,Southern Hibachi Express,"Southern Hibachi Express, 1 Lake St, Greenbrier, AR 72058",35.2165062,-92.3878032,"['Asian restaurant', 'Caterer', 'Chinese takeaway', 'Japanese restaurant']",4.8,115,$$,"[['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM']]"
0x87d2af53c9c7b14f:0xa1ccc5a8d161ac8c,dapur hibachi batujaya,"dapur hibachi batujaya, 10700 Arch St, Little Rock, AR 72206",34.6523951,-92.3063347,['Japanese restaurant'],4.7,36,,"[['Sunday', 'Closed'], ['Monday', '11AM–8:30PM'], ['Tuesday', '11AM–8:30PM'], ['Wednesday', '11AM–8:30PM'], ['Thursday', '11AM–8:30PM'], ['Friday', '11AM–8:30PM'], ['Saturday', '11AM–8:30PM']]"
0x87c96f067f0e30e9:0xc21795c61a9e03a2,Kiko Rice & Noodle,"Kiko Rice & Noodle, 758 W North St, Fayetteville, AR 72701",36.0778452,-94.1698863,"['Japanese restaurant', 'Asian fusion restaurant']",4.7,45,,"[['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8PM']]"
