gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x808e4aaee95d631b:0xc9d0839a2aefcb64,Sushi 2-2 Train,"Sushi 2-2 Train, 18802 Cox Ave, Saratoga, CA 95070",37.280086499999996,-121.9996032,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Restaurant', 'Southeast Asian restaurant']",4.2,27,,"[['Wednesday', '11:30AM–2PM'], ['Thursday', '11:30AM–2PM'], ['Friday', '11:30AM–2PM'], ['Saturday', '5–9:30PM'], ['Sunday', '5–9PM'], ['Monday', '11:30AM–2PM'], ['Tuesday', '11:30AM–2PM']]"
0x80c2bed4c0875335:0x88562e8d30e3d33d,Kawaba Rice Ball,"Kawaba Rice Ball, 7368 Melrose Ave, Los Angeles, CA 90046",34.0833736,-118.35052809999999,"['Japanese restaurant', 'Deli', 'Fast food restaurant', 'Restaurant']",4.2,18,$,"[['Wednesday', '11AM–6PM'], ['Thursday', '11AM–6PM'], ['Friday', '11AM–6PM'], ['Saturday', '12–7PM'], ['Sunday', '12–7PM'], ['Monday', '11AM–6PM'], ['Tuesday', '11AM–6PM']]"
0x80c2bb5b4d293093:0x6f532d1e26b59ee5,Maru,"Maru, 12400 Wilshire Blvd #150, Los Angeles, CA 90025",34.041900999999996,-118.4697609,"['Sushi restaurant', 'Asian fusion restaurant', 'Californian restaurant', 'French restaurant', 'Japanese restaurant', 'New American restaurant', 'Restaurant']",4.6,8,$$,"[['Tuesday', '12–2:30PM'], ['Wednesday', '12–2:30PM'], ['Thursday', '12–2:30PM'], ['Friday', '12–2:30PM'], ['Saturday', '12–2:30PM'], ['Sunday', '6–10PM'], ['Monday', 'Closed']]"
0x808e4aaee95d631b:0xc9d0839a2aefcb64,Sushi 2-2 Train,"Sushi 2-2 Train, 18802 Cox Ave, Saratoga, CA 95070",37.280086499999996,-121.9996032,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Restaurant', 'Southeast Asian restaurant']",4.2,27,,"[['Wednesday', '11:30AM–2PM'], ['Thursday', '11:30AM–2PM'], ['Friday', '11:30AM–2PM'], ['Saturday', '5–9:30PM'], ['Sunday', '5–9PM'], ['Monday', '11:30AM–2PM'], ['Tuesday', '11:30AM–2PM']]"
0x80c2bed4c0875335:0x88562e8d30e3d33d,Kawaba Rice Ball,"Kawaba Rice Ball, 7368 Melrose Ave, Los Angeles, CA 90046",34.0833736,-118.35052809999999,"['Japanese restaurant', 'Deli', 'Fast food restaurant', 'Restaurant']",4.2,18,$,"[['Wednesday', '11AM–6PM'], ['Thursday', '11AM–6PM'], ['Friday', '11AM–6PM'], ['Saturday', '12–7PM'], ['Sunday', '12–7PM'], ['Monday', '11AM–6PM'], ['Tuesday', '11AM–6PM']]"
0x80c2bb5b4d293093:0x6f532d1e26b59ee5,Maru,"Maru, 12400 Wilshire Blvd #150, Los Angeles, CA 90025",34.041900999999996,-118.4697609,"['Sushi restaurant', 'Asian fusion restaurant', 'Californian restaurant', 'French restaurant', 'Japanese restaurant', 'New American restaurant', 'Restaurant']",4.6,8,$$,"[['Tuesday', '12–2:30PM'], ['Wednesday', '12–2:30PM'], ['Thursday', '12–2:30PM'], ['Friday', '12–2:30PM'], ['Saturday', '12–2:30PM'], ['Sunday', '6–10PM'], ['Monday', 'Closed']]"
0x80c2dade5579b0fb:0xb267081228f8a251,Yichi Mi (Japanese Restaurant),"Yichi Mi (Japanese Restaurant), 708, d, 1543, E Las Tunas Dr, San Gabriel, CA 91776",34.1030556,-118.09166669999999,['Japanese restaurant'],4.0,8,,"[['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–9:30PM']]"
0x80c2c3702cc3c2cd:0x90634b9fb0b01daf,San Restaurant,"San Restaurant, 124 E Colorado Blvd, Pasadena, CA 91105",34.1456399,-118.1478849,"['Seafood restaurant', 'Japanese restaurant']",4.6,18,$,"[['Monday', '11AM–11PM'], ['Tuesday', '11AM–11PM'], ['Wednesday', '11AM–11PM'], ['Thursday', '11AM–11PM'], ['Friday', '11AM–11:30PM'], ['Saturday', '11AM–11:30PM'], ['Sunday', '11AM–10PM']]"
0x80c2bb9c60b71fd5:0x257df43021838bbe,Sushi Masu,"Sushi Masu, 1911 Westwood Blvd, Los Angeles, CA 90025",34.0477539,-118.4353355,"['Sushi restaurant', 'Barbecue restaurant', 'Japanese restaurant', 'Restaurant']",4.3,26,$$$$,
0x80c2c920e14eef15:0x5742c3ff75909ee3,Tokyo Bowl,"Tokyo Bowl, 5938 Pacific Blvd, Huntington Park, CA 90255",33.9873914,-118.22461279999999,"['Japanese restaurant', 'Asian restaurant']",4.2,38,$,"[['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', '11AM–8PM']]"
0x80c2d2d990b701e5:0x824ee9fed19d4edb,Happy Bowl,"Happy Bowl, 12327 Imperial Hwy, Norwalk, CA 90650",33.9180156,-118.0702578,"['Japanese restaurant', 'Asian restaurant', 'Takeout Restaurant', 'Restaurant']",4.5,28,,"[['Sunday', 'Closed'], ['Monday', '9:30AM–8:45PM'], ['Tuesday', '9:30AM–8:45PM'], ['Wednesday', '9:30AM–8:45PM'], ['Thursday', '9:30AM–8:45PM'], ['Friday', '9:30AM–8:45PM'], ['Saturday', '9:30AM–8:45PM']]"
0x808fb57e6fb67d37:0x2d2287d4a52a0cf4,Ariake Express,"Ariake Express, 5190 Stevens Creek Blvd, San Jose, CA 95129",37.3227854,-121.9948021,"['Japanese restaurant', 'Sushi restaurant']",4.0,48,,"[['Sunday', '8AM–9PM'], ['Monday', '8AM–6PM'], ['Tuesday', '8AM–9PM'], ['Wednesday', '8AM–9PM'], ['Thursday', '8AM–9PM'], ['Friday', '8AM–9PM'], ['Saturday', '8AM–9PM']]"
0x808fb56729b82663:0x22759268afc1c9c3,Roll N Noodle Food Court,"Roll N Noodle Food Court, 1092 E El Camino Real, Sunnyvale, CA 94087",37.3514093,-122.00177339999999,"['Food court', 'Chinese restaurant', 'Japanese restaurant']",4.9,8,,"[['Saturday', '11AM–6:30PM'], ['Sunday', '11AM–6:30PM'], ['Monday', '11AM–6:30PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–6:30PM'], ['Thursday', '11AM–6:30PM'], ['Friday', '11AM–6:30PM']]"
0x80dbf92bad839d97:0xce17cfd1d54c7053,Rice N Roll,"Rice N Roll, 9506 Miramar Rd, San Diego, CA 92126",32.8942319,-117.1230923,['Japanese restaurant'],3.7,8,$,"[['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM']]"
