gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x876c7799d5b69077:0x47c7d3800a5f15a0,Spicy Thai and Sushi,"Spicy Thai and Sushi, 3041 W 92nd Ave, Westminster, CO 80031",39.8638708,-105.025926,"['Asian restaurant', 'Japanese restaurant', 'Sushi restaurant', 'Thai restaurant']",4.5,38,,"[['Tuesday', '4–9PM'], ['Wednesday', '11:30AM–9PM'], ['Thursday', '11:30AM–9PM'], ['Friday', '11:30AM–9PM'], ['Saturday', '12–9PM'], ['Sunday', '12–8:30PM'], ['Monday', '11:30AM–9PM']]"
0x876c85a60ef66d07:0x468dac9aba3b47f2,Yuki Sushi Robata,"Yuki Sushi Robata, 9447 Park Meadows Dr, Lone Tree, CO 80124",39.5549756,-104.87955149999999,"['Japanese restaurant', 'Sushi restaurant']",3.8,5,$$,
0x87694bf548b36f15:0x61d0bc8e38fbd271,Mi Sushi (Korean Food),"Mi Sushi (Korean Food), 200 W Prospect Rd, Fort Collins, CO 80526",40.5674213,-105.0793688,['Japanese restaurant'],4.3,68,,"[['Thursday', '11AM–3PM'], ['Friday', '12–3PM'], ['Saturday', '12–3PM'], ['Sunday', '12–3PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM']]"
0x873c0390809c360b:0xbdc231348fd6b47c,Manny Fresh-Co | Catering Truck,"Manny Fresh-Co | Catering Truck, 1101 Main Ave, Durango, CO 81301",37.2758611,-107.8802549,"['Asian fusion restaurant', 'Japanese restaurant', 'Ramen restaurant', 'Sushi restaurant']",4.8,6,,"[['Thursday', '12–8PM'], ['Friday', '12–8PM'], ['Saturday', '12–8PM'], ['Sunday', 'Closed'], ['Monday', '12–8PM'], ['Tuesday', '12–8PM'], ['Wednesday', '12–8PM']]"
0x876b8c9ba6d50e8f:0x21345a3266d11288,Sarku Japan,"Sarku Japan, 1 West Flatiron Crossing Drive Unit #FF-224, Broomfield, CO 80021",39.9328959,-105.1331022,"['Japanese restaurant', 'Asian restaurant', 'Fast food restaurant', 'Restaurant', 'Sushi restaurant', 'Teppanyaki restaurant']",4.0,48,$,"[['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–7PM']]"
0x876c7cb31c132adf:0x81bdf59cf77b624d,Blue Lagoon Asian Bistro,"Blue Lagoon Asian Bistro, 1695 Peoria St, Aurora, CO 80010",39.743592,-104.847515,"['Sushi restaurant', 'Asian fusion restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Delivery Restaurant', 'Takeout Restaurant']",3.3,95,$$,"[['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11:30AM–9:30PM'], ['Sunday', '11:30AM–9PM']]"
0x8741ad9cda499d11:0xc3997f0b4d1232c2,Thai House Co. & Sushi,"Thai House Co. & Sushi, 60 El Jebel Rd UNIT 103, El Jebel, CO 81623",39.3941841,-107.08944699999999,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Thai restaurant']",4.7,68,$$,"[['Friday', '5:30–8:45PM'], ['Saturday', '5:30–8:45PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '5:30–8:45PM'], ['Thursday', '5:30–8:45PM']]"
0x876b89bba28cbc1d:0x906094afe5ba4544,Kyoto Teriyaki,"Kyoto Teriyaki, 6050 W 92nd Ave, Westminster, CO 80031",39.8625696,-105.0641182,['Japanese restaurant'],4.7,48,,"[['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM']]"
0x876bfb180efe0923:0x830b31dd2cb14b34,Teriyaki Madness,"Teriyaki Madness, 1232 S Hover St, Longmont, CO 80501",40.1477119,-105.12962549999999,"['Asian fusion restaurant', 'Caterer', 'Fast food restaurant', 'Gluten-free restaurant', 'Japanese restaurant']",3.9,16,$,"[['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]"
0x876c7f8c28886a99:0xa4d4fba857621f93,Hasu Sushi & Grill,"Hasu Sushi & Grill, 250 Steele St #104, Denver, CO 80206",39.720426599999996,-104.9495274,['Japanese restaurant'],4.3,45,$$,"[['Friday', '11:30AM–10PM'], ['Saturday', '12–10PM'], ['Sunday', '12–9:30PM'], ['Monday', '11:30AM–2:30PM'], ['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM']]"
