gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x89e7bbdce46c1577:0x53d35d7d9f28bafe,Fuji Japanese Steakhouse,"Fuji Japanese Steakhouse, 1186 Farmington Ave, Bristol, CT 06010",41.696427199999995,-72.9036352,"['Japanese restaurant', 'Restaurant']",3.7,28,,"[['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM']]"
0x89e64a431199d983:0x325fdd1dc78f7782,Anoho,"Anoho, 320 Main St, Middletown, CT 06457",41.5608545,-72.6495819,"['Chinese restaurant', 'Asian restaurant', 'Japanese restaurant', 'Delivery Restaurant', 'Takeout Restaurant', 'Sushi restaurant']",3.9,7,,"[['Saturday', '11:30AM–10:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '11:30AM–9:30PM'], ['Tuesday', '11:30AM–9:30PM'], ['Wednesday', '11:30AM–9:30PM'], ['Thursday', '11:30AM–9:30PM'], ['Friday', '11:30AM–10:30PM']]"
0x89e7c956fd65a417:0xd880acef4615098c,Tan Po Po Wallingford,"Tan Po Po Wallingford, 950 Yale Ave, Wallingford, CT 06492",41.490175799999996,-72.8078476,['Japanese restaurant'],5.0,8,,"[['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–9:30PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM']]"
0x89e81c706062c3b5:0xbaec028e91d58a35,GENJI,"GENJI, 399 Post Rd W, Westport, CT 06880",41.1280498,-73.3801871,['Japanese restaurant'],4.0,8,$$,"[['Saturday', '8AM–10PM'], ['Sunday', '8AM–10PM'], ['Monday', '8AM–10PM'], ['Tuesday', '8AM–10PM'], ['Wednesday', '8AM–10PM'], ['Thursday', '8AM–10PM'], ['Friday', '8AM–10PM']]"
0x89e6f70f9b21b46f:0x6bf7e4f059404ff8,Umami Japanese Restaurant,"Umami Japanese Restaurant, 172 Union St, Vernon, CT 06066",41.868614,-72.4631179,"['Japanese restaurant', 'Sushi restaurant']",4.7,33,,"[['Tuesday', 'Closed'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–9:30PM']]"
0x89e7da2664566d5f:0x7e32fbbf4eef1455,1370 Hibachi Express,"1370 Hibachi Express, 1370 Dixwell Ave, Hamden, CT 06514",41.350412999999996,-72.9321234,"['Restaurant', 'Japanese restaurant']",4.3,58,$,"[['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–8PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x89c2a18da119392d:0xafb69db4ab2f6314,Pearl East,"Pearl East, 2720 Summer St, Stamford, CT 06905",41.0693647,-73.5494053,"['Chinese restaurant', 'Japanese restaurant', 'Restaurant']",2.9,8,$$,
0x89e6ffc0ec475f21:0x4de8080ade1a2e54,Bamboo Garden Restaurant,"Bamboo Garden Restaurant, 555 Day Hill Rd, Windsor, CT 06095",41.8739896,-72.6881942,"['Chinese restaurant', 'Japanese restaurant']",3.5,26,$$,"[['Thursday', '11:30AM–9:30PM'], ['Friday', '11:30AM–10:30PM'], ['Saturday', '11:30AM–10:30PM'], ['Sunday', '12AM–9:30PM'], ['Monday', '11:30AM–9:30PM'], ['Tuesday', '11:30AM–9:30PM'], ['Wednesday', '11:30AM–9:30PM']]"
0x89e67106ffa194ad:0x1ff31de2ad7bd3d1,Ice & Fire Asian Cuisine,"Ice & Fire Asian Cuisine, 85 Main St, Norwich, CT 06360",41.524167999999996,-72.0779902,"['Asian fusion restaurant', 'Japanese restaurant']",4.4,5,,"[['Sunday', '12–10PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM']]"
0x89e6e4d0768ac801:0xf9c7d2af7b7e83c9,Oyama Japanese Cuisine,"Oyama Japanese Cuisine, 136 Elm St, Enfield, CT 06082",41.997621599999995,-72.57684809999999,"['Japanese restaurant', 'Asian restaurant', 'Sushi restaurant']",3.3,48,$,"[['Monday', 'Closed'], ['Tuesday', '11:30AM–3PM'], ['Wednesday', '11:30AM–3PM'], ['Thursday', '11:30AM–3PM'], ['Friday', '11:30AM–3PM'], ['Saturday', '11:30AM–3PM'], ['Sunday', '12–10PM']]"
0x89e700ab7daa548f:0x908ef6ba7e0d4eb6,Sakimura Japanese Restaurant,"Sakimura Japanese Restaurant, 10 Wilcox St, Simsbury, CT 06070",41.874193,-72.8011255,"['Japanese restaurant', 'Restaurant']",2.4,66,$$,"[['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–2:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–2:30PM']]"
