gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x89c7abb045b7295f:0xea8a98517a0ddff4,Oishii ocean Japanese & Cajun seafood,"Oishii ocean Japanese & Cajun seafood, 170 E Main St, Newark, DE 19711",39.6838039,-75.7461728,['Japanese restaurant'],4.9,38,,"[['Sunday', '12–9:30PM'], ['Monday', '12–9:30PM'], ['Tuesday', '12–9:30PM'], ['Wednesday', '12–9:30PM'], ['Thursday', '12–9:30PM'], ['Friday', '12–10PM'], ['Saturday', '12–10PM']]"
0x89c709fd052bfc5d:0x77216f506e95dc03,Ohama Japanese Restaurant,"Ohama Japanese Restaurant, 4456 Summit Bridge Rd, Middletown, DE 19709",39.5126741,-75.712355,['Japanese restaurant'],4.3,58,$$,"[['Tuesday', '5–9PM'], ['Wednesday', '5–9PM'], ['Thursday', '5–9PM'], ['Friday', '5–9PM'], ['Saturday', '5–9PM'], ['Sunday', '5–9PM'], ['Monday', 'Closed']]"
0x89c7aa6b4bcc82b7:0x106bfc87c1236af8,Hibachi Japanese Steak House,"Hibachi Japanese Steak House, 216 Astro Shopping Center, Newark, DE 19711",39.707132699999995,-75.68606439999999,"['Japanese steakhouse', 'Restaurant']",3.5,66,$$,"[['Tuesday', '4–9:30PM'], ['Wednesday', '4–9:30PM'], ['Thursday', '4–9:30PM'], ['Friday', '4–10:30PM'], ['Saturday', '12–10:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '4–9:30PM']]"
0x89c7001f76de0a33:0x4c046c68621f094e,Sushi Xtreme,"Sushi Xtreme, 4708 Limestone Rd, Wilmington, DE 19808",39.7393888,-75.6924713,"['Sushi restaurant', 'Japanese restaurant']",4.6,208,,"[['Monday', 'Closed'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9PM']]"
0x89c7a84dabb2d0d3:0xa938be7ccf2ddfd1,Four Seasons Asian Cuisine,"Four Seasons Asian Cuisine, 620 Plaza Dr, Newark, DE 19702",39.6276103,-75.74642999999999,"['Buffet restaurant', 'Asian restaurant', 'Japanese restaurant']",2.8,58,$,"[['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM']]"
0x89c7aa1682721d71:0x2fac0c62c592ffd2,Bamboo House Restaurant,"Bamboo House Restaurant, 721 College Square, Newark, DE 19711",39.681892399999995,-75.7329178,"['Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.2,58,$,"[['Wednesday', '11:30AM–3PM'], ['Thursday', '11:30AM–3PM'], ['Friday', '11:30AM–3PM'], ['Saturday', '11:30AM–3PM'], ['Sunday', '12–9:30PM'], ['Monday', '11:30AM–3PM'], ['Tuesday', '11:30AM–3PM']]"
0x89c7aa3bea20bfef:0x83c1f7cd02702ee9,Mayflower Japanese Restaurant,"Mayflower Japanese Restaurant, 230 E Main St Suite 626, Newark, DE 19711",39.6852296,-75.7444628,"['Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.1,148,$,"[['Tuesday', '1–10PM'], ['Wednesday', '1–10PM'], ['Thursday', '1–10PM'], ['Friday', '1–10PM'], ['Saturday', '1–10PM'], ['Sunday', '1–10PM'], ['Monday', '1–10PM']]"
0x89c6fd51a6ca7901:0x825e4b41e1cb7723,Teriyaki Madness,"Teriyaki Madness, 3311 Concord Pike, Wilmington, DE 19803",39.8017185,-75.5478444,"['Asian fusion restaurant', 'Caterer', 'Fast food restaurant', 'Gluten-free restaurant', 'Japanese restaurant', 'Restaurant']",4.0,137,$,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM']]"
0x89b8d961c5d4d9a5:0x2d28ef12c2251b0f,China Chef,"China Chef, 36666 W Bluewater Run, Selbyville, DE 19975",38.471210299999996,-75.1123599,"['Chinese restaurant', 'Asian restaurant', 'Japanese restaurant', 'Seafood restaurant', 'Vegetarian restaurant']",3.9,138,$,"[['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '12–10PM'], ['Monday', '11AM–10PM']]"
0x89c701c8b9841c55:0x895df9f1f88b3b2e,New Hibachi Express,"New Hibachi Express, 4526B Kirkwood Hwy, Wilmington, DE 19808",39.7241559,-75.6564836,['Japanese restaurant'],3.6,78,,"[['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11:30AM–9:30PM'], ['Monday', '11AM–9:30PM']]"
