gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x89b7b799cd314b7f:0x5956f0f147c59cec,Kabuki Sushi & Teryaki,"Kabuki Sushi & Teryaki, 1300 Pennsylvania Avenue NW #103, Washington, DC 20004",38.8940063,-77.0307452,"['Japanese restaurant', 'Restaurant']",2.1,38,$$,"[['Saturday', '11AM–6PM'], ['Sunday', '12–5PM'], ['Monday', '7AM–7PM'], ['Tuesday', '7AM–7PM'], ['Wednesday', '7AM–7PM'], ['Thursday', '7AM–7PM'], ['Friday', '7AM–7PM']]"
0x89b7b64957a3c367:0xa2c0b2e3ceff435f,Chopsticks,"Chopsticks, 1073 Wisconsin Ave NW, Washington, DC 20007",38.904689999999995,-77.062547,['Japanese restaurant'],3.4,7,$$,"[['Thursday', '11:30AM–10PM'], ['Friday', '11:30AM–11PM'], ['Saturday', '11:30AM–11PM'], ['Sunday', '11:30AM–10PM'], ['Monday', '11:30AM–10PM'], ['Tuesday', '11:30AM–10PM'], ['Wednesday', '11:30AM–10PM']]"
0x89b7b624cd5f7b9b:0xcdd8b67c944db7a5,Sushi Keiko,"Sushi Keiko, 2309 Wisconsin Ave NW, Washington, DC 20007",38.9206217,-77.0714185,"['Sushi restaurant', 'Japanese restaurant', 'Restaurant']",4.2,76,$$,"[['Tuesday', '11:30AM–8:30PM'], ['Wednesday', '11:30AM–8:30PM'], ['Thursday', '11:30AM–8:30PM'], ['Friday', '11:30AM–8:30PM'], ['Saturday', '4:30–8:30PM'], ['Sunday', '4:30–8:30PM'], ['Monday', '11:30AM–8:30PM']]"
0x89b7b7e64ac2974d:0xa290d9f83a1a82d2,Sala Thai Restaurant,"Sala Thai Restaurant, 1301 U St NW, Washington, DC 20009",38.9171388,-77.03016889999999,"['Thai restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.1,38,$$,"[['Tuesday', '11:30AM–10PM'], ['Wednesday', '11:30AM–10PM'], ['Thursday', '11:30AM–10PM'], ['Friday', '11:30AM–11PM'], ['Saturday', '12–11PM'], ['Sunday', '12–10PM'], ['Monday', '11:30AM–10PM']]"
0x89b7b7d980b521b5:0x876cc39ca4eb0e17,Asian North Sushi Bar (North Sea),"Asian North Sushi Bar (North Sea), 1784 Florida Ave NW, Washington, DC 20009",38.9167199,-77.0413681,"['Sushi restaurant', 'Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Thai restaurant', 'Vietnamese restaurant']",3.2,13,$$,"[['Sunday', '12–11:45PM'], ['Monday', '11AM–11:45PM'], ['Tuesday', '11AM–11:45PM'], ['Wednesday', '11AM–11:45PM'], ['Thursday', '11AM–11:45PM'], ['Friday', '11AM–11:45PM'], ['Saturday', '11AM–11:45PM']]"
0x89b7b7584644c729:0xc54467546c04377e,Shibuya Eatery,"Shibuya Eatery, 2321 18th St NW, Washington, DC 20009",38.9202733,-77.04157049999999,['Authentic Japanese restaurant'],4.2,38,$$,"[['Thursday', '12–10PM'], ['Friday', '12–10PM'], ['Saturday', '12–10PM'], ['Sunday', '12–10PM'], ['Monday', 'Closed'], ['Tuesday', '12–10PM'], ['Wednesday', '12–10PM']]"
0x89b7b7205a420fe5:0x363259c3e118ffb8,Nama Sushi Bar & Restaurant,"Nama Sushi Bar & Restaurant, 465 K St NW, Washington, DC 20001",38.9027655,-77.0182122,"['Sushi restaurant', 'Japanese restaurant']",4.3,58,,"[['Thursday', '4–9PM'], ['Friday', '4–10PM'], ['Saturday', '4–10PM'], ['Sunday', '4–9PM'], ['Monday', '4–9PM'], ['Tuesday', '4–9PM'], ['Wednesday', '4–9PM']]"
0x89b7b7b8b3a218df:0xe7ff7687da5c1636,Suki Asia,"Suki Asia, 1721 M St NW, Washington, DC 20036",38.9058306,-77.0395535,"['Sushi restaurant', 'Japanese restaurant', 'Seafood restaurant']",4.3,52,$,"[['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM']]"
0x89b7b790f56387c5:0x761238912aeebd4c,Asia Nine,"Asia Nine, 915 E St NW, Washington, DC 20004",38.8964985,-77.0249414,"['Sushi restaurant', 'Asian restaurant', 'Bar', 'Japanese restaurant', 'Lounge', 'Noodle shop', 'Pan-Asian restaurant', 'Restaurant', 'Thai restaurant']",4.2,597,$$,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '12–10PM'], ['Sunday', '4–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM']]"
0x89b7b75aa101e99f:0x454bfc61720c87a,Akira Ramen & Izakaya DC,"Akira Ramen & Izakaya DC, 2479 18th St NW, Washington, DC 20009",38.9224744,-77.0423299,"['Restaurant', 'Japanese restaurant', 'Ramen restaurant', 'Sushi restaurant']",4.7,44,,"[['Sunday', '12–10PM'], ['Monday', '12–10PM'], ['Tuesday', 'Closed'], ['Wednesday', '12–10PM'], ['Thursday', '12–10PM'], ['Friday', '12–10:30PM'], ['Saturday', '12–10:30PM']]"
