gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x88d91bcb90e4be4f:0x306dee8d258b0a53,Nikuya Sushi Thai Bistro,"Nikuya Sushi Thai Bistro, 11395 W Palmetto Park Rd suite d, Boca Raton, FL 33428",26.3495694,-80.2284805,"['Asian fusion restaurant', 'Japanese restaurant', 'Japanese steakhouse', 'Delivery Restaurant', 'Restaurant', 'Sushi restaurant', 'Thai restaurant']",4.7,25,,"[['Monday', '5–10PM'], ['Tuesday', '5–10PM'], ['Wednesday', '5–10PM'], ['Thursday', '12–3PM'], ['Friday', '12–3PM'], ['Saturday', '1–11PM'], ['Sunday', '1–10PM']]"
0x88e8a2c3034aa271:0x53f690485e70bc26,Rolls 'n Bowls,"Rolls 'n Bowls, 3117 SW 34th St, Gainesville, FL 32608",29.6249434,-82.3713817,"['Asian restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant']",3.8,8,$$,
0x88d9b48875565595:0xc6f6d04f72f1bf4e,Wok Town Miami Beach,"Wok Town Miami Beach, 1570 Alton Rd, Miami Beach, FL 33139",25.7885769,-80.1413244,"['Chinese restaurant', 'Asian restaurant', 'Japanese restaurant', 'Delivery Restaurant', 'Takeout Restaurant', 'Pan-Asian restaurant', 'Sushi restaurant']",3.1,28,$$,"[['Saturday', '11AM–12AM'], ['Sunday', '11AM–11PM'], ['Monday', '11AM–11PM'], ['Tuesday', '11AM–11PM'], ['Wednesday', '11AM–11PM'], ['Thursday', '11AM–11PM'], ['Friday', '11AM–12AM']]"
0x88c2ce401dce0117:0xd720cff928049edb,Oyishi Buffet,"Oyishi Buffet, 11245 Causeway Blvd, Brandon, FL 33511",27.921428,-82.324204,['Japanese restaurant'],3.5,6,,
0x88d9adc6411d6dc3:0x2b480ec79c1a46b1,Asian Sushi Street,"Asian Sushi Street, 1557 NE 167th St, North Miami Beach, FL 33162",25.929631699999998,-80.16916169999999,"['Sushi restaurant', 'Japanese restaurant', 'Restaurant']",4.1,18,,"[['Thursday', '5PM–12AM'], ['Friday', '5PM–12AM'], ['Saturday', '5PM–12AM'], ['Sunday', '5PM–12AM'], ['Monday', 'Closed'], ['Tuesday', '5PM–12AM'], ['Wednesday', '5PM–12AM']]"
0x88c2f3b2f5dc1de7:0xdbd5d47eca432ca,Umai Japanese Hibachi and Sushi Cuisine,"Umai Japanese Hibachi and Sushi Cuisine, 2632 Bayshore Blvd, Dunedin, FL 34698",28.049867199999998,-82.78057,['Japanese restaurant'],3.9,8,,"[['Wednesday', '11AM–11PM'], ['Thursday', '11AM–11PM'], ['Friday', '11AM–12AM'], ['Saturday', '11AM–12AM'], ['Sunday', '11AM–11PM'], ['Monday', '11AM–11PM'], ['Tuesday', '11AM–11PM']]"
0x88de61125e392837:0xef7af8b0e1e0265d,Sushi Factory,"Sushi Factory, 8797 20th St, Vero Beach, FL 32966",27.638250799999998,-80.50748399999999,"['Sushi restaurant', 'Japanese restaurant', 'Seafood restaurant']",4.7,8,,"[['Wednesday', '12–3PM'], ['Thursday', '12–3PM'], ['Friday', '12–3PM'], ['Saturday', '12–3PM'], ['Sunday', '12–3PM'], ['Monday', 'Closed'], ['Tuesday', '12–3PM']]"
0x88c2f6d18507cc7d:0xd0d59fcc74f80ad0,Kiku Japanese Restaurant,"Kiku Japanese Restaurant, 483 Mandalay Ave #214, Clearwater, FL 33767",27.981479999999998,-82.826765,"['Japanese restaurant', 'Restaurant']",3.9,28,$$,"[['Saturday', '5–10PM'], ['Sunday', 'Closed'], ['Monday', '11:30AM–1:30PM'], ['Tuesday', '11:30AM–1:30PM'], ['Wednesday', '11:30AM–1:30PM'], ['Thursday', '11:30AM–1:30PM'], ['Friday', '11:30AM–1:30PM']]"
0x88d9031e4c91585f:0x26182e543857a3ce,Sushi Asami,"Sushi Asami, 1748 E Commercial Blvd, Fort Lauderdale, FL 33334",26.188770599999998,-80.12360749999999,"['Restaurant', 'Asian restaurant', 'Japanese restaurant', 'Sushi restaurant']",5.0,33,$$,"[['Friday', '11:30AM–9PM'], ['Saturday', '11:30AM–9PM'], ['Sunday', '4–9PM'], ['Monday', 'Closed'], ['Tuesday', '11:30AM–9PM'], ['Wednesday', 'Closed'], ['Thursday', '11:30AM–9PM']]"
0x88d90174c622134f:0x2c20c2db56de0806,Yuji Japanese Resteraunt,"Yuji Japanese Resteraunt, 1913 N Andrews Ave, Wilton Manors, FL 33311",26.1525729,-80.1467873,['Authentic Japanese restaurant'],4.4,18,,"[['Tuesday', '5PM–2AM'], ['Wednesday', '5PM–2AM'], ['Thursday', '5PM–2AM'], ['Friday', '5PM–2AM'], ['Saturday', '5PM–2AM'], ['Sunday', '5PM–2AM'], ['Monday', 'Closed']]"
0x88c34168eb05c01f:0xfa18ae2f64826d6b,Ahi sushi,"Ahi sushi, 3440 Clark Rd, Sarasota, FL 34231",27.2678457,-82.50077259999999,['Japanese restaurant'],4.2,38,,"[['Monday', 'Closed'], ['Tuesday', '11:30AM–2PM'], ['Wednesday', '11:30AM–2PM'], ['Thursday', '11:30AM–2PM'], ['Friday', '11:30AM–2PM'], ['Saturday', '5–9PM'], ['Sunday', '5–9PM']]"
0x88d9b68408e470d9:0x56d0852e8241d18b,Momi Gyoza Bar,"Momi Gyoza Bar, 1036 S Miami Ave, Miami, FL 33130",25.7638248,-80.1933181,['Japanese restaurant'],4.6,5,$,
0x88c323d26cca78eb:0x50837c74bbac41aa,Yummy Tokyo,"Yummy Tokyo, 9552 Buffalo Rd, Palmetto, FL 34221",27.599777099999997,-82.49865009999999,['Japanese restaurant'],4.2,28,,"[['Saturday', '11AM–10PM'], ['Sunday', '12–9:30PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM']]"
0x88c2e332bc701bbf:0xbd67a499a6fdb6a0,Maki Of Japan,"Maki Of Japan, St. Petersburg, FL 33710",27.793431899999998,-82.7336622,['Japanese restaurant'],3.4,24,,
0x88df2a9f611a174f:0x6d81f05e9e456c63,Genji Ramen & Sushi Bar,"Genji Ramen & Sushi Bar, 11701 Lake Victoria Gardens Ave, Palm Beach Gardens, FL 33410",26.8483821,-80.0939721,['Japanese restaurant'],4.2,6,$$,"[['Friday', '7AM–9PM'], ['Saturday', '8AM–9PM'], ['Sunday', '8AM–9PM'], ['Monday', '8AM–9PM'], ['Tuesday', '8AM–9PM'], ['Wednesday', '8AM–9PM'], ['Thursday', '8AM–9PM']]"
0x88c2b755a31d6155:0xdd5103e969214b72,Ginza,"Ginza, 6417 E County Line Rd #104, Tampa, FL 33647",28.169016,-82.356628,"['Japanese restaurant', 'Restaurant']",4.4,8,$$,"[['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM']]"
0x88e7719db997da77:0x27a75e11503b928,Genji Sushi,"Genji Sushi, 305 E Altamonte Dr, Altamonte Springs, FL 32701",28.664289999999998,-81.3813986,['Japanese restaurant'],3.6,5,$$,"[['Wednesday', '8AM–10PM'], ['Thursday', '8AM–10PM'], ['Friday', '8AM–10PM'], ['Saturday', '8AM–10PM'], ['Sunday', '8AM–10PM'], ['Monday', '8AM–10PM'], ['Tuesday', '8AM–10PM']]"
0x88dba99acf888fc9:0xd88c264f956a678a,Teriyaki Madness,"Teriyaki Madness, 5072 Annunciation Cir Ste 103, Ave Maria, FL 34142",26.3363591,-81.436182,"['Asian fusion restaurant', 'Caterer', 'Fast food restaurant', 'Gluten-free restaurant', 'Japanese restaurant', 'Restaurant']",4.6,38,$,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–8PM'], ['Monday', '11AM–9PM']]"
0x88e77146d9ff8117:0xd6b02822ca673dee,Kumo Asian Kitchen,"Kumo Asian Kitchen, 767 S State Rd 434 Suite 1040, Altamonte Springs, FL 32714",28.6464669,-81.4147431,['Japanese restaurant'],4.4,18,,"[['Tuesday', '11:30AM–9PM'], ['Wednesday', '11:30AM–9PM'], ['Thursday', '11:30AM–9PM'], ['Friday', '11:30AM–9PM'], ['Saturday', '2–9PM'], ['Sunday', 'Closed'], ['Monday', '11:30AM–9PM']]"
0x88e5c6f420676863:0xc4895c67d1eb3a5d,Sushi Wok,"Sushi Wok, 6334 103rd St, Jacksonville, FL 32244",30.247246999999998,-81.746263,"['Japanese restaurant', 'Asian restaurant', 'Delivery Restaurant', 'Restaurant']",2.8,58,,"[['Tuesday', '10:30AM–10PM'], ['Wednesday', '10:30AM–10PM'], ['Thursday', '10:30AM–10PM'], ['Friday', '10:30AM–10:30PM'], ['Saturday', '10:30AM–10:30PM'], ['Sunday', 'Closed'], ['Monday', '10:30AM–10PM']]"
0x88db43e3b8528cb5:0xd92777c49d88d229,koto grill,"koto grill, 1830 NE Pine Island Rd Ste 155, Cape Coral, FL 33909",26.6701749,-81.9345141,['Japanese restaurant'],4.5,8,,"[['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–10PM'], ['Monday', '11AM–10PM']]"
0x88d9bea98626a65f:0x26677253208c442,Sake Room Express,"Sake Room Express, 3655 NW 107th Ave #104, Doral, FL 33178",25.807857,-80.368916,"['Sushi restaurant', 'Delivery service', 'Japanese restaurant', 'Lunch restaurant', 'Restaurant', 'Sake brewery', 'Wine bar']",4.5,38,$$,"[['Monday', '8:30AM–10:30PM'], ['Tuesday', '8:30AM–10:30PM'], ['Wednesday', '8:30AM–10:30PM'], ['Thursday', '8:30AM–10:30PM'], ['Friday', '8:30AM–10:30PM'], ['Saturday', '8:30AM–10:30PM'], ['Sunday', 'Closed']]"
0x88d9c746a2cabce1:0x2dea3824848da787,Sushi Maki (Dadeland),"Sushi Maki (Dadeland), 6661 S Dixie Hwy, Miami, FL 33143",25.693962,-80.3007224,"['Sushi restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Sushi takeaway']",4.4,38,,"[['Saturday', '11AM–10PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM']]"
0x88d9021864fde661:0x1f1337b92694d625,OAKI STEAKHOUSE,"OAKI STEAKHOUSE, 4391 N Federal Hwy, Oakland Park, FL 33308",26.182494,-80.1198004,"['Asian restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Restaurant']",4.8,18,$$,
0x88c2bc223d1717ef:0x40957033f3885f94,Sakura At LUTZ,"Florida, Lutz, FL-54, Sakura At LUTZ邮政编码: 33558",28.194906399999997,-82.5038759,"['Japanese restaurant', 'Sushi restaurant']",3.5,15,,"[['Friday', '11AM–2:30PM'], ['Saturday', '12–10:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM']]"
0x88d9b795fa9df5b3:0x47c18216cde285c2,Zitz Sum,"Zitz Sum, 396 Alhambra Cir Suite 155, Coral Gables, FL 33134",25.751446299999998,-80.262316,"['Asian restaurant', 'Japanese restaurant', 'Wine bar']",4.5,28,,"[['Tuesday', '5–10PM'], ['Wednesday', '5–10PM'], ['Thursday', '5–10PM'], ['Friday', '5–10PM'], ['Saturday', '6–10PM'], ['Sunday', 'Closed'], ['Monday', 'Closed']]"
0x88e5c19c5c2d89a9:0xd2e501112a1b1c30,Fuji Sushi,"Fuji Sushi, 9542 Argyle Forest Blvd #18, Jacksonville, FL 32222",30.1945236,-81.8263271,['Japanese restaurant'],3.2,8,$$,
0x88dae3c755410cbf:0x9ef54eab4c7d9176,Asian Depot,"Asian Depot, 3879 Tamiami Trail E, Naples, FL 34112",26.1185755,-81.7568787,"['Asian grocery store', 'Grocery store', 'Indian grocery store', 'Japanese grocery store', 'Korean grocery store']",4.0,5,,"[['Saturday', '9AM–9PM'], ['Sunday', '10AM–8PM'], ['Monday', '9AM–9PM'], ['Tuesday', '9AM–9PM'], ['Wednesday', '9AM–9PM'], ['Thursday', '9AM–9PM'], ['Friday', '9AM–9PM']]"
0x88d9ad90c9d61767:0xb14ef4a3776d4e53,Tako Sushi,"Tako Sushi, 17630 Collins Ave, Sunny Isles Beach, FL 33160",25.9395414,-80.1218851,"['Sushi restaurant', 'Asian restaurant', 'Bubble tea store', 'Japanese restaurant', 'Ramen restaurant', 'Thai restaurant']",4.8,94,,"[['Saturday', '3PM–12AM'], ['Sunday', '3–10:30PM'], ['Monday', '12–10:30PM'], ['Tuesday', '12–10:30PM'], ['Wednesday', '12–10:30PM'], ['Thursday', '12–10:30PM'], ['Friday', '12PM–12AM']]"
0x88e8a3f434801d13:0x3ae0712d299c27bd,Sus Hi Eatstation - UF,"Sus Hi Eatstation - UF, 1404 W University Ave #20, Gainesville, FL 32603",29.652345,-82.3408232,"['Sushi restaurant', 'Fast food restaurant', 'Japanese restaurant', 'Restaurant']",4.4,78,,"[['Friday', '12–8PM'], ['Saturday', '12–8PM'], ['Sunday', '12–5PM'], ['Monday', '12–5PM'], ['Tuesday', '12–5PM'], ['Wednesday', '12–5PM'], ['Thursday', '12–5PM']]"
