gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x88f44b0a3d11e1c1:0xd805e150fb8e7847,Tokyo Hibachi (under construction),"Tokyo Hibachi (under construction), 2140 Salem Rd SE, Conyers, GA 30013",33.633014599999996,-83.977272,['Japanese restaurant'],4.3,33,,
0x88f44b0a3d11e1c1:0xd805e150fb8e7847,Tokyo Hibachi (under construction),"Tokyo Hibachi (under construction), 2140 Salem Rd SE, Conyers, GA 30013",33.633014599999996,-83.977272,['Japanese restaurant'],4.3,33,,
0x88f5a4095b29fcd5:0x422afa2941b9829a,Roll Me,"Roll Me, 1560 Indian Trail Lilburn Rd NW Suite #101, Norcross, GA 30093",33.9221061,-84.1702543,"['Sushi restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Korean restaurant']",4.1,33,,
0x88f5a09ec85cc4eb:0xa304c0377795b83a,Eriko the Japanese Tutor,"Eriko the Japanese Tutor, 5805 State Bridge Rd Ste G 88, Johns Creek, GA 30022",34.016886,-84.18601489999999,['Japanese language instructor'],5.0,8,,"[['Sunday', '9:30AM–5PM'], ['Monday', '9:30AM–5PM'], ['Tuesday', '9:30AM–5PM'], ['Wednesday', '9:30AM–5PM'], ['Thursday', '9:30AM–5PM'], ['Friday', '9:30AM–5PM'], ['Saturday', '9:30AM–5PM']]"
0x88f5055d41b159a9:0x4c86266c1bfa08dd,Nagomiya,"Nagomiya, 1010 W Peachtree St NW Ste 400, Atlanta, GA 30309",33.7817686,-84.3882807,['Japanese restaurant'],4.3,18,,"[['Saturday', '12AM–3PM'], ['Sunday', '12–3PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '5:30–10:30PM']]"
0x88f505ffd96799f7:0x4b84b98e8082e1b0,Teribox Japanese Street Food,"Teribox Japanese Street Food, 800 Forrest St NW, Atlanta, GA 30318",33.7959853,-84.413967,['Japanese restaurant'],4.6,28,,"[['Thursday', '12PM–2AM'], ['Friday', '4PM–2AM'], ['Saturday', '4PM–12AM'], ['Sunday', '4PM–12AM'], ['Monday', '4PM–12AM'], ['Tuesday', '12PM–12AM'], ['Wednesday', '12PM–12AM']]"
0x88f5a3ce5f4f659f:0x92a1670ae1370880,Samurai Ramen,"Samurai Ramen, 2442 Pleasant Hill Rd #4, Duluth, GA 30096",33.9660625,-84.1411639,['Japanese restaurant'],4.5,58,,"[['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '11AM–3PM'], ['Sunday', '11AM–3PM'], ['Monday', '11AM–3PM'], ['Tuesday', 'Closed']]"
0x88f5b85cff32799b:0xc8f5201deb37a39f,Oni Japanese Steakhouse,"Oni Japanese Steakhouse, 2944 Rosebud Rd, Loganville, GA 30052",33.8632852,-83.9561415,"['Japanese restaurant', 'Restaurant']",4.6,8,,"[['Monday', '4:30–9:30PM'], ['Tuesday', '4:30–9:30PM'], ['Wednesday', '4:30–9:30PM'], ['Thursday', '4:30–9:30PM'], ['Friday', '4:30–10:30PM'], ['Saturday', '12–10:30PM'], ['Sunday', '12–9:30PM']]"
0x88f513b0a72e99a3:0xebcea9ee38069739,KOJI JAPANESE STEAKHOUSE & SUSHI BAR,"KOJI JAPANESE STEAKHOUSE & SUSHI BAR, 2145 Roswell Rd, Marietta, GA 30062",33.9692132,-84.4913651,"['Authentic Japanese restaurant', 'Japanese steakhouse', 'Restaurant']",2.6,18,$$,"[['Saturday', '12–11PM'], ['Sunday', '12–10PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM']]"
0x88f505ecc184ee97:0x117e4026aa3b23d1,"Saito - Sushi, Steak & Cocktails","Saito - Sushi, Steak & Cocktails, 19 Andrew Young International Blvd NE, Atlanta, GA 30303",33.7594461,-84.38694629999999,"['Sushi restaurant', 'Bar', 'Cocktail bar', 'Japanese restaurant', 'Restaurant', 'Steak house']",4.6,38,,"[['Saturday', '4PM–1AM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '4–11PM'], ['Wednesday', '4–11PM'], ['Thursday', '4–11PM'], ['Friday', '4PM–1AM']]"
0x88f5a7e5c4b1d993:0x88d5d182fc0b7999,Tokyo Express,"Tokyo Express, 2201 Henderson Mill Rd, Atlanta, GA 30345",33.8507061,-84.25494309999999,['Japanese restaurant'],3.7,18,,"[['Thursday', '10AM–9PM'], ['Friday', '10AM–9PM'], ['Saturday', '10AM–9PM'], ['Sunday', '12–6PM'], ['Monday', '10AM–9PM'], ['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM']]"
0x88f5afd8dad5fbcd:0x8de5120c0ec24b8a,Taste Of Hibachi,,33.7677129,-84.420604,"['Japanese delicatessen', 'Service establishment']",5.0,8,,"[['Tuesday', '2PM–5AM'], ['Wednesday', '2PM–5AM'], ['Thursday', '2PM–5AM'], ['Friday', '2PM–5AM'], ['Saturday', '2PM–5AM'], ['Sunday', '2PM–5AM'], ['Monday', '2PM–5AM']]"
0x88fb9e66b9b956f1:0x4e85731fb514dd39,Seasons Cafe,"Seasons Cafe, 10 Barnard St, Savannah, GA 31401",32.0812405,-81.0933172,['Japanese restaurant'],3.6,18,,
0x88f571a2ff6c1bb3:0x13bed6f2c0625375,Atami Grill & Sushi Canton,"Atami Grill & Sushi Canton, 6768 Hickory Flat Hwy, Canton, GA 30115",34.170451,-84.4172255,['Japanese restaurant'],4.4,18,,"[['Sunday', '11AM–9:30PM'], ['Monday', '10:30AM–9:30PM'], ['Tuesday', '10:30AM–9:30PM'], ['Wednesday', '10:30AM–9:30PM'], ['Thursday', '10:30AM–9:30PM'], ['Friday', '10:30AM–10PM'], ['Saturday', '11AM–10PM']]"
0x885f69e5c33ecabf:0x40e92ea673919283,Ichiro Hibachi Express,"Ichiro Hibachi Express, 420 Walmart Way Unit A, Dahlonega, GA 30533",34.5390976,-83.97459549999999,['Japanese restaurant'],4.1,8,,"[['Sunday', 'Closed'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM']]"
0x88f5a6bea854004b:0xf2075d19b6b99c3d,Yamasho Atlanta Inc,"Yamasho Atlanta Inc, 3005 Center Pl # 200, Norcross, GA 30093",33.910089899999996,-84.202764,"['Seafood wholesaler', 'Authentic Japanese restaurant', 'Restaurant supply store']",5.0,8,,"[['Friday', '9AM–6PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–6PM'], ['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–6PM'], ['Thursday', '9AM–6PM']]"
0x88f56b5bc675dfb5:0xfd09fb7612eb33f4,Tokyo Japanese Steakhouse,"Tokyo Japanese Steakhouse, 3920 Canton Rd, Marietta, GA 30066",34.0467253,-84.5286138,"['Japanese restaurant', 'Sushi restaurant']",2.8,18,$$,"[['Friday', '3:30–11PM'], ['Saturday', '12–11PM'], ['Sunday', '11:30AM–10PM'], ['Monday', '4:30–10PM'], ['Tuesday', '4:30–10PM'], ['Wednesday', '4:30–10PM'], ['Thursday', '4:30–10PM']]"
0x88f5944343f72921:0xb11387e4fea203f,Umami Asian Cuisine,"Umami Asian Cuisine, 3290 Buford Dr a2, Buford, GA 30519",34.0690722,-83.9867233,"['Thai restaurant', 'Japanese restaurant']",4.6,8,,"[['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '12–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x88f5a3049c9d08ef:0x403122bee981f4b5,Shobu Grill & Sushi,"Shobu Grill & Sushi, 2300 Pleasant Hill Rd #3, Duluth, GA 30096",33.962764899999996,-84.13400209999999,"['Japanese restaurant', 'Sushi restaurant']",4.1,8,,"[['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '2–11PM'], ['Sunday', '3–10PM'], ['Monday', '11:30AM–2:30PM']]"
0x88f59710301018bf:0x236b7ce9059f4398,Sushi Kinyobee,"Sushi Kinyobee, 315 Peachtree Industrial Blvd #100, Suwanee, GA 30024",34.0668672,-84.07168519999999,"['Sushi restaurant', 'Japanese restaurant']",4.9,8,,"[['Monday', '11:30AM–2:30PM'], ['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '12–11PM'], ['Sunday', 'Closed']]"
0x88ede9560e661ea9:0x47a54fed6e55ba5d,Kumo Sushi & Hibachi,"Kumo Sushi & Hibachi 639 Veterans Parkway S Suite A, Moultrie, GA 31788",31.171191,-83.7584862,['Japanese restaurant'],4.8,38,,"[['Monday', '10:30AM–9PM'], ['Tuesday', 'Closed'], ['Wednesday', '10:30AM–9PM'], ['Thursday', '10:30AM–9PM'], ['Friday', '10:30AM–9:30PM'], ['Saturday', '10:30AM–9:30PM'], ['Sunday', '10:30AM–9PM']]"
0x88f5a7912282eb67:0xe76eb1f286fc39b1,Hibachi Express & Wing House,"Hibachi Express & Wing House, 5860 Jimmy Carter Blvd Ste #160, Norcross, GA 30071",33.920299899999996,-84.21138599999999,"['Restaurant', 'Asian fusion restaurant', 'Japanese restaurant']",4.4,38,$$,"[['Saturday', '11AM–11PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM']]"
0x88f598cf3d7fcfe3:0xf5281e9b233ade46,Oishi Noodles,"Oishi Noodles, 10820 Abbotts Bridge Rd, Duluth, GA 30097",34.044653,-84.178296,"['Japanese restaurant', 'Noodle shop', 'Ramen restaurant']",3.8,28,,"[['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x88f3e6cf43371533:0x5f0b9a82cb3f81b8,Teriyaki Japan,"Teriyaki Japan, 2980 Watson Blvd, Centerville, GA 31028",32.6213074,-83.6878962,['Japanese restaurant'],4.3,13,$,"[['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM'], ['Sunday', '12–5PM']]"
