gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x7c006de537b865f1:0x6fb8ff222b20ed18,Izakaya Tairyo,"Izakaya Tairyo, 514 Piikoi St, Honolulu, HI 96814",21.2943492,-157.84670409999998,['Japanese restaurant'],4.2,5,$$,"[['Sunday', '5PM–12AM'], ['Monday', 'Closed'], ['Tuesday', '5PM–12AM'], ['Wednesday', '5PM–12AM'], ['Thursday', '5PM–12AM'], ['Friday', '5PM–2AM'], ['Saturday', '5PM–2AM']]"
0x7c006d9071136ab3:0xab6d34e43a3472c0,Curry House Coco Ichibanya,"Curry House Coco Ichibanya, molili plaza #2, 1009 University Ave, Honolulu, HI 96826",21.2922381,-157.8215651,['Japanese curry restaurant'],4.8,8,$,"[['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM']]"
0x7c00727670a87ee7:0x41fdc5d0acfa32c4,Baku Waikiki,"Baku Waikiki, 2330 Kalakaua Ave #396, Honolulu, HI 96815",21.2775635,-157.8267534,"['Japanese restaurant', 'Restaurant']",3.8,28,,"[['Monday', '4–10PM'], ['Tuesday', '4–10PM'], ['Wednesday', '4–10PM'], ['Thursday', '4–10PM'], ['Friday', '4PM–12AM'], ['Saturday', '4PM–12AM'], ['Sunday', '4–10PM']]"
0x79524b5b9b09167d:0x611e8c6b41dfcd70,Sakura Sakura,"Sakura Sakura, 794 Kilauea Ave, Hilo, HI 96720",19.716224999999998,-155.078889,['Japanese restaurant'],4.4,8,,"[['Friday', '11AM–3PM'], ['Saturday', '11AM–3PM'], ['Sunday', '12–3PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM']]"
0x7c006d2de868b249:0xe4bc3de25d25b47f,Ichifuji,"Ichifuji, 2334 S King St STE C, 2nd floor, Honolulu, HI 96826",21.2934861,-157.82587379999998,['Japanese restaurant'],4.7,8,,"[['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', '5:30–10PM'], ['Friday', '5:30–10PM'], ['Saturday', '5:30–10PM'], ['Sunday', '5:30–10PM'], ['Monday', 'Closed']]"
0x7c006dc74eaa1c6d:0xe43bfe063dc1fab5,Han no Daidokoro,"Han no Daidokoro, 1108 Auahi St #150, Honolulu, HI 96814",21.294401999999998,-157.8518301,['Japanese restaurant'],4.9,33,,"[['Thursday', '5–10PM'], ['Friday', '5–10PM'], ['Saturday', '5–10PM'], ['Sunday', '5–10PM'], ['Monday', 'Closed'], ['Tuesday', '5–10PM'], ['Wednesday', '5–10PM']]"
0x7c006ded8be30e8b:0x37b6d5c1d7bca66e,Tae's Teppanyaki,"Tae's Teppanyaki, 1666 Kalauokalani Way, Honolulu, HI 96814",21.292635399999998,-157.83718109999998,"['Japanese steakhouse', 'Restaurant']",4.0,8,$,"[['Thursday', '10:30AM–2PM'], ['Friday', '10:30AM–2PM'], ['Saturday', '10:30AM–2PM'], ['Sunday', 'Closed'], ['Monday', '10:30AM–2PM'], ['Tuesday', '10:30AM–2PM'], ['Wednesday', '10:30AM–2PM']]"
0x7c00726066658945:0x8fdde21370f86d4d,Hawaiiana Cafe and Sushi,"Hawaiiana Cafe and Sushi, 201 Merchant St #101, Honolulu, HI 96813",21.3067963,-157.8612466,['Japanese restaurant'],4.1,36,,"[['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM'], ['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM'], ['Saturday', '10AM–2PM'], ['Sunday', 'Closed']]"
0x7c006f52259fec47:0x86c694bb48f22475,Weiliya Japan Ramen,"Weiliya Japan Ramen, 98-199 Kamehameha Hwy, Aiea, HI 96701",21.3809061,-157.94229959999998,['Japanese restaurant'],4.7,44,$,"[['Saturday', '10AM–10PM'], ['Sunday', '10AM–10PM'], ['Monday', '10AM–10PM'], ['Tuesday', '10AM–10PM'], ['Wednesday', '10AM–10PM'], ['Thursday', '10AM–10PM'], ['Friday', '10AM–10PM']]"
0x7c0063bb03fca017:0xd93a8687cde2a328,Tanaka Ramen & Izakaya,"Tanaka Ramen & Izakaya, 590 Farrington Hwy #510, Kapolei, HI 96707",21.3377357,-158.0811599,"['Restaurant', 'Japanese restaurant', 'Ramen restaurant']",4.6,27,$$,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]"
0x7c006f4d56fb4a87:0xd87a769fbf4a3d80,Kyoto Sushi & Bento,"Kyoto Sushi & Bento, 98-1005 Moanalua Rd, Aiea, HI 96701",21.3852376,-157.9414741,['Japanese restaurant'],3.6,14,,"[['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '10AM–6:45PM'], ['Saturday', '10AM–7:45PM'], ['Sunday', '10AM–6PM'], ['Monday', '10AM–9PM'], ['Tuesday', '10AM–9PM']]"
