gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x54ae4dabc67c8997:0x2a93ed6074782d50,Miyagi's,"Miyagi's, 359 Caldwell Blvd, Nampa, ID 83651",43.5909822,-116.5833486,"['Japanese restaurant', 'Chicken restaurant', 'Seafood restaurant', 'Sushi restaurant']",4.9,74,,"[['Tuesday', '5–9PM'], ['Wednesday', '5–9PM'], ['Thursday', '5–9PM'], ['Friday', '5–9PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '5–9PM']]"
0x54aef8e385bede41:0xd4af5dd19e3f51a4,Superb Sushi Downtown,"Superb Sushi Downtown, 280 N 8th St, Boise, ID 83702",43.6169125,-116.20207909999999,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Takeout Restaurant', 'Restaurant']",4.2,75,$$,"[['Sunday', 'Closed'], ['Monday', '5–9PM'], ['Tuesday', '11:30AM–2PM'], ['Wednesday', '11:30AM–2PM'], ['Thursday', '11:30AM–2PM'], ['Friday', '11:30AM–2PM'], ['Saturday', '5–9PM']]"
0x54aca3103bf30941:0x95d4d68f45182c00,O-Ki Teppanyaki & Sushi,"O-Ki Teppanyaki & Sushi, 564 Blue Lakes Blvd N, Twin Falls, ID 83301",42.571638899999996,-114.4594844,['Japanese restaurant'],4.4,114,,"[['Thursday', '4–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM'], ['Monday', '4–9:30PM'], ['Tuesday', '4–9:30PM'], ['Wednesday', '4–9:30PM']]"
0x54aefed296f27f97:0xec129d8d840720bc,Superb Sushi,"Superb Sushi, 2594 N Bogus Basin Rd, Boise, ID 83702",43.6434141,-116.20613449999999,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Takeout Restaurant', 'Restaurant']",4.0,8,,
0x54aef9121eea2eb5:0x7423f2f686dde59c,Sakana Japanese Sushi & Steak (Vista),"Sakana Japanese Sushi & Steak (Vista), 925 S Vista Ave, Boise, ID 83705",43.595736599999995,-116.2139004,['Japanese restaurant'],4.6,46,,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–9PM']]"
0x5361c0711a77e347:0x1546ea7a8dab616f,Little Kyoto,"Little Kyoto, 11050 N Government Way, Hayden, ID 83835",47.7719496,-116.7861148,['Japanese restaurant'],4.5,248,$$,"[['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–2PM'], ['Tuesday', '11AM–2PM']]"
0x54ae56706ae65e49:0x313294ede9f63f07,Maru Sushi,"Maru Sushi, 9140 Emerald St #300, Boise, ID 83704",43.611748399999996,-116.29577259999999,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant']",4.4,248,$$,"[['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '11:30AM–3PM'], ['Wednesday', '11:30AM–3PM'], ['Thursday', '11:30AM–3PM'], ['Friday', '11:30AM–3PM'], ['Saturday', '5–9PM']]"
0x54ae55cae7f4fa65:0x225b2adc029f2e05,Teriyaki Madness,"Teriyaki Madness, 1653 W Island Green Dr Ste 130, Meridian, ID 83646",43.6637902,-116.41433699999999,"['Asian fusion restaurant', 'Caterer', 'Fast food restaurant', 'Gluten-free restaurant', 'Japanese restaurant']",4.2,54,$,"[['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM']]"
0x5354594e68c7044d:0x95164b4a1aa37c4e,D'railed,"D'railed, 468 N Eastern Ave, Idaho Falls, ID 83402",43.4926331,-112.0366985,"['Fine dining restaurant', 'Gastropub', 'Japanese steakhouse']",4.5,306,$$$,"[['Thursday', '5–9PM'], ['Friday', '5–10PM'], ['Saturday', '5–10PM'], ['Sunday', '5–8PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '5–9PM']]"
0x54aef8c2f3e2ab09:0x57557d3e7ad660f2,Sushi Joy Asian Cuisine,"Sushi Joy Asian Cuisine, 2275 W Main St, Boise, ID 83702",43.621545399999995,-116.2180356,"['Sushi restaurant', 'Asian restaurant', 'Chinese restaurant', 'Japanese restaurant']",4.5,468,$$,"[['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]"
