gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x880faf1b2af26957:0xd6fbc503a632ddbe,Yume Japanese & Chinese Cuisine,"Yume Japanese & Chinese Cuisine, 754 E Schaumburg Rd, Schaumburg, IL 60194",42.029603,-88.060875,"['Japanese restaurant', 'Asian restaurant', 'Chinese restaurant', 'Fine dining restaurant', 'Delivery Restaurant', 'Pan-Asian restaurant', 'Restaurant', 'Seafood restaurant', 'Sports bar', 'Sushi restaurant']",3.7,38,,"[['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '11:30AM–2:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '11:30AM–2:30PM']]"
0x880fd240eb8010e9:0x9d3899d4885fb6ec,Ruyi Sushi,"Ruyi Sushi, 1804 Irving Park Rd, Chicago, IL 60613",41.9544311,-87.67444979999999,"['Sushi restaurant', 'Bar', 'Japanese restaurant']",4.2,5,,"[['Sunday', '11AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '4–10PM'], ['Wednesday', '4–10PM'], ['Thursday', '4–10PM'], ['Friday', '4–10PM'], ['Saturday', '11AM–11PM']]"
0x880fd2d266193639:0x4578392868de2713,Kyussam Korean & Sushi,"Kyussam Korean & Sushi, 939 N Ashland Ave, Chicago, IL 60622",41.899102,-87.66701599999999,"['Korean restaurant', 'Asian restaurant', 'Japanese restaurant', 'Sushi restaurant']",3.8,18,$$,"[['Friday', '11AM–3PM'], ['Saturday', '11AM–3PM'], ['Sunday', '11AM–3PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', 'Closed'], ['Thursday', '11AM–3PM']]"
0x880fd20de351bfaf:0x36ed8b16c1209f8b,Sushi King 3,"Sushi King 3, 4337 N Western Ave, Chicago, IL 60618",41.9606382,-87.6883376,['Japanese restaurant'],4.4,38,$$,"[['Friday', '11:30AM–10:30PM'], ['Saturday', '11:30AM–10:30PM'], ['Sunday', '4–9:30PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '11:30AM–9:30PM'], ['Thursday', '11:30AM–9:30PM']]"
0x880fd3a4e77637db:0x84932a58c66b3a2a,Kanok Restaurant,"Kanok Restaurant, 3422 N Broadway, Chicago, IL 60657",41.9438889,-87.6454124,"['Sushi restaurant', 'Japanese restaurant']",4.4,8,$$,"[['Tuesday', '4–10:30PM'], ['Wednesday', '4–10:30PM'], ['Thursday', '4–10:30PM'], ['Friday', '4–10:30PM'], ['Saturday', '4–10:30PM'], ['Sunday', '4–10:30PM'], ['Monday', '4–10:30PM']]"
0x880e2cbfbaec1b6b:0x4fdb4b414cf5108c,Kamehachi Cafe,"Kamehachi Cafe, 311 S Wacker Dr, Chicago, IL 60606",41.8776651,-87.6357178,"['Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.4,53,$$,"[['Monday', '11AM–4PM'], ['Tuesday', '11AM–4PM'], ['Wednesday', '11AM–4PM'], ['Thursday', '11AM–4PM'], ['Friday', '11AM–3PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]"
0x880fb95a510eac1b:0x8accdd4674e96593,BBKUP Japanese ramen and wings,"BBKUP Japanese ramen and wings, 3 S Wolf Rd, Prospect Heights, IL 60070",42.0944861,-87.9078912,"['Japanese restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Chicken wings restaurant', 'Ramen restaurant', 'Sushi restaurant']",4.5,8,,
0x880f13541f2d6e93:0xb2208b6e94bfa22,Fuji Cajun,"Fuji Cajun, 1493 S Randall Rd, Algonquin, IL 60102",42.1547862,-88.3347525,['Japanese restaurant'],4.6,38,,"[['Sunday', '12–8:30PM'], ['Monday', '11AM–9PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
0x880fc537e244973f:0x10563d9366f17cba,153 Akira,"153 Akira, 1137 Greenleaf Ave, Wilmette, IL 60091",42.0750898,-87.7067388,"['Japanese restaurant', 'Asian restaurant', 'Sushi restaurant']",4.6,37,$$,"[['Tuesday', '5–9PM'], ['Wednesday', '5–9PM'], ['Thursday', '5–9PM'], ['Friday', '5–10PM'], ['Saturday', '5–10PM'], ['Sunday', 'Closed'], ['Monday', '5–9PM']]"
0x880fabeb0aefd3f5:0x681d860d7a50e996,Tokyo grill,"Tokyo grill, 920 W Lake St, Roselle, IL 60172",41.9663617,-88.1062511,"['Japanese restaurant', 'Restaurant']",4.5,18,,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM']]"
