gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x886b532b7f624119:0x14213e5ee3c5e6d9,Wei Ramen,"Wei Ramen, 3746 E 82nd St, Indianapolis, IN 46240",39.9104896,-86.10172179999999,"['Ramen restaurant', 'Asian fusion restaurant', 'Fast food restaurant', 'Japanese curry restaurant', 'Japanese restaurant']",4.7,14,,"[['Sunday', '11AM–8:45PM'], ['Monday', '11AM–8:45PM'], ['Tuesday', '11AM–8:45PM'], ['Wednesday', '11AM–8:45PM'], ['Thursday', '11AM–8:45PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM']]"
0x886b51294da0f7bf:0xcbcc69fa81563f02,Go Stir Fry,"Go Stir Fry, 38 E Washington St, Indianapolis, IN 46204",39.767364099999995,-86.1567539,"['Japanese restaurant', 'Fast food restaurant', 'Hawaiian restaurant', 'Teppanyaki restaurant']",4.6,8,,"[['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', 'Closed'], ['Sunday', '11AM–9PM']]"
0x8811ee98691e3931:0xe2234e6671bbf01a,Little Tokyo,"Indiana, Merrillville, Southlake Mall, US Little Tokyo",41.468723399999995,-87.3094855,['Japanese restaurant'],3.1,13,,"[['Monday', '10AM–9PM'], ['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '10AM–9PM'], ['Saturday', '10AM–9PM'], ['Sunday', '11AM–6PM']]"
0x8814b35a255b88fd:0x4fde69f3ab0068d8,KOI,"Indiana, Fishers, E 96th St, KOI邮政编码: 46037",39.9277502,-86.0201491,['Japanese restaurant'],5.0,14,,"[['Saturday', '11AM–10PM'], ['Sunday', '12–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM']]"
0x8816d23d78ee1e9b:0x88884c9c936cdf99,YiHi Japan,"YiHi Japan, 6501 Grape Rd, Mishawaka, IN 46545",41.717629599999995,-86.1908892,"['Japanese restaurant', 'Sushi restaurant']",3.2,18,,"[['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '10AM–9PM'], ['Saturday', '10AM–9PM'], ['Sunday', '11AM–6PM'], ['Monday', '11AM–8PM']]"
0x886971fce1371a73:0x19023891d84df454,Kabuki Hibachi & Ramen,"Kabuki Hibachi & Ramen, 2784 Meijer Rd, Jeffersonville, IN 47130",38.325616499999995,-85.7109874,['Japanese restaurant'],4.5,58,,"[['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–2:30PM'], ['Sunday', '11AM–2:30PM'], ['Monday', 'Closed']]"
0x886c672bd1f55f89:0x3978b6ec69fc9ac3,MAJÉ SUSHI -- BLOOMINGTON,"MAJÉ SUSHI -- BLOOMINGTON, 601 N College Ave #5, Bloomington, IN 47404",39.1721231,-86.53500489999999,['Japanese restaurant'],4.4,34,$,"[['Monday', '4–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '12–10PM']]"
0x886b50bc7a848bd9:0xc320d635968a5557,Maki of Japan,"Maki of Japan, 49 W Maryland St, Indianapolis, IN 46204",39.7668639,-86.1594051,['Japanese restaurant'],3.1,28,,"[['Saturday', '11AM–7PM'], ['Sunday', '12–6PM'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM']]"
0x886e634e40e8c329:0xc0b8c6c9e79d2c68,Yamato Japanese Steakhouse,"Yamato Japanese Steakhouse, 3015 N Newton St, Jasper, IN 47546",38.4151792,-86.9384086,['Japanese restaurant'],4.4,18,,"[['Tuesday', '11AM–8:30PM'], ['Wednesday', '11AM–8:30PM'], ['Thursday', '11AM–8:30PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '3:30–8:30PM'], ['Monday', '11AM–8:30PM']]"
0x886abb164b2890ff:0xc4dd5d6995c89b41,Yamato,"Yamato, 2204 Park Rd, Connersville, IN 47331",39.660733,-85.128559,"['Japanese restaurant', 'Fine dining restaurant', 'Restaurant', 'Steak house', 'Sushi restaurant']",4.7,28,,"[['Sunday', '12–8:30PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
