gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x87ec23f7010632f3:0x1f614a620e18677a,Ninja Hibachi Express and Sushi,"Ninja Hibachi Express and Sushi, 15950 Hickman Rd, Clive, IA 50325",41.614429,-93.8373719,"['Japanese restaurant', 'Sushi restaurant']",4.1,28,,"[['Sunday', '12–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '12–10PM']]"
0x87e2658e2221ec01:0xf4026e9c2e627910,Ninja Sushi Steak house,"Ninja Sushi Steak house, 1516 Camanche Ave, Clinton, IA 52732",41.829795399999995,-90.2029443,"['Restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.7,48,,"[['Tuesday', '10:30AM–9:30PM'], ['Wednesday', '10:30AM–9:30PM'], ['Thursday', '10:30AM–9:30PM'], ['Friday', '10:30AM–10PM'], ['Saturday', '10:30AM–10PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '10:30AM–9:30PM']]"
0x87ee990186e184e5:0xbfd1faa093373d1f,Teriyaki Boys,"Teriyaki Boys, 700 Locust St a1, Des Moines, IA 50309",41.5863346,-93.626832,['Japanese restaurant'],4.6,36,,"[['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–2PM'], ['Tuesday', '11AM–2PM']]"
0x878dfd7c4f0fffff:0x5cc419520ca08131,Fuji Bay,"Fuji Bay, 513 6th St, Sioux City, IA 51101",42.4964762,-96.40429329999999,"['Japanese restaurant', 'Sushi restaurant']",4.5,58,$$,"[['Monday', '11:30AM–2:30PM'], ['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '12–2:30PM'], ['Sunday', 'Closed']]"
0x87e2351e632afec7:0x1c7c8eb46430fe68,Fuji and Pho Cafe,"Fuji and Pho Cafe, 1417 Locust St, Davenport, IA 52804",41.5380367,-90.5945924,['Japanese restaurant'],4.6,67,$$,"[['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM']]"
0x87ee9391457dde43:0xffbf00cb5007f1e2,Nomi's Asian Cuisine,"Nomi's Asian Cuisine, 404 8th St SW, Altoona, IA 50009",41.6434281,-93.468198,"['Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Korean restaurant', 'Restaurant']",4.1,118,,"[['Friday', '11AM–2PM'], ['Saturday', '11AM–2PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM']]"
0x87ee9f93f2d5fa85:0x7542c4837b20a4e2,Oh Sushi,"50310 Iowa, Des Moines, Beaver Ave, Oh Sushi",41.6208709,-93.6730592,"['Sushi restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Pan-Asian restaurant']",4.8,168,,"[['Wednesday', '11:30AM–2PM'], ['Thursday', '11:30AM–2PM'], ['Friday', '11:30AM–2PM'], ['Saturday', '11:30AM–2PM'], ['Sunday', 'Closed'], ['Monday', '11:30AM–2PM'], ['Tuesday', '11:30AM–2PM']]"
0x87e441f027984c13:0x185d6e5b62806d3,Takanami Sushi Bar,"Takanami Sushi Bar, 219 Iowa Ave, Iowa City, IA 52240",41.661007,-91.532294,"['Sushi restaurant', 'Asian restaurant', 'Bar', 'Japanese restaurant']",3.9,58,$$,
0x87e4f18bb30b7ffb:0xa7d3677535d0c9fc,VIP Sushi,"VIP Sushi, 5001 1st Ave SE Ste 104, Cedar Rapids, IA 52402",42.0265264,-91.61833179999999,['Japanese restaurant'],4.1,44,,"[['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '12–10PM']]"
0x87e4416c9da19f4b:0xb3426ef804ae76ab,Sushi Popo,"Sushi Popo, 725 Mormon Trek Blvd, Iowa City, IA 52246",41.6520468,-91.57513949999999,"['Thai restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Korean restaurant']",2.8,36,$$,"[['Sunday', '12–9PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–9:30PM']]"
0x87e4430abbd28011:0x49b816d2a4d03f11,Ramen Belly,"Ramen Belly, 1010 Martin St, Iowa City, IA 52245",41.6759045,-91.5562992,['Authentic Japanese restaurant'],4.8,17,,"[['Wednesday', '4:30–9PM'], ['Thursday', '4:30–9PM'], ['Friday', '4:30–9PM'], ['Saturday', '4:30–9PM'], ['Sunday', 'Closed'], ['Monday', '4:30–9PM'], ['Tuesday', '4:30–9PM']]"
0x87e4456044a2dd79:0xa0163368c77a2a83,Sarku Japan,"Sarku Japan, 1451 Coral Ridge Avenue Space #616, Coralville, IA 52241",41.6910299,-91.6000442,"['Japanese restaurant', 'Fast food restaurant', 'Restaurant', 'Sushi restaurant', 'Teppanyaki restaurant']",4.3,68,$,"[['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', '11AM–6PM'], ['Monday', '11AM–7PM']]"
0x878e078dbbde0e2d:0x1b2c645df60dc87d,Sushi Bamboo,"Sushi Bamboo, 1420 Hamilton Blvd, Sioux City, IA 51103",42.505614,-96.415808,"['Sushi restaurant', 'Asian restaurant', 'Health food restaurant', 'Japanese restaurant', 'Restaurant']",4.3,188,$$,"[['Tuesday', 'Closed'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '12–8PM'], ['Monday', '11AM–9PM']]"
0x87e443fab459f979:0x90aac3db644b1258,Three Samurai Japanese Restaurant,"Three Samurai Japanese Restaurant, 1801 2nd St # 200, Coralville, IA 52241",41.6787503,-91.58863339999999,['Japanese restaurant'],4.0,348,$$,"[['Monday', 'Closed'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM']]"
0x87ee9dfa52598f0d:0xd575765068341129,Appare (Miyako),"Appare (Miyako), 3769 86th St, Urbandale, IA 50322",41.6277778,-93.7347222,"['Japanese steakhouse', 'Asian restaurant', 'Japanese restaurant', 'Seafood restaurant', 'Sushi restaurant']",3.8,73,$$,"[['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–2:30PM'], ['Sunday', '12–9PM']]"
0x87ee9c55c2d9910b:0x90fe3f2de94ee86,Sushi a Go Go,"Sushi a Go Go, 5500 Merle Hay Rd, Johnston, IA 50131",41.6602745,-93.6985321,"['Restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.8,215,$,"[['Monday', 'Closed'], ['Tuesday', '4–8PM'], ['Wednesday', '4–8PM'], ['Thursday', '4–8PM'], ['Friday', '4–9PM'], ['Saturday', '4–9PM'], ['Sunday', '4–8PM']]"
0x87efbac8da70c907:0x5988f3e183f971e7,Ocean City Chinese Restaurant,"Ocean City Chinese Restaurant, 5 W Main St, Marshalltown, IA 50158",42.0493689,-92.91337299999999,"['Restaurant', 'Asian restaurant', 'Chinese restaurant', 'Japanese restaurant']",4.5,228,$,"[['Sunday', '11AM–9:30PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM']]"
0x87ec21a2a0735ced:0xeecca1d74ff8bd51,Great Teriyaki,"Great Teriyaki, 101 S Jordan Creek Pkwy, West Des Moines, IA 50266",41.5693924,-93.8042943,['Japanese restaurant'],4.0,57,,"[['Sunday', '12–6PM'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM']]"
0x87e441ee43251983:0x533d8de3d3d14b8e,Formosa,"Formosa, 221 E College St, Iowa City, IA 52240",41.6587661,-91.5321733,"['Sushi restaurant', 'Bar', 'Bar & grill', 'Japanese restaurant', 'Japanese steakhouse', 'Restaurant', 'Sushi takeaway', 'Wine bar']",4.1,353,$$,"[['Thursday', '4–10PM'], ['Friday', '4–10PM'], ['Saturday', '4–10PM'], ['Sunday', '4–9PM'], ['Monday', '4–9PM'], ['Tuesday', '4–9PM'], ['Wednesday', '4–9PM']]"
0x87e44150d9e2bc6b:0xeadc22d49c09b470,Sumo Sushi Bar & Bar,"Sumo Sushi Bar & Bar, 122 E Washington St, Iowa City, IA 52240",41.6603232,-91.53366779999999,"['Japanese restaurant', 'Restaurant']",3.9,158,,"[['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–10PM']]"
0x87e32db0dea63c0b:0xd2b7ff1a4ec1bd88,Jean's Japanese Restaurant,"Jean's Japanese Restaurant, 555 John F Kennedy Rd, Dubuque, IA 52002",42.495694199999996,-90.7226823,['Japanese restaurant'],3.2,6,,
0x87f2766e376ee4b1:0xd87630fdd7172e86,Ninja sushi steak house,"Ninja sushi steak house, 407 S 25th St, Fort Dodge, IA 50501",42.501959899999996,-94.1626816,['Japanese restaurant'],4.5,318,$$,"[['Sunday', '10:30AM–9:30PM'], ['Monday', '10:30AM–9:30PM'], ['Tuesday', '10:30AM–9:30PM'], ['Wednesday', '10:30AM–9:30PM'], ['Thursday', '10:30AM–9:30PM'], ['Friday', '10:30AM–10PM'], ['Saturday', '10:30AM–10PM']]"
0x87e4f908b9a3e4f5:0x631728f2f884356a,Red Ginger,"Red Ginger, 2230 Edgewood Rd SW, Cedar Rapids, IA 52404",41.9574377,-91.7190821,['Japanese restaurant'],4.5,438,$$,"[['Sunday', '12–9:30PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM']]"
0x87ee775685600c6b:0xbbb4153809b90796,Shogun Japanese Steakhouse,"Shogun Japanese Steakhouse, 3704 Lincoln Way, Ames, IA 50014",42.0215787,-93.6684318,['Japanese steakhouse'],4.0,38,$$,
0x87e45b4d14127d23:0x60c6e18986527ccf,Sushiya,"Sushiya, 745 Community Dr # A, North Liberty, IA 52317",41.7500194,-91.60940939999999,['Japanese restaurant'],4.8,358,$$,"[['Saturday', '11AM–2:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM']]"
0x87e133bc67b48477:0xb82460fceb21e930,Teriyaki Madness,"Teriyaki Madness, 1035 Lawrence Dr Ste 108, Burlington, IA 52601",40.7977041,-91.14077449999999,"['Asian fusion restaurant', 'Asian restaurant', 'Japanese restaurant', 'Restaurant']",4.3,238,$,"[['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM']]"
0x878dfda91d007f61:0x7f5604ac2da7ffe6,Koi Express sushi &ramen,"Iowa, Sioux City, Floyd Blvd, Koi Express sushi &ramen邮政编码: 51108",42.5282494,-96.3751546,"['Traditional restaurant', 'Asian restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.9,8,,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–9PM']]"
0x87e4415511344239:0xc1cfed8bd61a9895,Red Ginger,"Red Ginger, 1301 S Gilbert St Ste. 6, Iowa City, IA 52240",41.646218399999995,-91.5323976,"['Restaurant', 'Japanese restaurant', 'Soup restaurant', 'Sushi restaurant', 'Vegetarian restaurant', 'Wine bar']",4.7,184,,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM']]"
0x87ec21573dd214cb:0x78e7e5a89f096a77,Samurai Sushi and Hibachi,"Samurai Sushi and Hibachi, 7125 Mills Civic Pkwy #110, West Des Moines, IA 50266",41.5649971,-93.8060323,"['Sushi restaurant', 'Japanese restaurant']",4.2,533,,"[['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM']]"
0x87e23645d79145f5:0xc744534b0ce27f83,Sakura Express,"Sakura Express, 2427 53rd Ave, Bettendorf, IA 52722",41.5744778,-90.49843609999999,"['Japanese restaurant', 'Asian restaurant']",4.6,198,$,"[['Wednesday', '10:30AM–9PM'], ['Thursday', '10:30AM–9PM'], ['Friday', '10:30AM–9:30PM'], ['Saturday', '10:30AM–9:30PM'], ['Sunday', '10:30AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '10:30AM–9PM']]"
0x87e32b84cabf2a13:0x5091f625f895e83e,Oolong Asian Cuisine,"Oolong Asian Cuisine, 145 W 11th St, Dubuque, IA 52001",42.5036335,-90.667898,"['Pan-Asian restaurant', 'Japanese restaurant', 'Thai restaurant', 'Vietnamese restaurant']",4.7,238,$$,"[['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–2:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM']]"
0x87ef3aaecf6671b1:0x974cabee384db9ae,YAMATO STEAK HOUSE OF JAPAN,"YAMATO STEAK HOUSE OF JAPAN, 1590 Washington St, Pella, IA 50219",41.4121278,-92.9315927,['Japanese restaurant'],4.6,288,$$,"[['Wednesday', '11AM–9:30AM'], ['Thursday', '11AM–9:30AM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–8:30PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9:30PM']]"
0x87e32b7a22786c57:0x6c20166632a99acd,Happi Hibachi,"Happi Hibachi, 609 E 22nd St, Dubuque, IA 52001",42.5161164,-90.6668133,"['Japanese restaurant', 'Asian restaurant', 'Restaurant']",3.7,7,,
