gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x87c0f16d96f384c5:0x82a98999733bd5a1,Lucky Chopsticks,"Lucky Chopsticks, 722 Minnesota Ave, Kansas City, KS 66101",39.115685,-94.62785699999999,"['Asian restaurant', 'Chinese restaurant', 'Japanese restaurant']",3.9,26,,"[['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]"
0x87081469b6fa9223:0x275996ea5774ce33,Asian Express,"Asian Express, 30 Tucker Rd, Liberal, KS 67901",37.0683612,-100.9208822,"['Japanese restaurant', 'Restaurant']",3.7,14,,"[['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM']]"
0x87bb13565df86ecf:0xb03ecf33c884b669,Aki Japanese Kitchen,"Aki Japanese Kitchen, 1400 S Kansas Ave #600, Newton, KS 67114",38.0279647,-97.3359236,"['Sushi restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Ramen restaurant', 'Restaurant']",4.1,13,,"[['Thursday', '11AM–8:30PM'], ['Friday', '11AM–8:30PM'], ['Saturday', '11AM–8:30PM'], ['Sunday', '11AM–8:30PM'], ['Monday', '11AM–8:30PM'], ['Tuesday', '11AM–8:30PM'], ['Wednesday', '11AM–8:30PM']]"
0x87bf68b9bef9f1a3:0xdf7d0249c03c1332,Yeah Sushi,"Yeah Sushi, 711 W 23rd St #24, Lawrence, KS 66046",38.940627,-95.242712,"['Japanese restaurant', 'Restaurant']",4.8,8,,"[['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–9:30PM']]"
0x87bafd69c05e90cd:0x7d2f41dd4956d494,Wasabi East,"Wasabi East, 3242 N Rock Rd #112, Wichita, KS 67226, United States",37.741761,-97.243237,"['Sushi restaurant', 'Japanese restaurant', 'Restaurant']",4.5,805,₩₩,"[['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '12–10:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–10PM']]"
0x87bdcd73b26947a5:0xf48c636001deca9d,Mama Fang's Asian Market,"Mama Fang's Asian Market, 2304 Stagg Hill Rd suite d, Manhattan, KS 66502, United States",39.1679477,-96.5960458,"['Asian grocery store', 'African goods store', 'Indian grocery store', 'Japanese grocery store']",4.5,433,,"[['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', '11AM–8PM'], ['Monday', '11AM–8PM']]"
0x87bae0b955a943f5:0x5389f8b648273309,Nagasaki Steakhouse,"Nagasaki Steakhouse, 6821 W Taft St, Wichita, KS 67209",37.675961199999996,-97.42164559999999,['Japanese steakhouse'],3.1,108,,"[['Monday', '5–9PM'], ['Tuesday', '5–9PM'], ['Wednesday', '5–9PM'], ['Thursday', '5–9PM'], ['Friday', '5–10PM'], ['Saturday', '5–10PM'], ['Sunday', '5–8:30PM']]"
0x87a17974818a48a3:0xe3d109426b8dc962,Osaki Japanese Restaurant,"Osaki Japanese Restaurant, 2522 Vine St, Hays, KS 67601",38.8836102,-99.3175887,['Japanese restaurant'],4.4,230,$$,"[['Friday', '11AM–3PM'], ['Saturday', '11AM–3PM'], ['Sunday', '11AM–3PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM']]"
0x87bade1c80913681:0xe11ea8a1bc2c619c,Tuta's Teriyaki,"Tuta's Teriyaki, 1212 S Tyler Rd # 100, Wichita, KS 67209",37.672073499999996,-97.44326029999999,['Japanese restaurant'],4.5,248,$,"[['Thursday', '10:30AM–8PM'], ['Friday', '10:30AM–8PM'], ['Saturday', '11AM–6PM'], ['Sunday', 'Closed'], ['Monday', '10:30AM–8PM'], ['Tuesday', '10:30AM–8PM'], ['Wednesday', '10:30AM–8PM']]"
0x87c0eb480b2ece53:0x7be943ff8a6c131c,Sarku Japan,"Sarku Japan, 11521 West 95th Street Space #FC-G, Overland Park, KS 66214",38.954014,-94.7181069,"['Japanese restaurant', 'Fast food restaurant', 'Restaurant', 'Sushi restaurant', 'Teppanyaki restaurant']",3.8,64,$,"[['Wednesday', '10AM–8PM'], ['Thursday', '10AM–8PM'], ['Friday', '10AM–8PM'], ['Saturday', '10AM–8PM'], ['Sunday', '12–6PM'], ['Monday', '10AM–8PM'], ['Tuesday', '10AM–8PM']]"
0x87bae30d0e0d1863:0x1cfeb48db05a46fa,Fuji Japanese Chinese Grill & Sushi,"Fuji Japanese Chinese Grill & Sushi, 327 N Hillside St, Wichita, KS 67214",37.690968999999996,-97.29945099999999,"['Japanese restaurant', 'Asian restaurant', 'Chinese restaurant', 'Restaurant', 'Sushi restaurant']",4.4,226,$,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM']]"
