gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x886561ac4a1903db:0xfc571522063d8fc6,Yamato,"Yamato, 139 Copper Creek Dr, Powderly, KY 42367",37.2318767,-87.159831,['Japanese restaurant'],3.5,24,,"[['Tuesday', 'Closed'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM']]"
0x88425c888140f18f:0x49133ef2d5ad36f9,Tomo,"Tomo, 848 E High St, Lexington, KY 40502",38.0299289,-84.4900981,"['Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.4,113,$$,"[['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', 'Closed'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x88690ad2f4760199:0xb308c971356e379e,Asian Bento Express,"Asian Bento Express, 4000 Dutchmans Ln, Louisville, KY 40207",38.233323,-85.634714,"['Asian restaurant', 'Chinese restaurant', 'Fast food restaurant', 'Japanese restaurant', 'Thai restaurant']",4.2,5,,"[['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–9PM']]"
0x886a1b0e476212db:0x505a8d6c6b9776a2,Yamato Japanese Steakhouse and Sushi,"Yamato Japanese Steakhouse and Sushi, 1905 KY-227, Carrollton, KY 41008",38.663980599999995,-85.1388642,"['Japanese restaurant', 'Restaurant']",3.8,33,,"[['Monday', 'Closed'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '3–10:30PM'], ['Sunday', '11:30AM–9:30PM']]"
0x886908be377af19d:0x56757b091d560ada,Q & M Asian Cuisine,"Q & M Asian Cuisine, 5406 Antle Dr #110, Louisville, KY 40229",38.085871,-85.665128,['Japanese restaurant'],3.4,5,,"[['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–10PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–10PM']]"
0x88690902c7155207:0x463e8f0c5d6b0b29,Inolvis Shave Ice Temptations,"Inolvis Shave Ice Temptations, 1679 Old Preston Hwy N #39, Louisville, KY 40229",38.0798304,-85.66799449999999,"['Ice cream shop', 'Candy store', 'Catering food and drink supplier', 'Sweets and dessert buffet', 'Hawaiian restaurant', 'Japanese sweets restaurant']",4.5,26,,"[['Saturday', '10AM–12AM'], ['Sunday', '10AM–12AM'], ['Monday', '4–10PM'], ['Tuesday', '4–10PM'], ['Wednesday', '4–10PM'], ['Thursday', '4–10PM'], ['Friday', '10AM–12AM']]"
0x88425d1366c42b2f:0xbca413bfa484ad64,Kaede Market,"Kaede Market, 4371 Old Harrodsburg Rd, Lexington, KY 40513",37.9970242,-84.5845705,['Japanese grocery store'],4.7,56,,"[['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '10AM–7PM'], ['Sunday', '11AM–7PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–7PM']]"
0x884273d0cdc3f88b:0x923ddcaee1d3c035,Koi Express Frankfort Ky,"Koi Express Frankfort Ky, 101 Jett Boulevard #500, Frankfort, KY 40601",38.175397499999995,-84.8135906,['Japanese restaurant'],4.5,56,,"[['Thursday', '11AM–8:30PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8:30PM'], ['Tuesday', '11AM–8:30PM'], ['Wednesday', '11AM–8:30PM']]"
0x8841c7bf568a25df:0xee97c287496866f8,Oishi Express Japanese Grill,"Oishi Express Japanese Grill, 8201 U.S. Hwy 42, Florence, KY 41042",38.9816395,-84.6475641,"['Japanese restaurant', 'Asian fusion restaurant', 'Steak house', 'Sushi restaurant', 'Sushi takeaway']",4.8,36,,"[['Friday', '11AM–10:30PM'], ['Saturday', '11:30AM–10:30PM'], ['Sunday', '11:30AM–9:30PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x8869755a57dbaf03:0xabe92581a11afa53,Rice Hibachi & Sushi Kiosk,"Rice Hibachi & Sushi Kiosk, 7900 Shelbyville Rd, Louisville, KY 40222",38.2472266,-85.61014449999999,"['Sushi restaurant', 'Japanese restaurant']",3.4,28,,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–6PM'], ['Monday', '11AM–9PM']]"
0x8869125360cbbdd9:0xcf62fb67083c3298,Flavor Of Flavor,"Flavor Of Flavor, 3927 Dixie Hwy, Louisville, KY 40216",38.1941667,-85.8063889,"['Asian fusion restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Thai restaurant']",4.7,18,,"[['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', 'Closed'], ['Sunday', '11AM–9:30PM']]"
0x8865e8813906114b:0x8c43b2e6bf82e3f3,Kyoto Diner,"Kyoto Diner, 2800 Scottsville Rd #4, Bowling Green, KY 42104, United States",36.9473644,-86.4224084,"['Japanese restaurant', 'Restaurant']",4.4,178,$,"[['Monday', '11AM–8:30PM'], ['Tuesday', '11AM–8:30PM'], ['Wednesday', '11AM–8:30PM'], ['Thursday', '11AM–8:30PM'], ['Friday', '11AM–8:30PM'], ['Saturday', '11AM–8:30PM'], ['Sunday', 'Closed']]"
0x8865c9982dfd39ad:0x4f15643e2011dda7,Tokyo Express,"Tokyo Express, 1442 Nashville Rd, Franklin, KY 42134",36.696494,-86.57196499999999,"['Sushi restaurant', 'Japanese restaurant']",3.9,28,,"[['Sunday', '11AM–9:30PM'], ['Monday', 'Closed'], ['Tuesday', '10:30AM–9:30PM'], ['Wednesday', '10:30AM–9:30PM'], ['Thursday', '10:30AM–9:30PM'], ['Friday', '10:30AM–10PM'], ['Saturday', '10:30AM–10PM']]"
0x8841b13922ce354d:0x251ff5718db9eed2,Nagomi Japanese Restaurant,"Nagomi Japanese Restaurant, 526 Main St, Covington, KY 41011",39.0845499,-84.5172932,['Japanese restaurant'],4.8,28,,"[['Monday', 'Closed'], ['Tuesday', '5–9:30PM'], ['Wednesday', '5–9:30PM'], ['Thursday', '5–9:30PM'], ['Friday', '11AM–2PM'], ['Saturday', '5–9:30PM'], ['Sunday', '11AM–9PM']]"
0x8865e7d959da76b9:0x72512b1370283cc4,Katana Japanese Express,"Katana Japanese Express, 164 Iron Skillet Ct, Bowling Green, KY 42104",36.928576,-86.413704,"['Japanese restaurant', 'Authentic Japanese restaurant', 'Japanese steakhouse', 'Sushi restaurant']",4.4,18,,"[['Sunday', '11AM–2PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]"
0x8868e892909145a9:0xc568ec7a9fbb3edb,Kansai Japanese Steakhouse,"Kansai Japanese Steakhouse, 1611 N Dixie Hwy, Elizabethtown, KY 42701, United States",37.730100199999995,-85.8834626,"['Japanese restaurant', 'Sushi restaurant']",4.2,898,₩₩,"[['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10:30PM']]"
0x8865e8844031431d:0x9c887eac6be02a72,Suki Hana,"Suki Hana, 2625 Scottsville Rd # F6, Bowling Green, KY 42104",36.9484832,-86.4270836,['Japanese restaurant'],4.2,18,$,"[['Monday', '12–7PM'], ['Tuesday', '12–7PM'], ['Wednesday', '12–7PM'], ['Thursday', '12–7PM'], ['Friday', '12–7PM'], ['Saturday', '12–7PM'], ['Sunday', '12:30–6PM']]"
0x884290a8ab2fd973:0x4788553e7268e808,Summer Hokkaido,"Summer Hokkaido, 2900 S Danville Bypass, Danville, KY 40422",37.618294399999996,-84.7791872,"['Japanese restaurant', 'Restaurant']",4.2,154,$$,"[['Monday', 'Closed'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11:30AM–9PM']]"
0x886973231e9aa939:0x7c1b87d8ae4a84b,Barcode 1758,"Barcode 1758, 1758 Frankfort Ave, Louisville, KY 40206",38.2566133,-85.7171192,"['Sushi restaurant', 'Bar', 'Japanese restaurant', 'Korean restaurant']",4.2,36,,"[['Monday', '4PM–12AM'], ['Tuesday', '4PM–12AM'], ['Wednesday', '4PM–12AM'], ['Thursday', '4PM–12AM'], ['Friday', '4PM–2AM'], ['Saturday', '3PM–2AM'], ['Sunday', '3PM–12AM']]"
0x8866771482f11b7d:0xffd1ab095ba8354c,Lian's Fish & Grill,"Lian's Fish & Grill, 889 Old Gallatin Rd, Scottsville, KY 42164",36.7450384,-86.2019236,"['Restaurant', 'Japanese restaurant']",4.6,25,,"[['Sunday', '11AM–3PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]"
0x886529c4dfa63c13:0xfc59b538326b41e4,Sarku Japan,"Sarku Japan, 2840 Bastogne Avenue Fort Campbell Post Exchange Suite #D0009, Fort Campbell, KY 42223",36.646012299999995,-87.4526458,"['Japanese restaurant', 'Fast food restaurant', 'Restaurant', 'Sushi restaurant', 'Teppanyaki restaurant']",5.0,7,$,"[['Sunday', '10:30AM–6PM'], ['Monday', '10:30AM–7PM'], ['Tuesday', '10:30AM–7PM'], ['Wednesday', '10:30AM–7PM'], ['Thursday', '10:30AM–7PM'], ['Friday', '10:30AM–7PM'], ['Saturday', '10:30AM–7PM']]"
0x88699d38a30a0151:0xa89e01a36cb19b98,Sushi Master,"Sushi Master, 9415 Norton Commons Blvd #101, Prospect, KY 40059",38.324638,-85.5670997,['Japanese restaurant'],4.5,54,$$,"[['Sunday', '4–9PM'], ['Monday', 'Closed'], ['Tuesday', '11:30AM–2PM'], ['Wednesday', '11:30AM–2PM'], ['Thursday', '11:30AM–2PM'], ['Friday', '11:30AM–2PM'], ['Saturday', '11:30AM–2PM']]"
0x8868e75b45672327:0xf56929fd6353e9f9,Smith's Oriental Food Store,"Smith's Oriental Food Store, 1587 N Dixie Blvd, Radcliff, KY 40160",37.857621699999996,-85.9544641,"['Wholesale food store', 'Asian grocery store', 'Japanese grocery store', 'Korean grocery store']",4.3,58,,"[['Saturday', '9AM–8PM'], ['Sunday', '11AM–7PM'], ['Monday', '9AM–8PM'], ['Tuesday', '9AM–8PM'], ['Wednesday', '9AM–8PM'], ['Thursday', '9AM–8PM'], ['Friday', '9AM–8PM']]"
