gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x862704a426811fc3:0x7737af2ec12a16a2,Yamato Japanese Steakhouse Sushi & Hibachi,"Yamato Japanese Steakhouse Sushi & Hibachi, Amite City, LA 70422",30.7262433,-90.52077469999999,['Japanese restaurant'],4.4,8,,"[['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]"
0x8620a61825684bd5:0xbeaa68abdeff62e0,Yuki Izakaya,"Yuki Izakaya, 525 Frenchmen St, New Orleans, LA 70116",29.963290999999998,-90.057672,"['Japanese restaurant', 'Bar', 'Restaurant']",4.5,28,$$,"[['Monday', '6:30PM–12AM'], ['Tuesday', '6:30PM–12AM'], ['Wednesday', '6:30PM–12AM'], ['Thursday', '6:30PM–12AM'], ['Friday', '6:30PM–2AM'], ['Saturday', '6:30PM–2AM'], ['Sunday', '6:30PM–12AM']]"
0x8620b0e3b165850f:0xdc3240f627b2b9d3,Tokyo Bistro,"Tokyo Bistro, 5024 W Esplanade Ave, Metairie, LA 70006",30.0163819,-90.1997572,['Japanese restaurant'],4.4,28,,"[['Saturday', '11AM–10:30PM'], ['Sunday', '4–10PM'], ['Monday', '4–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM']]"
0x8624b567c014f5d3:0x48df3acfa572484e,Watami Japanese Restaurant,"Watami Japanese Restaurant, 2234 W Laurel Ave, Eunice, LA 70535",30.4965257,-92.4399598,['Japanese restaurant'],3.7,78,,"[['Thursday', '10AM–9:30PM'], ['Friday', '10AM–10PM'], ['Saturday', '10AM–10PM'], ['Sunday', '10AM–9:30PM'], ['Monday', 'Closed'], ['Tuesday', '10AM–9:30PM'], ['Wednesday', '10AM–9:30PM']]"
0x8620af787063e9dd:0xf184b6b82a89db6f,Yakuza House,"Yakuza House, 1325 Veterans Memorial Blvd STE A, Metairie, LA 70005",30.002214,-90.137892,['Japanese restaurant'],4.7,33,,"[['Monday', 'Closed'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed']]"
0x86249d065116c58b:0x27d1157d97ae73fb,Oishi Sushi,"Oishi Sushi, 924 Kaliste Saloom Rd, Lafayette, LA 70508",30.180418799999998,-92.0245063,['Japanese restaurant'],4.6,97,$$,"[['Sunday', 'Closed'], ['Monday', '11AM–1:30PM'], ['Tuesday', '11AM–1:30PM'], ['Wednesday', '11AM–1:30PM'], ['Thursday', '11AM–1:30PM'], ['Friday', '11AM–1:30PM'], ['Saturday', '11AM–1:30PM']]"
0x8620af13088a93ed:0xde95cae83a9ed618,Lotus Bistro,"Lotus Bistro, 203 W Harrison Ave, New Orleans, LA 70124",30.005910699999998,-90.1172737,"['Restaurant', 'Japanese restaurant', 'Ramen restaurant', 'Sushi restaurant']",3.8,36,$$,"[['Sunday', '11:30AM–2:30PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '11:30AM–2:30PM']]"
0x862110773fd06c05:0x4df3323731929ae0,Tokyo,"Tokyo, 5953 W Park Ave, Houma, LA 70364",29.63457,-90.7568644,['Japanese restaurant'],4.3,28,,"[['Saturday', '11AM–7PM'], ['Sunday', '9AM–5:30PM'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM']]"
0x863b866fb7ead363:0x6b21b95168bbe68c,Ichiban Japanese Grill,"Ichiban Japanese Grill, 568 W Prien Lake Rd, Lake Charles, LA 70601",30.2001919,-93.2271963,"['Asian restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.2,55,$,"[['Saturday', '10AM–9PM'], ['Sunday', '12–6PM'], ['Monday', '10AM–9PM'], ['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '10AM–9PM']]"
0x8626bb4f2603a519:0xd04b9544bb6c9cf3,Ginza JC Kamado's Sushi,"Ginza JC Kamado's Sushi, 4215 S Sherwood Forest Blvd, Baton Rouge, LA 70816",30.4149598,-91.0510978,"['Sushi restaurant', 'Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Japanese steakhouse', 'Restaurant']",4.1,108,$$,"[['Sunday', '4:30–9:30PM'], ['Monday', '11AM–2PM'], ['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM'], ['Saturday', '4:30–10:30PM']]"
