gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x4cb2a31121669bb1:0x17afc2b22c731a76,Kirin Sushi & Hibachi,"Maine, Scarborough, US-1, Kirin Sushi & Hibachi邮政编码: 04074",43.5821726,-70.36406699999999,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant']",4.9,37,,"[['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', 'Closed']]"
0x4cb29912c7428ca7:0xe7ca2c5508a6dd49,Sarku Japan,"Sarku Japan, 364 Maine Mall Rd Space #F109, South Portland, ME 04106",43.6325718,-70.3334361,"['Japanese restaurant', 'Fast food restaurant', 'Restaurant', 'Sushi restaurant', 'Teppanyaki restaurant']",4.1,68,$,"[['Saturday', '11AM–8PM'], ['Sunday', '11AM–6PM'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–8PM']]"
0x4cad8788804cbe49:0x5e2c339fafa89d02,Kobe Garden,"Maine, Topsham, Main St, Kobe Garden邮政编码: 04086",43.9360606,-69.9667037,"['Japanese restaurant', 'Asian fusion restaurant', 'Sushi restaurant']",4.1,62,$$,"[['Saturday', '11AM–11PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–11PM']]"
0x4cb2c9d89d3d3f23:0x3d3881e5606cbec9,Kai Asian Fusion,"Kai Asian Fusion, 459 Main St, Springvale, ME 04083",43.4661222,-70.79737469999999,"['Japanese restaurant', 'Asian restaurant']",4.5,16,,"[['Saturday', '11AM–3PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–3PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM']]"
0x4cb203d7077689ad:0x830624817f5eb7a5,Kume,"Kume, 19 Stephen King Dr Suite 1, Augusta, ME 04330, United States",44.346001699999995,-69.7896801,"['Japanese restaurant', 'Asian restaurant', 'Takeout restaurant', 'Restaurant', 'Sushi restaurant']",4.4,728,₩₩,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '11:30AM–9:30PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]"
0x89e2af4ae3f13573:0xe504ac132f3ad554,Black Sushi House,"Black Sushi House, 259 Main St, Ogunquit, ME 03907",43.250465999999996,-70.60025259999999,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant']",4.6,44,,"[['Friday', '5–10PM'], ['Saturday', '5–10PM'], ['Sunday', '5–10PM'], ['Monday', '5–10PM'], ['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', '5–10PM']]"
0x4cafb40d5a041923:0x4b50a2e2b24cd304,Kashi Japanese Steakhouse & Sushi,"Kashi Japanese Steakhouse & Sushi, 469 Stillwater Ave, Bangor, ME 04401",44.8258879,-68.7556448,"['Japanese restaurant', 'Asian fusion restaurant', 'Bar', 'Sushi restaurant']",3.9,57,,"[['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x4cadce28bdf7356b:0xf3683321e3c44d3a,Suzuki's Sushi Bar,"Suzuki's Sushi Bar, 419 Main St, Rockland, ME 04841",44.104735999999995,-69.10896699999999,"['Sushi restaurant', 'Asian restaurant', 'Bar', 'Japanese restaurant', 'Restaurant']",4.6,118,,"[['Wednesday', '5–8PM'], ['Thursday', '5–8PM'], ['Friday', '5–8PM'], ['Saturday', '5–8PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', 'Closed']]"
0x4cb3c4d67b072b37:0xa09ba0ef6f12d38c,Cho Sun - Sushi - Korean - Craft Beer - Wine Bar - Karaoke,"Cho Sun - Sushi - Korean - Craft Beer - Wine Bar - Karaoke, 141 Main St, Bethel, ME 04217",44.409058599999994,-70.7880228,"['Sushi restaurant', 'Asian restaurant', 'Caterer', 'Japanese restaurant', 'Korean restaurant', 'Restaurant', 'Sports bar', 'Wine bar']",4.3,128,$$,"[['Friday', '5–9PM'], ['Saturday', '5–9PM'], ['Sunday', '5–9PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '5–9PM'], ['Thursday', '5–9PM']]"
0x4cb29def32a9a025:0xccc71a3dc5e086a5,CRUNCHY POKÉ,"CRUNCHY POKÉ, 426 Fore St, Portland, ME 04101",43.655882399999996,-70.254122,"['Japanese restaurant', 'Bubble tea store', 'Hawaiian restaurant', 'Ramen restaurant']",4.8,206,,"[['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', '11AM–8PM'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', 'Closed'], ['Thursday', '11AM–8PM']]"
