gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x89b62c1451226b71:0x340729ccd81f0a9f,EN Asian Bistro & Sushi Bar,"EN Asian Bistro & Sushi Bar, 19833 Century Blvd, Germantown, MD 20874",39.1811922,-77.26648809999999,"['Sushi restaurant', 'Japanese restaurant', 'Restaurant']",3.8,8,,
0x89b9030008c56851:0x60781aecef14ccae,Shoyu Japan,"Shoyu Japan, 2300 N Salisbury Blvd G111, Salisbury, MD 21801",38.3970877,-75.5661842,['Japanese restaurant'],4.3,8,,
0x89b7a730e23f794b:0x5de2aec92ae3d85c,Hibachi Sushi & Supreme Buffet,"Hibachi Sushi & Supreme Buffet, 1290 Smallwood Dr W, Waldorf, MD 20603",38.613155299999995,-76.9298099,"['Restaurant', 'Asian restaurant', 'Japanese restaurant', 'Sushi restaurant']",3.3,38,$$,"[['Monday', 'Closed'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–9:30PM']]"
0x89b7cbc7684e9195:0xa035f2275117c3fa,Katsu Ramen,"Katsu Ramen, 12238 Rockville Pike, Rockville, MD 20852",39.0563133,-77.1200975,['Japanese curry restaurant'],4.4,26,,"[['Saturday', '11AM–8:30PM'], ['Sunday', '11:30AM–8:30PM'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8:30PM']]"
0x89b83c55f74be4ff:0xf6361d5f3b0d5df7,1812 Tavern,"1812 Tavern, 105 N Talbot St, St Michaels, MD 21663",38.786944399999996,-76.2241667,"['Sushi restaurant', 'Bar & grill', 'Japanese restaurant', 'Karaoke bar', 'Restaurant']",3.7,28,,"[['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM']]"
0x89b7c96442cdf951:0xefa56c9e5c622445,Tako Grill,"Tako Grill, 7756 Wisconsin Ave, Bethesda, MD 20814",38.9879621,-77.0953007,"['Japanese restaurant', 'Restaurant', 'Sushi restaurant']",3.5,6,$$,
0x89c803296edac193:0x78176c3d351eea0a,Chiu's Sushi,"Chiu's Sushi, 608 S Exeter St, Baltimore, MD 21202",39.2837624,-76.60009149999999,"['Chinese restaurant', 'Japanese restaurant']",5.0,8,$$,"[['Saturday', '12–11PM'], ['Sunday', '12–10PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM']]"
0x89c80365fe182975:0x8211bdd34973d16f,Wok & Roll,"Wok & Roll, 1025 Light St, Baltimore, MD 21230",39.2776974,-76.6122804,"['Restaurant', 'Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Sushi restaurant']",1.9,17,$$,"[['Monday', 'Closed'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '12–10PM']]"
0x89c805af4bf5004f:0xae3bfe93a47f791f,18-8 Sushi,"18-8 Sushi, 727 W 40th St #138, Baltimore, MD 21211",39.3353142,-76.63012619999999,['Japanese steakhouse'],3.9,74,,"[['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '12–11PM'], ['Sunday', '12–10PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM']]"
0x89b79745ffc633d1:0x520d389379564ac6,Sakura Hibachi,"Maryland, Upper Marlboro, Crain Hwy, Sakura Hibachi邮政编码: 20772",38.7847504,-76.7944431,"['Teppanyaki restaurant', 'Authentic Japanese restaurant', 'Takeout Restaurant', 'Restaurant', 'Sushi restaurant', 'Sushi takeaway']",4.3,48,,"[['Saturday', '11AM–10:15PM'], ['Sunday', '11:15AM–9:30PM'], ['Monday', '11AM–9:50PM'], ['Tuesday', '11AM–9:50PM'], ['Wednesday', '11AM–9:50PM'], ['Thursday', '11AM–9:50PM'], ['Friday', '11AM–10:15PM']]"
