gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x883cf196825110bb:0xe8411b85f6d9efa2,Numazu Delights,"Numazu Delights, 4460 W Maumee St, Adrian, MI 49221",41.9063192,-84.0727328,"['Japanese restaurant', 'Bubble tea store', 'Ramen restaurant', 'Sushi restaurant']",4.9,127,,"[['Sunday', '11AM–5PM'], ['Monday', '10AM–8PM'], ['Tuesday', '10AM–8PM'], ['Wednesday', '10AM–8PM'], ['Thursday', '10AM–8PM'], ['Friday', '10AM–8PM'], ['Saturday', '10AM–8PM']]"
0x883b3586813e3d67:0xd944dbca76d1a69d,Crave,"Crave, 22075 Michigan Ave, Dearborn, MI 48124",42.3056529,-83.24540619999999,"['Sushi restaurant', 'Japanese restaurant', 'Restaurant']",3.7,6,$$,"[['Monday', '4:30–10PM'], ['Tuesday', '4:30–10PM'], ['Wednesday', '4:30–10PM'], ['Thursday', '4:30–10PM'], ['Friday', '4:30–11PM'], ['Saturday', '4:30–11PM'], ['Sunday', 'Closed']]"
0x8824df5645209d13:0x1fd69e479a5e4c66,Yuki hibachi and poke sushi,"Yuki hibachi and poke sushi, 43289 Garfield Rd, Clinton Twp, MI 48038",42.614842499999995,-82.95390119999999,"['Japanese restaurant', 'Sushi restaurant', 'Vietnamese restaurant']",4.5,88,,"[['Monday', '11AM–9PM'], ['Tuesday', '3:30–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–9PM']]"
0x8824c553948eb74f:0xbf0db8301f8ea484,Sozai Restaurant,"Sozai Restaurant, 449 W 14 Mile Rd, Clawson, MI 48017",42.5328966,-83.1534885,"['Japanese restaurant', 'Sushi restaurant']",4.9,33,,"[['Thursday', '5:03–9PM'], ['Friday', '5:03–10PM'], ['Saturday', '5:03–10PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '5:03–9PM'], ['Wednesday', '5:03–9PM']]"
0x4d35592f8925d839:0x24eda66a436911b2,The Dig’s Food Truck,"The Dig’s Food Truck, 402 S Otsego Ave, Gaylord, MI 49735",45.024478099999996,-84.6781733,"['Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Korean beef restaurant', 'Mobile caterer']",5.0,18,,
0x8824b3b7733f217b:0xf06d962b3b00da14,Sumo Japanese Grill,"Sumo Japanese Grill, 36083 Plymouth Rd, Livonia, MI 48150",42.3672302,-83.3992888,['Japanese restaurant'],4.7,48,,"[['Friday', '12–8PM'], ['Saturday', '12–8PM'], ['Sunday', '12–6PM'], ['Monday', '12–8PM'], ['Tuesday', '12–8PM'], ['Wednesday', '12–8PM'], ['Thursday', '12–8PM']]"
0x8822e993833982f3:0x9d230eccc5dc2a5a,YumYum Bento,"YumYum Bento, 1017 E Grand River Rd, East Lansing, MI 48823",42.7318387,-84.4704837,"['Asian fusion restaurant', 'Japanese restaurant', 'Korean restaurant', 'Thai restaurant']",4.9,44,$,"[['Thursday', '11:30AM–8PM'], ['Friday', '11:30AM–8PM'], ['Saturday', '4–8PM'], ['Sunday', 'Closed'], ['Monday', '11:30AM–8PM'], ['Tuesday', '11:30AM–8PM'], ['Wednesday', '11:30AM–8PM']]"
0x8824cb3efbb2e473:0x7893a79196926c7d,Differnt Taste Different Place,"Differnt Taste Different Place, 14744 W Chicago, Detroit, MI 48228",42.3657223,-83.1894962,['Japanese restaurant'],4.3,8,,
0x8817835eee33a1d1:0x8527d566e7b26498,Sushiya,"Sushiya, 5455 Gull Rd Suite A, Kalamazoo, MI 49048",42.3231453,-85.5237215,"['Restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.0,38,,"[['Tuesday', '11:30AM–2PM'], ['Wednesday', '11:30AM–2PM'], ['Thursday', '11:30AM–2PM'], ['Friday', '11:30AM–2PM'], ['Saturday', '11:30AM–2:30PM'], ['Sunday', '3:30–8PM'], ['Monday', 'Closed']]"
0x8824ab637bb89391:0xe4ebf47df3134e7e,Sushi Sekai Japanese & Korean Cuisine,"Sushi Sekai Japanese & Korean Cuisine, 47249 Five Mile Rd, Plymouth, MI 48170",42.393589999999996,-83.5084955,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Korean restaurant']",4.0,5,,"[['Sunday', 'Closed'], ['Monday', '11:30AM–2:30PM'], ['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '4–9:30PM']]"
0x8824c89e588c7007:0xe72b4a365e9fb570,Otaku Anime Shop,"Otaku Anime Shop, 3044 Twelve Mile Rd, Berkley, MI 48072",42.5032833,-83.1899244,"['Japanese confectionery shop', 'Candy store', 'Store', 'Toy store']",3.4,14,,"[['Sunday', 'Closed'], ['Monday', '12–5PM'], ['Tuesday', '12–5PM'], ['Wednesday', '12–5PM'], ['Thursday', '12–5PM'], ['Friday', '12–5PM'], ['Saturday', '12–5PM']]"
0x8822dd5e9801062d:0x72eaf4d63f1e428c,Yum Japan,"Yum Japan, 1982 W Grand River Rd, Okemos, MI 48864",42.725716999999996,-84.418328,"['Japanese restaurant', 'Asian restaurant']",4.2,38,,"[['Friday', '11AM–7PM'], ['Saturday', '11AM–8PM'], ['Sunday', '11AM–5PM'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM']]"
