gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x87f62bad8ad0c727:0xb8697d544abbacd8,ROK Eatery,"ROK Eatery, 882 7th St W Suite 12, St Paul, MN 55102",44.9294376,-93.12369989999999,"['Restaurant', 'Gluten-free restaurant', 'Japanese restaurant', 'Vegan restaurant', 'Vegetarian restaurant']",5.0,68,,"[['Wednesday', '11:30AM–9PM'], ['Thursday', '11:30AM–9PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '11:30AM–9PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed']]"
0x52b33285aaa72aff:0xaad86d6c8a9217aa,Kaiseki Furukawa,"Kaiseki Furukawa, 33 N 1st Ave, Minneapolis, MN 55401",44.9846466,-93.2674674,"['Restaurant', 'Japanese restaurant', 'Kaiseki restaurant']",4.8,54,$$$,"[['Saturday', '6–10PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', '6–10PM'], ['Friday', '6–10PM']]"
0x52b32d7c1e8bca91:0xf1137ab0c93d31f,Kikugawa At Riverplace,"Kikugawa At Riverplace, 43 SE Main St, Minneapolis, MN 55414",44.9860548,-93.25798929999999,"['Japanese restaurant', 'Asian restaurant', 'Sushi restaurant']",4.4,5,,"[['Friday', '10:30AM–2:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '10:30AM–2:30PM'], ['Tuesday', '10:30AM–2:30PM'], ['Wednesday', '10:30AM–2:30PM'], ['Thursday', '10:30AM–2:30PM']]"
0x52b2d3fddf1207dd:0x5bce9b408c6217b5,Nori Japan,"Nori Japan, 3001 White Bear Ave, St Paul, MN 55109",45.0317708,-93.0230316,"['Japanese restaurant', 'Asian restaurant', 'Restaurant']",4.4,36,$,"[['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '10AM–9PM'], ['Saturday', '10AM–9PM'], ['Sunday', '11AM–6PM'], ['Monday', '10AM–9PM']]"
0x52b2c9eb60a7b64b:0x43bbf250a961fb1c,Shanghai Bistro Stillwater,"Shanghai Bistro Stillwater, 324 Main St S, Stillwater, MN 55082",45.0542885,-92.8056419,"['Restaurant', 'Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Sushi restaurant']",3.4,18,$$,"[['Sunday', '11AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
0x52b347fe3fa150a7:0xa660f6e60e13d670,Sumo Japanese Sushi & Steakhouse,"Sumo Japanese Sushi & Steakhouse, 7904 Main St, Maple Grove, MN 55369",45.098830799999995,-93.441189,"['Sushi restaurant', 'Japanese restaurant']",4.4,34,,"[['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '12–11PM'], ['Sunday', '12–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM']]"
0x87f629ab9b5c76db:0xed925ce0aa795710,Okome House,"Okome House, 4457 42nd Ave S, Minneapolis, MN 55406",44.921712799999995,-93.21244829999999,['Japanese restaurant'],4.6,76,,"[['Saturday', '12–9PM'], ['Sunday', '12–8PM'], ['Monday', 'Closed'], ['Tuesday', '4:30–8PM'], ['Wednesday', '4:30–8PM'], ['Thursday', '4:30–8PM'], ['Friday', '4:30–9PM']]"
0x87f6194558b6b561:0x57c0a70de21cdd20,Osaka Japanese Sushi & Hibachi Steakhouse Eden Prairie,"Osaka Japanese Sushi & Hibachi Steakhouse Eden Prairie, 11528 Leona Rd, Eden Prairie, MN 55344",44.8601434,-93.42136599999999,"['Japanese restaurant', 'Sushi restaurant']",4.5,48,,"[['Friday', '11AM–2:30PM'], ['Saturday', '12–10PM'], ['Sunday', '12–10PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM']]"
0x87f63bf84acaa893:0xf43557372665ea9f,T&J Restaurant,"T&J Restaurant, 1601 County Rd 42 W, Burnsville, MN 55306",44.745728799999995,-93.3002547,"['Thai restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.8,108,,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM']]"
0x87f6356d49d7868b:0x6b5a323a049420c4,Fusion Asian Food,"Fusion Asian Food, 14897 S Robert Trail, Rosemount, MN 55068",44.7326471,-93.1276863,['Japanese restaurant'],3.9,78,$$,"[['Sunday', '12–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
0x52b332b1672c46ef:0x2fbe9286984fea17,Gohan,,44.9636844,-93.26020989999999,"['Mobile caterer', 'Japanese restaurant', 'Sushi restaurant']",5.0,5,,
0x52b32d792a49ae7b:0x82cc5dc9d29b7e55,PinKU Japanese Street Food,"PinKU Japanese Street Food, 20 University Ave NE, Minneapolis, MN 55413, United States",44.9885629,-93.25701289999999,"['Japanese restaurant', 'Asian restaurant', 'Authentic Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.6,588,₩₩,"[['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM'], ['Saturday', '11AM–2PM'], ['Sunday', '11AM–2PM'], ['Monday', '11AM–2PM'], ['Tuesday', '11AM–2PM']]"
0x87f62d31fe86e099:0x3d2e66f44e797962,Bonchon Eagan,"Bonchon Eagan, 1348 Town Centre Dr, Eagan, MN 55123",44.830529999999996,-93.163795,"['Asian fusion restaurant', 'Asian restaurant', 'Chicken restaurant', 'Chicken wings restaurant', 'Fried chicken takeaway', 'Japanese restaurant', 'Korean restaurant', 'Pan-Asian restaurant']",3.9,38,$$,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM']]"
0x52b3329a9cc00001:0x9c0cadedd517e001,Hibachi Daruma,"Hibachi Daruma, 820 S Marquette Ave, Minneapolis, MN 55402",44.9747057,-93.2724676,"['Authentic Japanese restaurant', 'Delivery Restaurant']",4.6,75,,"[['Thursday', '11:30AM–7:30PM'], ['Friday', '11:30AM–7:30PM'], ['Saturday', '11:30AM–7:30PM'], ['Sunday', 'Closed'], ['Monday', '11:30AM–7:30PM'], ['Tuesday', '11:30AM–7:30PM'], ['Wednesday', '11:30AM–7:30PM']]"
0x87f78ed48a3588a7:0x60e97b52d6500446,Sakura Japanese Sushi Reataurant,"Sakura Japanese Sushi Reataurant, 930 W Main St, Red Wing, MN 55066",44.5633941,-92.54193719999999,['Japanese restaurant'],4.8,58,,"[['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM']]"
0x87f0d1661b343e19:0x9898b3df5d410dd8,Japan Panda,"Japan Panda, 100 14th St SW, Austin, MN 55912",43.6659675,-92.9932037,['Japanese restaurant'],4.4,238,$,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM']]"
0x87f618be36b3e9cf:0x1729196651bd7777,Rare Steak & Sushi,"Rare Steak & Sushi, 755 Prairie Center Dr, Eden Prairie, MN 55344",44.856262199999996,-93.436531,"['Japanese steakhouse', 'Bar', 'Cafe']",4.5,28,,"[['Tuesday', '7AM–10PM'], ['Wednesday', '7AM–10PM'], ['Thursday', '7AM–10PM'], ['Friday', '7AM–10PM'], ['Saturday', '7AM–10PM'], ['Sunday', '8AM–7PM'], ['Monday', '7AM–10PM']]"
0x52b32d5f3ea67b89:0x84bc5ea7a618bc0c,Bonchon Dinkytown,"Bonchon Dinkytown, 406 14th Ave SE, Minneapolis, MN 55414",44.980729,-93.235394,"['Asian fusion restaurant', 'Asian restaurant', 'Chicken restaurant', 'Chicken wings restaurant', 'Fried chicken takeaway', 'Japanese restaurant', 'Korean restaurant', 'Pan-Asian restaurant']",4.3,88,$$,"[['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM']]"
0x87f6f73f8ba9fc6f:0x23f5e07d566b728e,Mizuki Fusion,"Mizuki Fusion, 609 4th St NW, Faribault, MN 55021",44.294261999999996,-93.278598,"['Japanese restaurant', 'Restaurant']",4.7,256,$$,"[['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9:30PM'], ['Monday', 'Closed']]"
0x87f626d83ac580f1:0xa5edff576ecd4486,Sakana Sushi & Asian Bistro,"Sakana Sushi & Asian Bistro, 3812 W 50th St, Minneapolis, MN 55410",44.9126747,-93.328149,"['Sushi restaurant', 'Asian restaurant', 'Family restaurant', 'Japanese restaurant', 'Lunch restaurant']",4.7,74,,"[['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '12–10:30PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–2:30PM']]"
0x52b32ba809d0f6d5:0x551d6ab56fe63d84,Ichiddo Ramen Roseville,"Ichiddo Ramen Roseville, 2100 Snelling Ave N #70, Roseville, MN 55113",45.0055744,-93.1649302,"['Ramen restaurant', 'Asian restaurant', 'Japanese restaurant']",4.4,344,$$,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11:30AM–10:45PM'], ['Saturday', '11:30AM–10:45PM'], ['Sunday', '11:30AM–9PM']]"
0x87f62f95f7006353:0x77a6b1157815321e,Bonchon Mall of America,"Bonchon Mall of America, 372 South Avenue, Bloomington, MN 55425",44.853888,-93.24246199999999,"['Asian fusion restaurant', 'Asian restaurant', 'Chicken restaurant', 'Chicken wings restaurant', 'Fried chicken takeaway', 'Japanese restaurant', 'Korean restaurant', 'Pan-Asian restaurant']",3.6,37,$$,"[['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '10AM–9PM'], ['Saturday', '10AM–9PM'], ['Sunday', '11AM–7PM']]"
0x52b34a2ef951e377:0x5d0e01c40fe38936,Okinawa Sushi Bar,"Okinawa Sushi Bar, 3155 Empire Ln N, Plymouth, MN 55447",45.015622,-93.460872,"['Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.3,158,,"[['Sunday', '12–10PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '12–11PM']]"
0x87f6347ecf170275:0xeacc02fbd0172c0d,Fuji Grill And Sushi Bar,"Fuji Grill And Sushi Bar, 15092 Claret Ave W, Rosemount, MN 55068",44.7299271,-93.1408613,['Japanese restaurant'],4.8,208,$,"[['Sunday', '12–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]"
0x52b337b720ee8801:0x98864d638b1b76b6,Bonchon Maple Grove,"Bonchon Maple Grove, 11708 Elm Creek Blvd N, Maple Grove, MN 55369",45.095222,-93.429233,"['Asian fusion restaurant', 'Asian restaurant', 'Chicken restaurant', 'Chicken wings restaurant', 'Fried chicken takeaway', 'Japanese restaurant', 'Korean restaurant', 'Pan-Asian restaurant']",4.3,124,$$,"[['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
0x87f7d4798321b56b:0x54ab1c2bfcde9576,Hong Kong Restaurant,"Hong Kong Restaurant, 231 13th Ave S, South St Paul, MN 55075",44.887927999999995,-93.04931499999999,"['Restaurant', 'Asian restaurant', 'Chinese restaurant', 'Hunan restaurant', 'Japanese restaurant', 'Sushi restaurant']",3.8,378,$,"[['Saturday', '11AM–11PM'], ['Sunday', '12–11PM'], ['Monday', '11AM–10:30PM'], ['Tuesday', '4–10:30PM'], ['Wednesday', '4–10:30PM'], ['Thursday', '11AM–11PM'], ['Friday', '11AM–11PM']]"
0x87f7d85e76155555:0xe0dc56b6c6565b3f,Sapporo Sushi Asian Bistro,"Sapporo Sushi Asian Bistro, 10060 City Walk Dr #102, Woodbury, MN 55129",44.9430222,-92.90240829999999,"['Sushi restaurant', 'Bistro', 'Japanese restaurant', 'Restaurant']",4.1,68,,"[['Saturday', '12–11PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM']]"
0x87f7d9a44b5174b7:0xb00935469fb1b4ad,Teriyaki Madness,"Teriyaki Madness, 8366 3rd St N, Oakdale, MN 55128",44.951740099999995,-92.9350176,"['Asian fusion restaurant', 'Caterer', 'Fast food restaurant', 'Gluten-free restaurant', 'Japanese restaurant', 'Restaurant']",4.0,132,$,"[['Saturday', '11AM–8PM'], ['Sunday', '12–6PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM']]"
0x52afb33171c29391:0xc98a81d432e2a4f9,Zen House,"Zen House, 4023 Woodland Ave, Duluth, MN 55803",46.8507951,-92.08179779999999,"['Japanese restaurant', 'Restaurant']",4.7,315,$$,"[['Saturday', '12–8:30PM'], ['Sunday', 'Closed'], ['Monday', '4–8:30PM'], ['Tuesday', '4–8:30PM'], ['Wednesday', '4–8:30PM'], ['Thursday', '4–8:30PM'], ['Friday', '12–8:30PM']]"
0x52ae5295c5ece6b3:0xb9d92a051589ce4c,Zen House Holiday Center,"Zen House Holiday Center, 207 W Superior St, Duluth, MN 55802",46.784488599999996,-92.10233629999999,"['Japanese restaurant', 'Restaurant']",4.5,65,$,"[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–2PM'], ['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM']]"
0x52b332846e6b0671:0x39330af1af602f35,Origami,"Origami, 30 N 1st St #1, Minneapolis, MN 55401",44.984589,-93.267624,"['Japanese restaurant', 'Asian restaurant', 'Bar', 'Noodle shop', 'Ramen restaurant', 'Restaurant', 'Seafood restaurant', 'Sushi restaurant']",4.4,37,$$,"[['Friday', '11:30AM–2PM'], ['Saturday', '5–10:30PM'], ['Sunday', '5–9PM'], ['Monday', '11:30AM–2PM'], ['Tuesday', '11:30AM–2PM'], ['Wednesday', '11:30AM–2PM'], ['Thursday', '11:30AM–2PM']]"
0x52b330c05df3bef9:0x4ce37d5e5027c8d2,Oishi Teriaki,"Oishi Teriaki, 6930 Brooklyn Blvd, Minneapolis, MN 55429",45.0808496,-93.335876,"['Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.5,33,$$,"[['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '12–8PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM']]"
0x52b32d69d923aa39:0x555eda0e683192eb,Mango Factory,"Mango Factory, 233 Cedar Ave, Minneapolis, MN 55454",44.9728487,-93.2469105,"['Sushi restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Dessert restaurant', 'Japanese restaurant', 'Restaurant', 'Tea house']",3.4,98,$$,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11:30AM–10PM']]"
0x52b3282638db223d:0x643b599290782da0,Suishin Restaurant,"Suishin Restaurant, 125 Village Center Dr, North Oaks, MN 55127",45.080248499999996,-93.11539719999999,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Restaurant']",4.6,277,$$,"[['Monday', '4–9PM'], ['Tuesday', '4–9PM'], ['Wednesday', '4–9PM'], ['Thursday', '4–9PM'], ['Friday', '4–9PM'], ['Saturday', '4–9PM'], ['Sunday', '4–9PM']]"
