gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x8883c7ee2bb6bbf3:0xb25960d50702b841,Oishi japanese steak house,"Oishi japanese steak house, 13811 MS-16, Choctaw, MS 39350",32.770951499999995,-89.1940106,['Japanese steakhouse'],4.4,27,,"[['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–9:30PM']]"
0x889d208febd5c363:0x368c8f7a7f8d3cc4,Edo Sushi Asian Cuisine,"Edo Sushi Asian Cuisine, 6414 US-98, Hattiesburg, MS 39402",31.3168252,-89.40825079999999,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Restaurant', 'Seafood restaurant']",4.8,24,,"[['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', 'Closed']]"
0x889cdf1a730b7edb:0x86bd16499c225cc9,Kobe Japanese Steakhouse,"Kobe Japanese Steakhouse, 3801 Hardy St, Hattiesburg, MS 39402",31.325263999999997,-89.3458514,"['Japanese restaurant', 'Sushi restaurant']",3.8,33,,"[['Saturday', '11AM–2:30PM'], ['Sunday', '11AM–2:30PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM']]"
0x88874fd5c99651e1:0xd49325a623e5cce5,Kyoto,"Kyoto, 1044 Tupelo Commons, Tupelo, MS 38804",34.2978598,-88.7034862,['Japanese restaurant'],4.9,13,,
0x88815f1d9681bf7f:0xef83774c3ccbab57,Ninja Hibachi,"Ninja Hibachi, 201 N Church Ave, Louisville, MS 39339",33.1246757,-89.0555648,['Japanese steakhouse'],4.4,28,,"[['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '12–8PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM']]"
0x86282d2534328711:0x18f5e956261d5b9f,Yummy Japanese Express,"Yummy Japanese Express, 3039 US-80 E, Pearl, MS 39208",32.281791999999996,-90.11950499999999,['Japanese restaurant'],4.4,96,,"[['Saturday', '11AM–9:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9:30PM']]"
0x8628e05bd36c7e35:0x4a6ae05da0cdcd6d,Japanese Express,"Japanese Express 3403 pemberton Square Blvd Ste GH, Vicksburg, MS 39180",32.3132988,-90.8797134,['Japanese restaurant'],4.2,73,,"[['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9:30PM']]"
0x8883c17bb9aede3b:0xbf920367a98a2a4f,YAMATO STEAK HOUSE OF JAPAN,"YAMATO STEAK HOUSE OF JAPAN, 211 S Lewis Ave #10, Philadelphia, MS 39350",32.7691279,-89.12529909999999,"['Japanese steakhouse', 'Restaurant']",4.9,148,,"[['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM']]"
0x888070786155d91b:0xfd233c0251569d03,Four Seasons Asian Bistro,"Mississippi, Oxford, Jackson Ave W, Four Seasons Asian Bistro邮政编码: 38655",34.3659702,-89.55065379999999,"['Asian restaurant', 'Japanese steakhouse', 'Mandarin restaurant', 'Thai restaurant']",4.3,7,,"[['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM']]"
0x889c3e01fb283195:0xf16916f60b266262,Saku Japanese Express,"Saku Japanese Express, 15234 Crossroads Pkwy, Gulfport, MS 39503",30.4397591,-89.0946632,['Japanese restaurant'],4.2,28,,"[['Saturday', '11AM–9PM'], ['Sunday', '2–7PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM']]"
0x887dee01ef2ae31f:0xf9d530d5986086c2,Yamato Steak House Of Japan,"Yamato Steak House Of Japan, 1105 N 2nd St, Booneville, MS 38829",34.6750913,-88.5615433,['Japanese restaurant'],4.0,23,,"[['Friday', '11AM–10:30PM'], ['Saturday', 'Closed'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM']]"
0x889c111b5bcd253d:0xa0407dcb9fd7b5ae,Tokyo Express,"Tokyo Express, Biloxi, MS 39531",30.3919489,-88.9903013,"['Teppanyaki restaurant', 'Asian restaurant', 'Japanese restaurant']",3.1,8,$$,"[['Sunday', '12–6PM'], ['Monday', '10AM–9PM'], ['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '10AM–9PM'], ['Saturday', '10AM–9PM']]"
0x889c1110d886d4a1:0x4f0f23bae09e7287,Sakura Restaurant & Sushi Bar,"Sakura Restaurant & Sushi Bar, 2667 Pass Rd, Biloxi, MS 39531",30.399647199999997,-88.99324089999999,"['Japanese steakhouse', 'Seafood restaurant']",4.2,28,$$,"[['Saturday', '12–3PM'], ['Sunday', 'Closed'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM']]"
0x889c0ee4e5989573:0xad26816cd5b50b41,Jia,"Jia, Beau Rivage Resort & Casino, 875 Beach Blvd, Biloxi, MS 39530",30.3929397,-88.89191989999999,"['Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Korean restaurant', 'Thai restaurant', 'Vietnamese restaurant']",4.2,38,,"[['Saturday', '5–10PM'], ['Sunday', '5–10PM'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '5–10PM'], ['Thursday', '5–10PM'], ['Friday', '5–10PM']]"
0x8886e97dc5dc704d:0x72afde183c11c877,Steakhouse 45 & Sushi (Samurai),"Steakhouse 45 & Sushi (Samurai), 1920 US-45, Columbus, MS 39705",33.5199019,-88.4345072,['Japanese restaurant'],4.1,52,$$,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM']]"
0x889d6835386e5bd7:0x1fa92abfe3106de9,Yamato,"Yamato, 815 US-98, Columbia, MS 39429",31.239572,-89.818653,['Japanese restaurant'],4.2,65,,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '11AM–10PM']]"
