gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x87cf5de4ca212343:0x613f49f0f5d98597,Asahi Hibachi & Sushi,"Asahi Hibachi & Sushi, 586 US-60, Republic, MO 65738",37.117829,-93.4710413,['Japanese restaurant'],3.8,28,,"[['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM']]"
0x87cf5de4ca212343:0x613f49f0f5d98597,Asahi Hibachi & Sushi,"Asahi Hibachi & Sushi, 586 US-60, Republic, MO 65738",37.117829,-93.4710413,['Japanese restaurant'],3.8,28,,"[['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM']]"
0x87c0f05d9f59a839:0xd8dd9193acb85a65,KOBE Japanese Steak and Seafood,"KOBE Japanese Steak and Seafood, 1303 Baltimore Ave, Kansas City, MO 64105",39.098534,-94.5842136,"['Restaurant', 'Asian restaurant', 'Bar', 'Japanese restaurant', 'Steak house', 'Sushi restaurant']",2.9,18,$$,"[['Friday', '4:30–10PM'], ['Saturday', '4:30–10PM'], ['Sunday', 'Closed'], ['Monday', '4:30–10PM'], ['Tuesday', '4:30–10PM'], ['Wednesday', '4:30–10PM'], ['Thursday', '4:30–10PM']]"
0x87c01ba80cfe678d:0x42feb94db6f16aa,Komatsu Ramen,"Komatsu Ramen, 724 Felix St, St Joseph, MO 64501",39.766548199999995,-94.8509132,['Japanese restaurant'],4.5,98,$$,"[['Thursday', '11AM–1:30AM'], ['Friday', '11AM–1:30AM'], ['Saturday', '11AM–1:30AM'], ['Sunday', '11AM–12AM'], ['Monday', '11AM–1:30AM'], ['Tuesday', '11AM–1:30AM'], ['Wednesday', '11AM–1:30AM']]"
0x87d8d5b72635e0a1:0xc276721777a0b28e,Sapporo Sushi,"Sapporo Sushi, 15583 Manchester Rd, Ballwin, MO 63011",38.5933223,-90.5708507,"['Restaurant', 'Asian restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.5,8,$$,"[['Wednesday', '11:30AM–12AM'], ['Thursday', '11:30AM–12AM'], ['Friday', '11:30AM–12AM'], ['Saturday', '11:30AM–12AM'], ['Sunday', '12PM–12AM'], ['Monday', '11:30AM–12AM'], ['Tuesday', '11:30AM–12AM']]"
0x87c0e2f00eb2753b:0xaaa1c18f8d2887e6,Samurai Chef Steak & Sushi,"Samurai Chef Steak & Sushi, 12712 E US Hwy 40, Independence, MO 64055",39.040697,-94.430543,"['Sushi restaurant', 'Japanese restaurant', 'Restaurant']",3.2,38,$$,"[['Tuesday', 'Closed'], ['Wednesday', '4:30–9:30PM'], ['Thursday', '4:30–9:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11:30AM–10:30PM'], ['Sunday', '11:30AM–9PM'], ['Monday', '4:30–9:30PM']]"
0x87c5632317473221:0x889b8157667df5ed,Tokyo Hibachi Express,"Tokyo Hibachi Express, 1010 Spur Dr, Marshfield, MO 65706",37.3364408,-92.9223107,['Japanese restaurant'],4.8,18,,"[['Wednesday', '11AM–8:30PM'], ['Thursday', '11AM–8:30PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–8:30PM']]"
0x87c6a7d31d013339:0x7f902ff56e872920,Asianfy Hibachi - Japanese & Asian Fusion,"Asianfy Hibachi - Japanese & Asian Fusion, 805 E Ohio St, Clinton, MO 64735",38.3667665,-93.7623571,"['Japanese restaurant', 'Sushi restaurant']",4.5,25,,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM']]"
0x87c8795902c70bf7:0xa6a8cfe0afd679c7,Mosa Hibachi & Sushi Japanese Express Webb City,"Mosa Hibachi & Sushi Japanese Express Webb City, 24905 Demott Dr, Webb City, MO 64870",37.1429817,-94.5088028,['Japanese restaurant'],4.8,58,,"[['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '11AM–3PM'], ['Sunday', 'Closed']]"
0x87cf1cebac4775c7:0xf4ebb82c8b66f144,Blu shogun sushi bar,"Blu shogun sushi bar, 3265 Falls Pkwy, Branson, MO 65616",36.6266885,-93.2807443,"['Asian restaurant', 'Japanese restaurant', 'Korean restaurant', 'Seafood restaurant', 'Sushi restaurant']",4.0,38,,"[['Thursday', '4:30–9:30PM'], ['Friday', '4:30–10PM'], ['Saturday', '4:30–10PM'], ['Sunday', '4:30–9PM'], ['Monday', '4:30–9:30PM'], ['Tuesday', '4:30–9:30PM'], ['Wednesday', '4:30–9:30PM']]"
0x87d8cd8669666825:0xaeda9452fb502bc8,Sarku Japan,"Sarku Japan, 168 W County Center Dr Unit FC - 3, Des Peres, MO 63131",38.5999903,-90.44693869999999,"['Japanese restaurant', 'Asian restaurant', 'Fast food restaurant', 'Restaurant', 'Sushi restaurant', 'Teppanyaki restaurant']",3.9,28,$,"[['Monday', '10AM–8PM'], ['Tuesday', '10AM–8PM'], ['Wednesday', '10AM–8PM'], ['Thursday', '10AM–8PM'], ['Friday', '10AM–8PM'], ['Saturday', '10AM–8PM'], ['Sunday', '11AM–6PM']]"
0x87df355240bb4465:0x285b32de7b817821,Ginger Bistro,"Ginger Bistro, 6665 Delmar Blvd, University City, MO 63130",38.6564688,-90.30756079999999,"['Restaurant', 'Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Korean restaurant']",3.3,8,,
0x87d8b2e055b85453:0xb82d9da1b3a48071,Drunken Fish,"Drunken Fish, 612 N 2nd St, St. Louis, MO 63102",38.6298563,-90.1842923,"['Sushi restaurant', 'Asian restaurant', 'Bar', 'Cocktail bar', 'Japanese restaurant', 'Seafood restaurant']",4.0,18,,"[['Saturday', '4PM–12AM'], ['Sunday', '4–10PM'], ['Monday', '11AM–2PM'], ['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM']]"
0x87d8b33d62604acb:0xde013b6542b7957b,Wasabi Sushi Bars,"Wasabi Sushi Bars, 1228 Washington Ave, St. Louis, MO 63103, United States",38.631754,-90.197874,"['Sushi restaurant', 'Asian restaurant', 'Bar', 'Japanese restaurant', 'Restaurant', 'Seafood restaurant']",4.0,114,$$,"[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', 'Closed'], ['Friday', '9–9:01AM']]"
0x87c0ef0e330c022d:0x51b0faff51985e77,Domo,"Domo, 6322 Brookside Plaza, Kansas City, MO 64113",39.013106,-94.59083799999999,"['Japanese restaurant', 'Bar', 'Sushi restaurant']",4.4,86,$$,"[['Saturday', '12–10PM'], ['Sunday', '4:30–9:30PM'], ['Monday', '4:30–9:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM']]"
0x87c0ef254be88b55:0x342c94d12daa68d2,Kokoro Maki House,"Kokoro Maki House, 340 W 75th St, Kansas City, MO 64114",38.992432699999995,-94.5937508,"['Japanese restaurant', 'Sushi restaurant']",4.4,395,$$,"[['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '12–2:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM']]"
0x87cf21e14326bf19:0x9039e16ca5dc6a5c,Happy Teriyaki Restaurant,"Happy Teriyaki Restaurant, 11863 MO-13, Kimberling City, MO 65686",36.629450899999995,-93.42306049999999,"['Japanese restaurant', 'Asian restaurant']",4.4,88,,"[['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', 'Closed'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM']]"
0x87cf7b6f86ca2437:0xa72cbefdb04ce912,Yoshi Jen Grill & Sides,"Yoshi Jen Grill & Sides, 3250 E Battlefield Rd, Springfield, MO 65804",37.1567595,-93.230379,"['Japanese restaurant', 'Asian fusion restaurant', 'Korean restaurant', 'Pan-Asian restaurant']",4.6,107,,"[['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM'], ['Saturday', '11AM–2PM'], ['Sunday', 'Closed'], ['Monday', '11AM–1PM'], ['Tuesday', '11AM–2PM']]"
0x87dcb80a4844daad:0x80f6025f75c8e0f6,China Garden,"China Garden, 3420 Clark Ln, Columbia, MO 65202, United States",38.9634704,-92.2863922,"['Chinese restaurant', 'Buffet restaurant', 'Japanese steakhouse']",4.0,1344,₩,"[['Monday', '11AM–8:30PM'], ['Tuesday', '11AM–8:30PM'], ['Wednesday', '11AM–8:30PM'], ['Thursday', '11AM–8:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–8:30PM']]"
0x87c0f05df09e80d1:0xfe97ceac921d49c9,Ko Ko Teriyaki,"Ko Ko Teriyaki, 1100 Main St #110, Kansas City, MO 64105",39.1002778,-94.58388889999999,"['Asian restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.2,18,,"[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM']]"
0x88778b6d85c7274d:0xfb086edbf83c4101,Tokyo Sushi Steakhouse,"Tokyo Sushi Steakhouse, 1815 E Jackson Blvd, Jackson, MO 63755",37.371144099999995,-89.64873469999999,['Japanese restaurant'],4.7,34,,"[['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM']]"
0x87d8c864042bc9c9:0x51af93030cd4dd2d,Sushi Sake,"Sushi Sake, 4418 Lemay Ferry Rd, St. Louis, MO 63129, United States",38.500128,-90.331249,"['Japanese restaurant', 'Asian restaurant', 'Sushi restaurant']",4.3,588,₩₩,"[['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11:30AM–10PM'], ['Monday', '11AM–10PM']]"
0x87d84544c475a50d:0x4122aa5d7f2b7377,Hibachi Buffet & Sushi,"Hibachi Buffet & Sushi, 917 Valley Creek Dr, Farmington, MO 63640",37.793441699999995,-90.43870559999999,"['Sushi restaurant', 'Buffet restaurant', 'Chinese restaurant', 'Family restaurant', 'Japanese restaurant']",3.1,18,,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM']]"
0x87d8b3f97122238f:0x7dc72e64a39c016c,HIRO Poke Co.,"HIRO Poke Co., 211 N Broadway Eatery A, St. Louis, MO 63102",38.627818399999995,-90.1900634,"['Restaurant', 'Japanese restaurant', 'Ramen restaurant']",4.2,27,$,"[['Monday', '10AM–3PM'], ['Tuesday', '10AM–3PM'], ['Wednesday', '10AM–3PM'], ['Thursday', '10AM–3PM'], ['Friday', '10AM–3PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]"
0x87dcb7afad43c423:0xc6a63ee1110e829a,J-Petal & Poke MO,"J-Petal & Poke MO, 114 S 9th St #101, Columbia, MO 65201",38.950072299999995,-92.3271504,['Japanese restaurant'],4.7,28,,"[['Monday', '11AM–10PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '11AM–10PM']]"
0x87d8b4a151f6b507:0x3f1ee4245e680952,BaiKu Sushi Lounge,"BaiKu Sushi Lounge, 3407 Olive St, St. Louis, MO 63103",38.6369056,-90.2286056,"['Sushi restaurant', 'Asian fusion restaurant', 'Japanese restaurant']",4.4,86,,"[['Saturday', '5–10PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '4:30–9PM'], ['Wednesday', '4:30–9PM'], ['Thursday', '4:30–9PM'], ['Friday', '4:30–10PM']]"
0x87cf6f1b4e3954a5:0x44b8faa348237685,Hana Grill,"Hana Grill, 9682, 702 W Mt Vernon St, Nixa, MO 65714",37.0430302,-93.30918469999999,['Japanese restaurant'],4.2,118,$$,"[['Friday', '4–9PM'], ['Saturday', '4–9PM'], ['Sunday', 'Closed'], ['Monday', '4–9PM'], ['Tuesday', '4–9PM'], ['Wednesday', '4–9PM'], ['Thursday', '4–9PM']]"
0x87cf03504c22ebc7:0xf65d173c1f5e60a1,Mitsu Neko Fusion Cuisine and Sushi Bar,"Mitsu Neko Fusion Cuisine and Sushi Bar, 1819 76 Country Blvd, Branson, MO 65616",36.642891299999995,-93.2507019,"['Japanese restaurant', 'Asian fusion restaurant', 'Sushi restaurant']",4.6,178,$$,"[['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–2:30PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '4:30–9PM'], ['Wednesday', '11AM–2:30PM']]"
0x87ded0e6b58c11b1:0xf26d1902edfc9,Thai Jasmine Restaurant,"Thai Jasmine Restaurant, 2019 State Hwy K, O'Fallon, MO 63366",38.781500099999995,-90.7006024,"['Thai restaurant', 'Asian restaurant', 'Japanese restaurant', 'Southeast Asian restaurant', 'Sushi restaurant']",4.4,148,$$,"[['Wednesday', '5–8PM'], ['Thursday', '5–8PM'], ['Friday', '5–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '5–8PM']]"
0x87d8c6802eccbd7b:0xc4ed4c9402946d34,J Sushi,"J Sushi, 1249 Water Tower Pl, Arnold, MO 63010",38.4392127,-90.3754577,['Japanese restaurant'],4.5,68,,"[['Wednesday', '4–8:30PM'], ['Thursday', '4–8:30PM'], ['Friday', '4–8:30PM'], ['Saturday', '4–8:30PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '4–8:30PM']]"
0x809ada31595d9797:0xf6afb10f8a2a2ba9,Chunmi Sushi,"Chunmi Sushi, 15583 Manchester Rd, Ballwin, MO 63011",38.5933065,-90.570848,"['Japanese restaurant', 'Restaurant']",4.6,108,$$,"[['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '12–3PM'], ['Sunday', 'Closed'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM']]"
0x87cf7c885dab67cb:0x14b915d9b78bd850,Kazoku Sushi Bar & Grill,"Kazoku Sushi Bar & Grill, 3637 E Sunshine St, Springfield, MO 65809",37.1810633,-93.2201485,"['Bar & grill', 'Japanese restaurant']",4.5,68,$$,"[['Wednesday', '4:30–8PM'], ['Thursday', '4:30–8PM'], ['Friday', '4:30–8PM'], ['Saturday', '4:30–8PM'], ['Sunday', 'Closed'], ['Monday', '4:30–8PM'], ['Tuesday', '4:30–8PM']]"
