gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x535b097a97baeecb:0x513b0f40620cbad5,Kobe Steak and Sushi,"Kobe Steak and Sushi, 2121 Amherst Ave, Butte, MT 59701",45.9867144,-112.5064069,['Japanese steakhouse'],4.1,28,,"[['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '12–10PM'], ['Sunday', '12–9:30PM'], ['Monday', '11:30AM–2:30PM'], ['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM']]"
0x534545b79f086e61:0x8c473a2ff0fba0b9,Asian Foods,"Asian Foods, 1205 E Main St, Bozeman, MT 59715",45.679247499999995,-111.01968,"['Restaurant', 'Japanese restaurant', 'Ramen restaurant', 'Sushi restaurant']",4.6,67,,"[['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '12–8PM'], ['Sunday', '12–8PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM']]"
0x87530c96f58cf74f:0x5d81a7e07547dd70,Samurai Sam's,"Samurai Sam's, 2855 N S 19th Ave # H, Bozeman, MT 59718",45.709357,-111.0649499,"['Japanese restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Chinese restaurant', 'Fast food restaurant', 'Food court', 'Noodle shop', 'Salad shop', 'Thai restaurant']",3.3,38,$,"[['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM'], ['Sunday', 'Closed'], ['Monday', '11AM–7PM']]"
0x53665a55ff648f59:0x8e2a799085171053,Midori,"Midori, North #4, 2385 US-93, Kalispell, MT 59901",48.236975199999996,-114.3291053,"['Japanese restaurant', 'Sushi restaurant', 'Tempura restaurant']",4.4,108,$$,"[['Sunday', 'Closed'], ['Monday', '11AM–4PM'], ['Tuesday', '11AM–4PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '12–8PM']]"
0x534237a6758717ab:0xbe0f5e5721dd0a33,Teriyaki Kitchen,"Teriyaki Kitchen, 2501 10th Ave S, Great Falls, MT 59405",47.4944669,-111.26408529999999,"['Asian restaurant', 'Japanese restaurant']",4.2,48,$,"[['Saturday', '11AM–7PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–7PM']]"
0x536650b0d81e557b:0xaf46246c1c21de7c,Ryohin Asian Fusion Restaurant,"Ryohin Asian Fusion Restaurant, 1260 U.S. Hwy 2 W, Kalispell, MT 59901",48.1991121,-114.3350116,"['Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Delivery Restaurant', 'Sushi restaurant', 'Thai restaurant']",4.4,66,,"[['Tuesday', '4–9:30PM'], ['Wednesday', '4–9:30PM'], ['Thursday', '4–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', 'Closed'], ['Monday', '4–9:30PM']]"
0x534237bf4e8c6713:0x614e5dbcb710f44b,Suki Cafe,"Suki Cafe, 1229 10th Ave S, Great Falls, MT 59405",47.494471,-111.2857129,"['Japanese restaurant', 'Restaurant']",4.2,148,$$,"[['Friday', '11AM–8:15PM'], ['Saturday', '11AM–8:15PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM']]"
0x534545c1a2656c5f:0xfc906885320c9ee0,Bozeman Hokkaido RAMEN House,"Bozeman Hokkaido RAMEN House, THE KATHERINE BUILDING, 867 S 29th Ave, Bozeman, MT 59718",45.6706083,-111.077017,"['Japanese restaurant', 'Bubble tea store', 'Noodle shop']",4.5,186,$$,"[['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '11:30AM–8:30PM'], ['Sunday', '11:30AM–8PM'], ['Monday', '11:30AM–2:30PM'], ['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM']]"
0x535dcc2a12f7b8d3:0xe2ce0d6a9bf19d30,Sushi Hana Downtown,"Sushi Hana Downtown, 403 N Higgins Ave, Missoula, MT 59802",46.873388999999996,-113.9936393,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Restaurant']",4.2,566,$$,"[['Thursday', '11:30AM–3PM'], ['Friday', '11:30AM–3PM'], ['Saturday', '11:30AM–3PM'], ['Sunday', '5–9:30PM'], ['Monday', '11:30AM–3PM'], ['Tuesday', '11:30AM–3PM'], ['Wednesday', '11:30AM–3PM']]"
0x534237f99246accf:0x67dabc005de9a4c5,Kobe Seafood & Steak,"Kobe Seafood & Steak, 115 3rd St NW, Great Falls, MT 59404",47.509153999999995,-111.31633889999999,"['Japanese restaurant', 'Restaurant', 'Seafood restaurant']",4.3,896,$$$,"[['Friday', '11:30AM–10PM'], ['Saturday', '12–10PM'], ['Sunday', '12–9:30PM'], ['Monday', '11:30AM–9:30PM'], ['Tuesday', '11:30AM–9:30PM'], ['Wednesday', '11:30AM–9:30PM'], ['Thursday', '11:30AM–9:30PM']]"
