gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x87938fa566916c73:0x5f7d357e09949071,O Dining & Lounge,"O Dining & Lounge, 1015 Farnam St, Omaha, NE 68102",41.257377,-95.929985,"['Restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Bar', 'Chinese restaurant', 'Japanese restaurant', 'Lounge', 'Delivery Restaurant', 'Takeout Restaurant']",4.5,28,$$,"[['Thursday', '5–9PM'], ['Friday', '5–10PM'], ['Saturday', '5–10PM'], ['Sunday', '5–9PM'], ['Monday', 'Closed'], ['Tuesday', '5–9PM'], ['Wednesday', '5–9PM']]"
0x8793f295629eab97:0xf0aa21af4869c0a7,Grand China Buffet,"Grand China Buffet, 11226 Chicago Cir, Omaha, NE 68154",41.2621046,-96.0891817,"['Chinese restaurant', 'Asian restaurant', 'Buffet restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.0,2847,$$,"[['Wednesday', '11AM–8:15PM'], ['Thursday', '11AM–8:15PM'], ['Friday', '11AM–8:45PM'], ['Saturday', '11AM–8:45PM'], ['Sunday', '11AM–8:15PM'], ['Monday', '11AM–8:15PM'], ['Tuesday', '11AM–8:15PM']]"
0x87938bcab4214255:0xb68e9b7cdf5d1ddd,Ika San Shadowlake,"Ika San Shadowlake, 7902 Towne Center Pkwy Suite 101, Papillion, NE 68046",41.1350158,-96.0291993,['Japanese restaurant'],4.1,28,,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]"
0x8793f3cee6a032e7:0x436c3bfdeb1ada06,Sarku Japan,"Sarku Japan, 3001 South 144th Street Space #VC-7, Omaha, NE 68144",41.2289684,-96.1342363,"['Japanese restaurant', 'Asian restaurant', 'Fast food restaurant', 'Restaurant', 'Sushi restaurant', 'Teppanyaki restaurant']",4.1,88,$,"[['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', '12–6PM'], ['Monday', '11AM–7PM']]"
0x8793892cac0b7ce5:0x4ac77bcd5c57e401,Teriyaki Express,"Teriyaki Express, 5015 S 24th St, Omaha, NE 68107",41.2078081,-95.94660619999999,['Japanese restaurant'],4.1,68,,"[['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–9PM'], ['Saturday', '12–9PM'], ['Sunday', '12–8PM']]"
0x879643605defb17d:0xce39e073609f5638,Kuro-Sakura Hibachi and Sushi,"Kuro-Sakura Hibachi and Sushi, 123 N 4th St, Beatrice, NE 68310",40.2667376,-96.7497401,"['Japanese restaurant', 'Restaurant']",4.8,37,,"[['Sunday', 'Closed'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '12–8PM']]"
0x87938e0aa6259e83:0x6ae80ef641dcf632,Shuko Teriyaki,"Shuko Teriyaki, 665 N 46th St, Omaha, NE 68132",41.266625,-95.98271849999999,['Japanese restaurant'],4.7,9,,"[['Saturday', '11AM–9:30PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM']]"
0x882495b05c4c89c7:0x453e1fac182f5c34,Samurai Sam's,"Samurai Sam's, 230 N 17th St, Lincoln, NE 68508",40.815351899999996,-96.6962023,"['Japanese restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Chinese restaurant', 'Fast food restaurant', 'Food court', 'Noodle shop', 'Salad shop', 'Thai restaurant']",4.2,97,$,
0x87938caba072292d:0xf15174946c262ca7,Teriyaki Express,"Nebraska, Omaha, Q St, Teriyaki Express邮政编码: 68127",41.204433699999996,-96.06512389999999,['Authentic Japanese restaurant'],4.4,198,$,"[['Sunday', '12–8PM'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–9PM'], ['Saturday', '12–9PM']]"
0x87994eb6b364814f:0xda5c7e6ce1ea3f68,Gourmet House Japanese Cuisine,"Gourmet House Japanese Cuisine, 1325 2nd Ave, Kearney, NE 68847",40.6877977,-99.0838545,"['Japanese restaurant', 'Restaurant']",4.5,198,$$,"[['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9:30PM']]"
