gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x80c8b8c5e8ca0bcb:0xfb79733f2a45b210,Ninja Teriyaki + Sushi + Noodle,"Ninja Teriyaki + Sushi + Noodle, 10140 W Tropicana Ave, Las Vegas, NV 89147",36.100395299999995,-115.31426289999999,['Japanese restaurant'],4.0,18,,"[['Sunday', '3–8PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '3–8PM']]"
0x80c8c4163e4da6b9:0xa19d33326e70ab7e,Social House,"Social House, 3720 S Las Vegas Blvd, Las Vegas, NV 89158",36.1078246,-115.1745179,"['Restaurant', 'Chinese restaurant', 'Fine dining restaurant', 'Japanese restaurant', 'Lounge', 'Sushi restaurant']",4.3,8,$$$,"[['Tuesday', '12–10PM'], ['Wednesday', '12–10PM'], ['Thursday', '12–10PM'], ['Friday', '12–11PM'], ['Saturday', '12–11PM'], ['Sunday', '12–10PM'], ['Monday', '12–10PM']]"
0x80c8c69823ea02a5:0x10ae34f96ab77226,IZAKAYA COCOKALA,"〒89103 Nevada, Las Vegas, W Flamingo Rd, IZAKAYA COCOKALA",36.1147321,-115.2013023,"['Japanese restaurant', 'Restaurant']",4.6,8,,"[['Sunday', '5PM–3AM'], ['Monday', '11:30AM–2:30PM'], ['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '5PM–3AM']]"
0x80c8c465103830b7:0xe7f2feebd417aa5c,Bar Sake & Robata Grill,"Bar Sake & Robata Grill, 3000 Paradise Rd, Las Vegas, NV 89109",36.1362611,-115.1512539,['Authentic Japanese restaurant'],4.3,6,,
0x80c8cf0d9700f8fd:0x95f3eb31fa77d352,Blue Sea Sushi and Izakaya,"Blue Sea Sushi and Izakaya, 500 E Windmill Ln Suite 165, Las Vegas, NV 89123",36.0430345,-115.1514327,"['Japanese restaurant', 'Ramen restaurant', 'Sushi restaurant', 'Vegetarian restaurant']",4.5,34,,"[['Saturday', '5–10:30PM'], ['Sunday', '5–9:30PM'], ['Monday', 'Closed'], ['Tuesday', '11:30AM–2PM'], ['Wednesday', '11:30AM–2PM'], ['Thursday', '11:30AM–2PM'], ['Friday', '11:30AM–2PM']]"
0x8099407e617d507b:0xf5281bdd0a64b040,Sushi Club,"Sushi Club, 294 E Moana Ln #1, Reno, NV 89502",39.4917419,-119.7918665,"['Japanese restaurant', 'Asian restaurant', 'Restaurant', 'Sushi restaurant']",3.9,18,$$,"[['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–10PM']]"
0x80c8c5cc93820e25:0x4db6c40cfb303a9c,Shibuya,"Shibuya, 3799 S Las Vegas Blvd, Las Vegas, NV 89109",36.1026534,-115.1690454,"['Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.4,28,$$$,"[['Monday', '5:30–10:30PM'], ['Tuesday', '5:30–10:30PM'], ['Wednesday', '5:30–10:30PM'], ['Thursday', '5:30–10:30PM'], ['Friday', '5:30–11PM'], ['Saturday', '5:30–11PM'], ['Sunday', '5:30–10:30PM']]"
0x80c8c6b7ecc4ae65:0x3203b64cbed156d8,Kaba Curry Japanese Curry House & More,"Kaba Curry Japanese Curry House & More, 5115 W Spring Mountain Rd #234, Las Vegas, NV 89146",36.125537,-115.211241,"['Indian restaurant', 'Asian fusion restaurant', 'Japanese restaurant']",4.4,7,,"[['Sunday', '11AM–3PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '11AM–3PM']]"
0x80c8c72b42f2a1c5:0xc68acee6b16ce3a5,Sakura Sushi,"Sakura Sushi, 6850 Spring Mountain Rd f3, Las Vegas, NV 89146",36.1268946,-115.2413876,['Japanese restaurant'],4.1,17,$,
0x80c8c7f9ba91d9c5:0xa6016633cb44dc50,HEIGHT Japanese Cutlet,"HEIGHT Japanese Cutlet, 4300 W Spring Mountain Rd Suite 108 Las Vegas, NV 89102",36.126933,-115.1978352,['Japanese curry restaurant'],4.9,14,,"[['Wednesday', '11:30AM–10PM'], ['Thursday', '11:30AM–10PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '11:30AM–9PM'], ['Monday', '11:30AM–10PM'], ['Tuesday', '11:30AM–10PM']]"
0x80c8cffbf737f06b:0x2da46b886a34eef3,Tokyo Grill Express,"Tokyo Grill Express, 6420 S Pecos Rd, Las Vegas, NV 89120",36.072350799999995,-115.1003021,['Japanese restaurant'],4.5,6,$$,"[['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM']]"
0x80c8c50667c8cc11:0xd6f4954fe4e90786,Yoshinoya Maryland Parkway,"Yoshinoya Maryland Parkway, 4808 S Maryland Pkwy, Las Vegas, NV 89119",36.1025728,-115.1366827,"['Japanese restaurant', 'Restaurant']",4.0,48,,"[['Monday', '9AM–10PM'], ['Tuesday', '9AM–10PM'], ['Wednesday', '9AM–10PM'], ['Thursday', '9AM–10PM'], ['Friday', '10AM–10:30PM'], ['Saturday', '10AM–10:30PM'], ['Sunday', '9AM–10PM']]"
