gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x89e2bf0b117ac51f:0x9b6d2135c7417c90,Sake Japanese Restaurant,"Sake Japanese Restaurant, 141 Congress Street, Portsmouth, NH 03801",43.0761028,-70.7604403,"['Japanese restaurant', 'Restaurant']",3.6,18,,
0x4cb335a7bf764653:0x56f31bd87bb2a17d,Koung Sushi Mart,"Koung Sushi Mart, 20 Canal St, Laconia, NH 03246",43.5287387,-71.4700561,['Japanese restaurant'],5.0,13,,"[['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '11AM–7PM']]"
0x89e2c04805442ab1:0xbd67175432bfc65a,LaiLai,"LaiLai, 2466 Lafayette Rd, Portsmouth, NH 03801",43.031737,-70.78753,"['Asian restaurant', 'Bar', 'Japanese restaurant', 'Restaurant', 'Steak house', 'Sushi restaurant']",4.1,18,$$,"[['Sunday', '12–10PM'], ['Monday', '11:30AM–10PM'], ['Tuesday', '11:30AM–10PM'], ['Wednesday', '11:30AM–10PM'], ['Thursday', '11:30AM–10PM'], ['Friday', '11:30AM–11PM'], ['Saturday', '11:30AM–11PM']]"
0x89e3ba77f1b30033:0x27098bbcf5c65c2a,Tomo Hibachi,"Tomo Hibachi, No longer in business, 166 Daniel Webster Hwy, Nashua, NH 03060",42.7200105,-71.44155909999999,"['Sushi restaurant', 'Japanese restaurant', 'Restaurant']",2.8,18,,"[['Monday', '12–10PM'], ['Tuesday', '12–10PM'], ['Wednesday', '12–10PM'], ['Thursday', '12–10PM'], ['Friday', '12–11PM'], ['Saturday', '12–11PM'], ['Sunday', '12–9PM']]"
0x4cb32539f81ec489:0x5005af87247ebce1,Saka Japanese Restaurant,"New Hampshire, Wolfeboro, Center St, Saka Japanese Restaurant邮政编码: 03894",43.6093323,-71.1805969,['Japanese restaurant'],4.3,26,,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '12–9:30PM']]"
0x89e2ff6555bbaa7d:0x222ba133d66a05a7,Osaka,"Osaka, 416 Emerson Ave, Hampstead, NH 03841",42.8876942,-71.1490353,['Japanese steakhouse'],4.0,178,$$,"[['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11:30AM–9:30PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x89e24037b6f3e4b5:0xaea7622c4addc2c7,Chen Yang Li,"Chen Yang Li, 520 South St, Bow, NH 03304, United States",43.170055999999995,-71.53555829999999,"['Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Restaurant']",4.2,448,₩₩,"[['Wednesday', '11:30AM–10PM'], ['Thursday', '11:30AM–10PM'], ['Friday', '11:30AM–11PM'], ['Saturday', '11:30AM–11PM'], ['Sunday', '11:30AM–11PM'], ['Monday', '11:30AM–10PM'], ['Tuesday', '11:30AM–10PM']]"
0x89e2bfd3e3e9a843:0xa7acbd167a2202bc,Sarku Japan,"Sarku Japan, 50 Fox Run Rd Suite 72, Newington, NH 03801",43.0964205,-70.8049968,"['Japanese restaurant', 'Fast food restaurant', 'Restaurant', 'Sushi restaurant', 'Teppanyaki restaurant']",4.3,68,$,"[['Sunday', '11AM–6PM'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM']]"
0x89e3b581804e4af7:0x1f9cec7ca59230d,Hana Japanese Cuisine,"Hana Japanese Cuisine, 7 Continental Blvd, Merrimack, NH 03054",42.837448099999996,-71.4993701,['Japanese restaurant'],4.8,70,,"[['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM']]"
0x89e2ecceacc4d45d:0xe4e946d45caf49a6,Kume Bistro,"Kume Bistro, 12 Weaver St d, Newmarket, NH 03857",43.0813547,-70.9368255,"['Japanese restaurant', 'Bistro']",4.5,195,$$,"[['Tuesday', '12–9PM'], ['Wednesday', '12–9PM'], ['Thursday', '12–9PM'], ['Friday', '12–9PM'], ['Saturday', '5–9PM'], ['Sunday', '12–9PM'], ['Monday', '12–9PM']]"
0x89e2bf0dc6e22189:0x32161f7e829be9b9,Domo Japanese Restaurant,"Domo Japanese Restaurant, 96 State Street, Portsmouth, NH 03801",43.0769735,-70.754373,['Japanese restaurant'],4.2,238,$$,"[['Monday', 'Closed'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '12–10PM']]"
0x89e24f267a2cfba9:0x6c87c1091bfb6c3,Thousand Crane,"Thousand Crane, 1000 Elm St, Manchester, NH 03101",42.992559199999995,-71.46369539999999,"['Japanese restaurant', 'Chinese restaurant', 'Sushi restaurant']",3.5,174,$$,"[['Monday', '11AM–9PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–9PM'], ['Thursday', '11:15AM–9AM'], ['Friday', '11:15AM–9:30PM'], ['Saturday', '11:30AM–9:30PM'], ['Sunday', '1–9PM']]"
0x89e29587c8dcc123:0xac28f7c45bca8c72,Shogun Japanese Steak House,"Shogun Japanese Steak House, 347 Shattuck Way, Newington, NH 03801",43.1106182,-70.8149038,"['Japanese steakhouse', 'Function room facility', 'Restaurant', 'Sushi restaurant', 'Teppanyaki restaurant']",4.2,75,,"[['Sunday', '12–9:30PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
