gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x89c3b6630d50fe53:0x39f0d22f0df4fcda,Aoi Japanese Restaurant & Bar,"Aoi Japanese Restaurant & Bar, Inside APA Hotel, 120 S Wood Ave, Iselin, NJ 08830",40.561796699999995,-74.3257995,['Authentic Japanese restaurant'],4.4,96,,"[['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', 'Closed'], ['Friday', '5–9PM'], ['Saturday', '12–2PM'], ['Sunday', '12–2PM'], ['Monday', 'Closed']]"
0x89c2f71207b2c11f:0x3d614037c3cf76e8,Sushi Aoki,"Sushi Aoki, 215 Main St STE 104, Fort Lee, NJ 07024",40.8514929,-73.9707437,"['Japanese restaurant', 'Restaurant']",5.0,28,,"[['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '5:30–10:45PM'], ['Thursday', '5:30–10:45PM'], ['Friday', '5:30–10:45PM'], ['Saturday', '5:30–10:45PM'], ['Sunday', '5:30–8PM']]"
0x89c7343f8285ae71:0xfbbd071d6d8092a8,Peking Tokyo,"Peking Tokyo, 101 E Main St, Millville, NJ 08332",39.395154999999995,-75.03826099999999,"['Chinese restaurant', 'Asian restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant']",3.7,28,$,"[['Sunday', '12–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM']]"
0x89c13502f1f7a3bb:0xd1a1c16004082a4b,Teriyaki Madness,"Teriyaki Madness, 101 Route 73 S, Ste 165, Marlton, NJ 08053",39.890366199999995,-74.92699689999999,"['Asian fusion restaurant', 'Caterer', 'Fast food restaurant', 'Gluten-free restaurant', 'Japanese restaurant', 'Restaurant']",3.5,28,$,"[['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM']]"
0x89c254802a60c59d:0x365f2ed12654cacd,Lol Japanese Cuisine - Hibachi,"Lol Japanese Cuisine - Hibachi, University Square Residence, 155 University Ave, Newark, NJ 07102",40.7425664,-74.17379729999999,['Japanese restaurant'],3.5,6,,"[['Saturday', '11AM–9:30PM'], ['Sunday', 'Closed'], ['Monday', '10:30AM–9:30PM'], ['Tuesday', '10:30AM–9:30PM'], ['Wednesday', '10:30AM–9:30PM'], ['Thursday', '10:30AM–9:30PM'], ['Friday', '10:30AM–9:30PM']]"
0x89c3aaadf7959cef:0x5f68505afa877303,Genji,"Genji, 701 Bloomfield Ave, Montclair, NJ 07042",40.8184812,-74.2229783,['Japanese restaurant'],4.4,7,$$,"[['Friday', '8AM–10PM'], ['Saturday', '8AM–10PM'], ['Sunday', '8AM–10PM'], ['Monday', '8AM–10PM'], ['Tuesday', '8AM–10PM'], ['Wednesday', '8AM–10PM'], ['Thursday', '8AM–10PM']]"
0x89c2fbc6fba307e1:0x73e79c11954bbbff,GoGo Sushi,"GoGo Sushi, 450 Hackensack Ave, Hackensack, NJ 07601",40.909591299999995,-74.0312289,"['Japanese restaurant', 'Sushi restaurant', 'Sushi takeaway']",4.6,7,,"[['Tuesday', '11:30AM–10PM'], ['Wednesday', '11:30AM–10PM'], ['Thursday', '11:30AM–10PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '11:30AM–10PM'], ['Monday', 'Closed']]"
0x89c259c4c7152dbb:0xaf8be9ba6e7a74b8,INORU HIBACHI,"INORU HIBACHI, 5709 Hudson Ave, West New York, NJ 07093",40.7856954,-74.0141525,['Japanese restaurant'],4.8,16,,"[['Tuesday', '10:30AM–10PM'], ['Wednesday', '10:30AM–10PM'], ['Thursday', '10:30AM–10PM'], ['Friday', '10:30AM–11PM'], ['Saturday', '10:30AM–11PM'], ['Sunday', 'Closed'], ['Monday', '10:30AM–10PM']]"
0x89c251f8ccb16509:0xe2186e667fca6801,Ramen Green,"Ramen Green, 420 Grand St, Jersey City, NJ 07302",40.7187323,-74.0522317,"['Ramen restaurant', 'Delivery service', 'Authentic Japanese restaurant', 'Japanese restaurant', 'Takeout Restaurant']",4.8,18,,"[['Saturday', '11AM–8:30PM'], ['Sunday', '11AM–8:30PM'], ['Monday', '11AM–8:30PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–8:30PM'], ['Thursday', '11AM–8:30PM'], ['Friday', '11AM–8:30PM']]"
0x89c257695e5a67bb:0xc9e3bde97b1a8f21,Teri Teri Japanese Restaurant,"Teri Teri Japanese Restaurant, 398 Central Ave, Jersey City, NJ 07307",40.7483551,-74.04756119999999,['Japanese restaurant'],3.0,68,,"[['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM']]"
0x89c3b16217b1188b:0x4d9fd4854562f280,Sakura,"Sakura, 1129 Raritan Rd, Clark, NJ 07066",40.628901,-74.3130121,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant']",2.9,15,$$,"[['Monday', '11AM–10:30PM'], ['Tuesday', '11AM–10:30PM'], ['Wednesday', '11AM–10:30PM'], ['Thursday', '11AM–10:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–10:30PM']]"
0x89c3c651aa95cb57:0x586587e04af1ff6c,TeriTeri,"TeriTeri, 363 George St, New Brunswick, NJ 08901",40.495067899999995,-74.4437428,['Japanese restaurant'],4.6,74,$,"[['Friday', '8AM–8PM'], ['Saturday', '8AM–3PM'], ['Sunday', '8AM–3PM'], ['Monday', '8AM–8PM'], ['Tuesday', '8AM–8PM'], ['Wednesday', '8AM–8PM'], ['Thursday', '8AM–8PM']]"
0x89c2f193a99e5da9:0xe32bfdc55ae0e770,Matsuyama,"Matsuyama, 10 Engle St, Englewood, NJ 07631",40.8933234,-73.97289839999999,['Japanese restaurant'],4.7,58,,"[['Friday', '11:30AM–9PM'], ['Saturday', '11:30AM–9PM'], ['Sunday', '12–8PM'], ['Monday', '11:30AM–8:30PM'], ['Tuesday', '11:30AM–8:30PM'], ['Wednesday', 'Closed'], ['Thursday', '11:30AM–8:30PM']]"
0x89c30afeef57f513:0xf2bd86c425170147,Fei Asian Cuisine,"Fei Asian Cuisine, 321 Mt Hope Ave Unit I, Rockaway, NJ 07866",40.909768,-74.5499952,"['Asian fusion restaurant', 'Chinese restaurant', 'Family restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant', 'Thai restaurant']",4.0,8,,"[['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x89c3b777cc9861ab:0xc1404878764e4bf4,Asahi,"Asahi, 3600 Park Ave, South Plainfield, NJ 07080",40.576606,-74.393031,"['Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.4,8,,"[['Wednesday', '11AM–10:30PM'], ['Thursday', '11AM–10:30PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '12–10PM'], ['Monday', '11AM–10:30PM'], ['Tuesday', '11AM–10:30PM']]"
0x89c0ee3c2f1e5fa1:0xd1c4109a19df4bba,Mukashi Sushi Bar,"Mukashi Sushi Bar, 1133 Boardwalk, Atlantic City, NJ 08401",39.3583673,-74.4211107,"['Restaurant', 'Japanese restaurant']",4.2,28,,"[['Wednesday', '12–10PM'], ['Thursday', '4–10PM'], ['Friday', '4PM–12AM'], ['Saturday', '12PM–12AM'], ['Sunday', '12–10PM'], ['Monday', '4–10PM'], ['Tuesday', '12–10PM']]"
0x89c3e1fb043740ef:0x4d3030379d200efe,Banzai Japanese Restaurant,"Banzai Japanese Restaurant, 3690 Quakerbridge Rd, Trenton, NJ 08619",40.2619642,-74.6766415,"['Japanese restaurant', 'Restaurant']",3.8,38,$$,"[['Tuesday', '11:30AM–9:30PM'], ['Wednesday', '11:30AM–9:30PM'], ['Thursday', '11:30AM–9:30PM'], ['Friday', '11:30AM–10:30PM'], ['Saturday', '11:30AM–10:30PM'], ['Sunday', '3–9:30PM'], ['Monday', '11:30AM–9:30PM']]"
