gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x86e26fb9a82604fd:0xe14a3d924089179c,A&J Hibachi,"A&J Hibachi, 1000 W 2nd St, Roswell, NM 88201",33.393884799999995,-104.5365568,['Japanese restaurant'],4.6,8,,"[['Thursday', '11AM–2:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–2:30PM']]"
0x8718a0fa2d74a101:0x6cf876c806bb230c,Wasabi Japanese Cuisine,"Wasabi Japanese Cuisine, 417 Tramway Blvd NE #3rd, Albuquerque, NM 87123",35.073491,-106.4970037,"['Japanese restaurant', 'Sushi restaurant']",4.3,16,,"[['Sunday', '11AM–9PM'], ['Monday', '10:30AM–9PM'], ['Tuesday', '10:30AM–9PM'], ['Wednesday', '10:30AM–9PM'], ['Thursday', '10:30AM–9PM'], ['Friday', '10:30AM–9PM'], ['Saturday', '10:30AM–9PM']]"
0x86de162f4c20222f:0xa408dabcdee8c850,Black Tie Sushi,"Black Tie Sushi, 1160 El Paseo Rd, Las Cruces, NM 88001",32.3002959,-106.77189,"['Sushi restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Sushi takeaway']",4.0,35,,"[['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8PM']]"
0x872274e3e2975043:0xb4fe9f2dcc5b1fc1,Azuma Sushi & Teppan,"Azuma Sushi & Teppan, 4701 San Mateo Blvd NE, Albuquerque, NM 87109, United States",35.136107599999995,-106.5870989,"['Japanese restaurant', 'Japanese steakhouse', 'Seafood restaurant', 'Sushi restaurant']",4.3,1517,$$,"[['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–9PM']]"
0x871851d3db1c2f9b:0xcedfa0809a9c0df6,Fortune Maki Sushi & Dessert,"Fortune Maki Sushi & Dessert, 113 E Water St Unit 102, Santa Fe, NM 87501",35.6863684,-105.9392259,['Japanese restaurant'],4.6,73,,"[['Saturday', '11AM–8PM'], ['Sunday', '12–7PM'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–8PM']]"
0x87227529506ca23d:0x67aec85021dfc98c,Pacific Paradise,"Pacific Paradise, 3000 San Pedro Dr NE Suite D, Albuquerque, NM 87110",35.1169211,-106.57732879999999,"['Asian restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant', 'Thai restaurant']",4.5,674,$$,"[['Thursday', '11:30AM–3PM'], ['Friday', '11:30AM–3PM'], ['Saturday', '11:30AM–3PM'], ['Sunday', '4–9PM'], ['Monday', '11:30AM–3PM'], ['Tuesday', '11:30AM–3PM'], ['Wednesday', '11:30AM–3PM']]"
0x87221dad78c6ad0f:0xdc8f7f51a632507d,Sakura Japanese Habachi Grill&Sushi Restaurant,"New Mexico, Los Lunas, Main St SW, Sakura Japanese Habachi Grill&Sushi Restaurant邮政编码: 87031",34.815887,-106.7495703,"['Japanese restaurant', 'Takeout Restaurant', 'Restaurant', 'Sushi restaurant']",4.3,368,,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '12–10PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM']]"
0x86de162a4c3ff125:0xe5b347379c459192,Tokyo Sushi,"Tokyo Sushi, 1030 El Paseo Rd, Las Cruces, NM 88001",32.299580999999996,-106.774433,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant']",4.4,108,$$,"[['Saturday', '12–9PM'], ['Sunday', 'Closed'], ['Monday', '11:30AM–2:30PM'], ['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM']]"
0x8718a019dae96b4f:0xc75cb4cbde5e82e6,Nagomi Restaurant,"Nagomi Restaurant, 2400 Juan Tabo Blvd NE, Albuquerque, NM 87112",35.1094448,-106.5149768,['Japanese restaurant'],4.6,217,$$,"[['Sunday', 'Closed'], ['Monday', '11AM–2PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM'], ['Saturday', '11AM–2PM']]"
0x87227446992d5f65:0x2c583239b4c909,Mogu Mogu,"Mogu Mogu, 4001 Masthead St NE, Albuquerque, NM 87113",35.166762299999995,-106.5984539,['Japanese restaurant'],4.6,138,,"[['Friday', '11AM–2:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM']]"
0x87220bef131d9e1f:0x1bd58de26ca4a8f7,Asahi Express,"Asahi Express, 2106 Central Ave SE, Albuquerque, NM 87106",35.0808563,-106.62356559999999,['Japanese restaurant'],4.7,68,,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM']]"
0x87185a4b8b1d3d9b:0x7d4420fc989959f9,San Q Sushi,"San Q Sushi, 3470 Zafarano Dr, Santa Fe, NM 87507",35.6424388,-106.0166235,['Japanese restaurant'],4.0,67,,"[['Wednesday', '11:30AM–9:15PM'], ['Thursday', '11:30AM–9:15PM'], ['Friday', '11:30AM–9:30PM'], ['Saturday', '11:30AM–9:30PM'], ['Sunday', '12–9PM'], ['Monday', '11:30AM–9:15PM'], ['Tuesday', 'Closed']]"
0x873b971f7bdbf553:0x61a0595798fbf117,Teriyaki Chicken Combo,"Teriyaki Chicken Combo, 4206 US-64, Kirtland, NM 87417",36.7427778,-108.35666669999999,['Japanese restaurant'],4.3,126,$,"[['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM']]"
0x871851de18ed5fe1:0x4d8d85471b60f9b6,Sushi8,"Sushi8, 66 E San Francisco St ste21, Santa Fe, NM 87501",35.6868337,-105.9387082,['Japanese steakhouse'],4.2,27,,"[['Monday', '12–9PM'], ['Tuesday', '12–9PM'], ['Wednesday', '12–9PM'], ['Thursday', '12–9PM'], ['Friday', '12–9PM'], ['Saturday', '12–9PM'], ['Sunday', '12–9PM']]"
