gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x89c25f6a82c4a53b:0xa6197d8e648f3a60,Aaron Sushi,"Aaron Sushi, 2545 Steinway St, Astoria, NY 11103",40.766704999999995,-73.91233299999999,"['Japanese restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Chinese restaurant', 'Health food restaurant', 'Delivery Restaurant', 'Takeout Restaurant', 'Ramen restaurant', 'Sushi restaurant']",4.3,27,,"[['Wednesday', '11:30AM–11:30PM'], ['Thursday', '11:30AM–11:30PM'], ['Friday', '11:30AM–12PM'], ['Saturday', '11:30AM–12PM'], ['Sunday', '12AM–11PM'], ['Monday', '11:30AM–11:30PM'], ['Tuesday', '11:30AM–11:30PM']]"
0x89c25f6a82c4a53b:0xa6197d8e648f3a60,Aaron Sushi,"Aaron Sushi, 2545 Steinway St, Astoria, NY 11103",40.766704999999995,-73.91233299999999,"['Japanese restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Chinese restaurant', 'Health food restaurant', 'Delivery Restaurant', 'Takeout Restaurant', 'Ramen restaurant', 'Sushi restaurant']",4.3,27,,"[['Wednesday', '11:30AM–11:30PM'], ['Thursday', '11:30AM–11:30PM'], ['Friday', '11:30AM–12PM'], ['Saturday', '11:30AM–12PM'], ['Sunday', '12AM–11PM'], ['Monday', '11:30AM–11:30PM'], ['Tuesday', '11:30AM–11:30PM']]"
0x89c25d39826e5f91:0xbd45a9da7944aa2b,DINER by THE IZAKAYA,"DINER by THE IZAKAYA, 56-06 Cooper Ave #1, Ridgewood, NY 11385",40.6924619,-73.90153579999999,['Japanese restaurant'],3.3,6,,"[['Tuesday', '4–11PM'], ['Wednesday', '4–11PM'], ['Thursday', '4–11PM'], ['Friday', '4–11PM'], ['Saturday', '12PM–12AM'], ['Sunday', '12PM–12AM'], ['Monday', '4–11PM']]"
0x89c2592a2bcfeb0f:0xbec03c1927832c8e,Sarashina Horii,"Sarashina Horii, 45 E 20th St, New York, NY 10003",40.7387844,-73.9883559,['Japanese restaurant'],4.3,33,,"[['Tuesday', 'Closed'], ['Wednesday', '5–10PM'], ['Thursday', '5–10PM'], ['Friday', '5–11PM'], ['Saturday', '12–4PM'], ['Sunday', '12–4PM'], ['Monday', 'Closed']]"
0x89e895b3e7ed3085:0x8a14939cb39ce743,Kissaki Sushi,"Kissaki Sushi, 670 Montauk Hwy Suite E, Water Mill, NY 11976",40.910031499999995,-72.3543784,"['Sushi restaurant', 'Japanese restaurant']",4.6,48,,"[['Monday', '5PM–12AM'], ['Tuesday', '5PM–12AM'], ['Wednesday', '5PM–12AM'], ['Thursday', '5PM–12AM'], ['Friday', '5PM–12AM'], ['Saturday', '5PM–12AM'], ['Sunday', '5PM–12AM']]"
0x89c24d060111e4a5:0xeb648e7ccbcdb73f,Avocado Sushi,"Avocado Sushi, 1430 Richmond Ave, Staten Island, NY 10314",40.613457499999996,-74.1589984,['Japanese restaurant'],4.3,18,,"[['Monday', '11AM–10:30PM'], ['Tuesday', '11AM–10:30PM'], ['Wednesday', '11AM–10:30PM'], ['Thursday', '11AM–10:30PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '12AM–10PM']]"
0x89c25b20037abe65:0x3e5016ffd962c234,Sakura Tokyo,"Sakura Tokyo, 604 Nostrand Ave., Brooklyn, NY 11216",40.677927,-73.9500063,['Japanese restaurant'],4.2,8,,"[['Sunday', '11AM–6:30PM'], ['Monday', '11AM–6:30PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]"
0x89c29303a4084e81:0xcd161e68467a40d9,Maruichi Japanese Food&Deli scarsdale,"Maruichi Japanese Food&Deli scarsdale, 816 White Plains Rd, Scarsdale, NY 10583",40.9759119,-73.8025378,['Japanese restaurant'],4.9,7,,"[['Friday', '9AM–7:30PM'], ['Saturday', '9AM–7PM'], ['Sunday', '9AM–7PM'], ['Monday', '9AM–7:30PM'], ['Tuesday', '9AM–7:30PM'], ['Wednesday', '9AM–7:30PM'], ['Thursday', '9AM–7PM']]"
0x89c25857d5935681:0xb4d24eeaf3637f06,Mr Robata,"Mr Robata, 1674 Broadway, New York, NY 10019",40.762809399999995,-73.982872,"['Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.3,8,,
0x89c259087418f81b:0xb74eaa85b87a6086,Naruto Ramen Express,"Naruto Ramen Express, 133 E 31st St, New York, NY 10016",40.744713499999996,-73.9812927,['Japanese restaurant'],3.9,38,,"[['Wednesday', '11:30AM–10PM'], ['Thursday', '11:30AM–10PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '11:30AM–10PM'], ['Monday', '11:30AM–10PM'], ['Tuesday', '11:30AM–10PM']]"
0x89c25fc60e31246f:0x86dc6809800e4295,Flavor East,"Flavor East, 6058 Flushing Ave, Queens, NY 11378",40.719941999999996,-73.905366,"['Asian fusion restaurant', 'Asian restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant', 'Sushi takeaway']",4.3,6,$$,"[['Wednesday', '11:30AM–10:30AM'], ['Thursday', '11:30AM–10:30AM'], ['Friday', '11:30AM–11PM'], ['Saturday', '11:30AM–11PM'], ['Sunday', '12:30AM–10:30PM'], ['Monday', 'Closed'], ['Tuesday', '11:30AM–10:30PM']]"
0x89c25924b5ee8317:0xc736ead39faecdd2,Curry Mania - Japanese Curry & Sando,"Curry Mania - Japanese Curry & Sando, 267 Amsterdam Ave, New York, NY 10023",40.778836,-73.98118199999999,['Japanese curry restaurant'],4.1,8,,"[['Tuesday', 'Closed'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM']]"
0x89c258fed6d19b35:0x8bca289a676209f0,Yummy Sushi,"Yummy Sushi, 30 Rockefeller Plaza, New York, NY 10112",40.759081099999996,-73.97925,"['Japanese restaurant', 'Asian restaurant', 'Sushi restaurant']",2.8,8,$$,"[['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]"
0x89de0b602f6119e5:0xa4679d238ada1850,Nori Japan,"Nori Japan, 131 Central Ave, Albany, NY 12205",42.7107738,-73.816193,['Japanese restaurant'],3.4,14,,"[['Sunday', '11AM–5PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM']]"
0x89c2600ef93c4091:0xef0f0ff8a21488c1,Yu Sushi Bar,"Yu Sushi Bar, 133-44 37th Avenue, Flushing, NY 11354",40.7606214,-73.8332223,"['Sushi restaurant', 'Japanese restaurant']",4.8,14,$$,"[['Sunday', '5–10PM'], ['Monday', 'Closed'], ['Tuesday', '5–10PM'], ['Wednesday', '5–10PM'], ['Thursday', '5–10PM'], ['Friday', '5–10PM'], ['Saturday', '5–10PM']]"
0x89c259d15c4d4d31:0xfd6e8bcbd310872e,Yamadaya,"Yamadaya, 450 6th Ave store a, New York, NY 10011",40.7350724,-73.998212,"['Japanese grocery store', 'Asian grocery store', 'Beauty supply store', 'Grocery store', 'Household goods wholesaler', 'Japanese sweets restaurant']",4.8,73,,"[['Saturday', '10:30AM–9:30PM'], ['Sunday', '10:30AM–9:30PM'], ['Monday', '10:30AM–9:30PM'], ['Tuesday', '10:30AM–9:30PM'], ['Wednesday', '10:30AM–9:30PM'], ['Thursday', '10:30AM–9:30PM'], ['Friday', '10:30AM–9:30PM']]"
0x89e83f121e1a0727:0x24a796fd224a0526,eShin Noodle Bar,"eShin Noodle Bar, 1113 NY-25A Unit 3E, Stony Brook, NY 11790",40.9200431,-73.12987559999999,"['Ramen restaurant', 'Japanese restaurant']",4.9,34,,"[['Saturday', '1–9PM'], ['Sunday', '1–9PM'], ['Monday', '12–3PM'], ['Tuesday', '12–3PM'], ['Wednesday', '12–3PM'], ['Thursday', '12–3PM'], ['Friday', '12–3PM']]"
0x89c259499c127fb1:0xb5efcc95e479f131,Aquihito,"Aquihito, 359 W 39th St, New York, NY 10018",40.756496899999995,-73.9936918,"['Restaurant', 'Bar', 'Japanese restaurant']",5.0,28,,"[['Saturday', '6PM–2AM'], ['Sunday', '8PM–2AM'], ['Monday', 'Closed'], ['Tuesday', '6PM–2AM'], ['Wednesday', '6PM–2AM'], ['Thursday', '6PM–2AM'], ['Friday', '6PM–2AM']]"
0x89c2943727edf409:0x150f1abbbffed37b,Asian Temptation,"Asian Temptation, 23 Mamaroneck Ave, White Plains, NY 10601",41.032015,-73.7660506,"['Asian restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.1,28,$$,"[['Friday', '11AM–11:30PM'], ['Saturday', '12–11:30PM'], ['Sunday', '12–10:30PM'], ['Monday', '11AM–10:30PM'], ['Tuesday', '11AM–10:30PM'], ['Wednesday', '11AM–10:30PM'], ['Thursday', '11AM–10:30PM']]"
0x89c2599d0898fdcd:0x88e313f0c5a7e171,Ramen Setagaya,"Ramen Setagaya, 141 1st Ave, New York, NY 10003",40.7280637,-73.98522969999999,"['Restaurant', 'Japanese restaurant', 'Ramen restaurant']",2.8,5,$$,
0x89dd32203daa6ca1:0x86cdc4771c34bac3,Akasaka,"Akasaka, 40 Front St, Newburgh, NY 12550",41.502870699999995,-74.00535219999999,"['Japanese restaurant', 'Sushi restaurant']",4.2,26,,"[['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM']]"
0x89e8f6931d07449d:0x1df8b4e3f85ef7fa,Sushi 1 Restaurant,"Sushi 1 Restaurant, 210 Mill Rd, Westhampton Beach, NY 11978",40.8151343,-72.6472261,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Seafood restaurant']",4.7,78,$$,"[['Tuesday', '8AM–10PM'], ['Wednesday', '8AM–10PM'], ['Thursday', '8AM–10PM'], ['Friday', '8AM–10PM'], ['Saturday', '8AM–10PM'], ['Sunday', '8AM–10PM'], ['Monday', 'Closed']]"
0x89c2f36f86b8acff:0x48adad7a9fd6c32e,Mei Mei,"Mei Mei, 2831 Grand Concourse, Bronx, NY 10468",40.8702544,-73.8914534,"['Asian restaurant', 'Asian fusion restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant', 'Sushi takeaway']",4.3,12,,"[['Monday', 'Closed'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed']]"
0x89c259776df0a041:0x40de68e2d0d2419c,THE IZAKAYA NYC on 4th,"THE IZAKAYA NYC on 4th, 215 E 4th St, New York, NY 10009",40.7237979,-73.9834784,['Japanese restaurant'],4.6,28,,"[['Monday', '6–10:30PM'], ['Tuesday', 'Closed'], ['Wednesday', '6–10:30PM'], ['Thursday', '6–10:30PM'], ['Friday', '6–11PM'], ['Saturday', '6–11PM'], ['Sunday', '6–10:30PM']]"
0x89c25a50e6d2c0a5:0x5ad9e95a8df16a52,Hana Cafe & Japanese Restaurant,"Hana Cafe & Japanese Restaurant, 235 Smith St, Brooklyn, NY 11231",40.683730399999995,-73.99233819999999,"['Restaurant', 'Asian restaurant', 'Japanese restaurant', 'Sushi restaurant']",3.4,5,$$,"[['Monday', '12–11PM'], ['Tuesday', '12–11PM'], ['Wednesday', '12–11PM'], ['Thursday', '12–11PM'], ['Friday', '12–11:30PM'], ['Saturday', '12–11:30PM'], ['Sunday', '1–11PM']]"
0x89c25fba01d32b85:0xac717317baebbfba,Samurai Japan Sushi,"Samurai Japan Sushi, 95-13 Roosevelt Ave, Jackson Heights, NY 11372",40.7491859,-73.8713145,"['Authentic Japanese restaurant', 'Delivery Restaurant']",3.8,48,,"[['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–10:30PM'], ['Monday', '11AM–10:30PM'], ['Tuesday', '11AM–10:30PM'], ['Wednesday', '11AM–10:30PM'], ['Thursday', '11AM–10:30PM'], ['Friday', '11AM–10:30PM']]"
0x89e8287818eb0bf9:0x3b12fd656b51fc46,hikudo,"hikudo, 329 Main St, Huntington, NY 11743",40.871009199999996,-73.4293093,"['Asian restaurant', 'Japanese restaurant', 'Sushi restaurant']",3.8,25,$$,"[['Saturday', '11AM–10PM'], ['Sunday', '2:30–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM']]"
0x89dd0fd3037fedcd:0x22bd59f6897e7d41,Yasuda,"Yasuda, 579 Broadway Suite B, Kingston, NY 12401",41.9289165,-74.0035607,"['Japanese restaurant', 'Restaurant']",4.4,18,$$,"[['Saturday', '12–10PM'], ['Sunday', '1–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM']]"
0x89c2f5304554aafb:0x88265ac43f9a5ac3,Family Deli 4 tremont,"Family Deli 4 tremont, 414 E Tremont Ave, Bronx, NY 10457",40.8473081,-73.9003838,['Japanese grocery store'],3.9,8,,"[['Friday', '7AM–1AM'], ['Saturday', '7AM–1AM'], ['Sunday', '8AM–1AM'], ['Monday', '7AM–1AM'], ['Tuesday', '7AM–1AM'], ['Wednesday', '7AM–1AM'], ['Thursday', '7AM–1AM']]"
0x89e83854191d6f9d:0xd0a0cc5146cd4070,Little Tokyo,"Little Tokyo, 313 Smith Haven Mall Lake Grove NY 11755, Lake Grove, NY 11755",40.863220399999996,-73.1295552,['Japanese restaurant'],4.0,45,,"[['Friday', '10AM–9:30PM'], ['Saturday', '10AM–9:30PM'], ['Sunday', '11AM–7PM'], ['Monday', '10AM–9:30PM'], ['Tuesday', '10AM–9:30PM'], ['Wednesday', '10AM–8PM'], ['Thursday', '10AM–9:30PM']]"
0x89c2f624a1f01495:0x599130309c34da60,Yasha Ramen,"Yasha Ramen, 940 Amsterdam Ave, New York, NY 10025",40.800844999999995,-73.96577529999999,"['Ramen restaurant', 'Japanese restaurant']",3.9,34,$$,"[['Thursday', '11:30AM–11PM'], ['Friday', '11:30AM–11PM'], ['Saturday', '11:30AM–11PM'], ['Sunday', '11:30AM–10PM'], ['Monday', '11:30AM–11PM'], ['Tuesday', '11:30AM–11PM'], ['Wednesday', '11:30AM–11PM']]"
0x89e8287866bcb427:0x2398da9714c25e1a,Tomo,"Tomo, 286 Main St, Huntington, NY 11743",40.870891,-73.4272424,"['Japanese restaurant', 'Asian restaurant', 'Bar', 'Japanese steakhouse', 'Seafood restaurant', 'Sushi restaurant']",4.1,26,$$,"[['Thursday', '3:30–11PM'], ['Friday', '3:30AM–12PM'], ['Saturday', '3:30AM–12PM'], ['Sunday', '3:30–10PM'], ['Monday', '3:30–11PM'], ['Tuesday', '3:30–11PM'], ['Wednesday', '3:30–11PM']]"
0x89c259b839361015:0x751b64b74637fcb,Izakaya Ten,"Izakaya Ten, 207 10th Ave, New York, NY 10011",40.7474132,-74.0047123,"['Sushi restaurant', 'Japanese restaurant']",4.5,28,,"[['Thursday', '6PM–12AM'], ['Friday', '6PM–12AM'], ['Saturday', '11:30AM–3PM'], ['Sunday', '11:30AM–3PM'], ['Monday', 'Closed'], ['Tuesday', '6PM–12AM'], ['Wednesday', '6PM–12AM']]"
0x89c259c75591b88b:0xe5e60c3014aef5bf,Naka Naka,"Naka Naka, 458 W 17th St, New York, NY 10011",40.7438296,-74.0065518,"['Japanese restaurant', 'Sushi restaurant']",4.7,8,$$$,
0x89c259a02ed7b923:0xf7d45398e0a642a2,Aji 18 Sushi,"Aji 18 Sushi, 84 E 2nd St, New York, NY 10003",40.724252799999995,-73.98830579999999,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Seafood restaurant']",4.8,8,$$,"[['Thursday', '4PM–12AM'], ['Friday', '4PM–12AM'], ['Saturday', '4PM–12AM'], ['Sunday', '4PM–12AM'], ['Monday', '4PM–12AM'], ['Tuesday', '4PM–12AM'], ['Wednesday', '4PM–12AM']]"
0x89c25a1f7458ed91:0x1de5fd627b5241c,Rosanjin,"Rosanjin, 141 Duane St, New York, NY 10013",40.7165454,-74.0076857,['Japanese restaurant'],4.4,14,$$$$,
0x89c2584e71261953:0x21853f9e79702e91,Uma Temakeria,"Uma Temakeria, 600 11th Ave, New York, NY 10036",40.762337699999996,-73.99675789999999,['Japanese restaurant'],3.6,8,,"[['Thursday', '11AM–11PM'], ['Friday', '11AM–12AM'], ['Saturday', '11AM–12AM'], ['Sunday', '11AM–11PM'], ['Monday', '11AM–11PM'], ['Tuesday', '11AM–11PM'], ['Wednesday', '11AM–11PM']]"
