gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x88569ff5b3fb2451:0x8f675c4c61cc7712,Cuisine Malaya,"Cuisine Malaya, 8200 Providence Rd #400, Charlotte, NC 28204",35.0952753,-80.7791381,"['Japanese restaurant', 'Malaysian restaurant', 'Restaurant']",3.5,18,$$,"[['Tuesday', '11AM–3:30PM'], ['Wednesday', '11AM–3:30PM'], ['Thursday', '11AM–3:30PM'], ['Friday', '11AM–3:30PM'], ['Saturday', '5–11PM'], ['Sunday', '12–4:45PM'], ['Monday', 'Closed']]"
0x88510d3ae26cbe51:0x8d6b01d1b5d814fc,Kotohira Japanese Steak House,"Kotohira Japanese Steak House, 1206 River St, Wilkesboro, NC 28697",36.141725099999995,-81.1774459,['Japanese steakhouse'],4.5,18,,"[['Sunday', '11AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', 'Closed'], ['Saturday', '11AM–9:30PM']]"
0x8854b4eb2d8be347:0x49c70a201dfc2fe7,Makoto Japanese Cuisine,"Makoto Japanese Cuisine, 1150 Old US Hwy 1, Southern Pines, NC 28387",35.1656733,-79.4067998,['Japanese restaurant'],4.2,36,$$,"[['Tuesday', '5–9PM'], ['Wednesday', '5–9PM'], ['Thursday', '5–9PM'], ['Friday', '5–9PM'], ['Saturday', '5–9PM'], ['Sunday', 'Closed'], ['Monday', 'Closed']]"
0x89a90f026552fc19:0xff7b9dfb53eeea54,Bonsai,"Bonsai, 1850 Wilmington Hwy, Jacksonville, NC 28540",34.735729,-77.4692785,"['Japanese restaurant', 'Sushi restaurant']",3.2,118,,"[['Saturday', '11AM–11PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM']]"
0x88531a31d7c24a11:0xe1dad528d015a04e,Sakura Express,"Sakura Express, 352 4 Seasons Town Center Ent, Greensboro, NC 27407",36.0391145,-79.83820879999999,"['Asian restaurant', 'Japanese restaurant']",3.9,46,,"[['Friday', '11AM–7PM'], ['Saturday', '11AM–8PM'], ['Sunday', '12–6PM'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM']]"
0x86335a40a7288859:0x341f532c39ac26ba,Mitchikia Japanese Steakhouse & Sushi Bar,"Mitchikia Japanese Steakhouse & Sushi Bar, 1571 US-70, Garner, NC 27529",35.72446,-78.64810899999999,"['Steak house', 'Chinese restaurant', 'Japanese restaurant', 'Japanese steakhouse', 'Sushi restaurant']",3.8,14,,"[['Friday', '11:30AM–2PM'], ['Saturday', '3–10:30PM'], ['Sunday', '12–9PM'], ['Monday', '11:30AM–2PM'], ['Tuesday', '11:30AM–2PM'], ['Wednesday', '11:30AM–2PM'], ['Thursday', '11:30AM–2PM']]"
0x885405d064468783:0x4576bdeb13c91680,Poke n' Ramen 360,"Poke n' Ramen 360, food court outlet 8111, Concord Mills Boulevard #240, Concord, NC 28027",35.3700689,-80.7239298,"['Japanese sweets restaurant', 'Restaurant']",4.1,28,,"[['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM'], ['Sunday', '12–6PM'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM']]"
0x89aabe30a84edb47:0x192be5aa6a70bcd8,Yokos Hibachi,"Yokos Hibachi, 1092 Main St, Fair Bluff, NC 28439",34.3141252,-79.03562289999999,['Japanese restaurant'],4.6,18,,"[['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', 'Closed']]"
0x89aedd51ff81eaa1:0x6cd61169c18315c6,Ichiban Xpress,"Ichiban Xpress, 310 E Arlington Blvd, Greenville, NC 27858",35.5868138,-77.37275319999999,"['Japanese restaurant', 'Asian restaurant']",4.5,18,,"[['Saturday', '11AM–9:30PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM']]"
0x89a8924f7eea2cad:0x6d47c56ef307f345,California Roll Cafe,"California Roll Cafe, 1010 W Fort Macon Rd #25, Atlantic Beach, NC 28512",34.7019453,-76.7537613,"['Japanese restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Bar', 'Cafe', 'Restaurant', 'Sushi restaurant']",3.7,8,$$,"[['Saturday', '12:30–9:30PM'], ['Sunday', '5–9:30PM'], ['Monday', '12:30–9:30PM'], ['Tuesday', '12:30–9:30PM'], ['Wednesday', '12:30–9:30PM'], ['Thursday', '12:30–9:30PM'], ['Friday', '12:30–9:30PM']]"
0x8852c38cb06f86c9:0xdf0519737c6f6638,Okoku's Food Truck,"Okoku's Food Truck, 1110 S Scales St, Reidsville, NC 27320",36.346337999999996,-79.66543,['Japanese restaurant'],5.0,18,,"[['Thursday', '11:59AM–8PM'], ['Friday', '11:59AM–8PM'], ['Saturday', '11:59AM–8PM'], ['Sunday', 'Closed'], ['Monday', '11:59AM–8PM'], ['Tuesday', '11:59AM–8PM'], ['Wednesday', '11:59AM–8PM']]"
0x88541db386e5912f:0x4a1c49422f36f277,Rolo Poke,"Rolo Poke, 9605 N Tryon St suite s, Charlotte, NC 28262",35.317242799999995,-80.7402319,"['Ice cream shop', 'Bubble tea store', 'Japanese restaurant']",4.4,45,,"[['Thursday', '11:30AM–9:30PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '12–9:30PM'], ['Monday', '11:30AM–9:30PM'], ['Tuesday', '11:30AM–9:30PM'], ['Wednesday', '11:30AM–9:30PM']]"
0x89aae0a4fa28692b:0x53c3cc24fe325a97,Tokyo's Express,"Tokyo's Express, 2716 N Roberts Ave, Lumberton, NC 28358",34.645399999999995,-79.0098,"['Japanese restaurant', 'Asian restaurant']",4.1,48,,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM']]"
0x8856a026287ee2f7:0x8831ad015b73ceac,Suki Akor Japanese Steak and Sushi,"Suki Akor Japanese Steak and Sushi, 401 E M.L.K. Jr Blvd, Charlotte, NC 28202",35.2222836,-80.8429604,"['Japanese steakhouse', 'Sushi restaurant']",4.5,28,,"[['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–12AM'], ['Saturday', '5PM–12AM'], ['Sunday', '4–9PM'], ['Monday', '11AM–10PM']]"
0x885699c41ae905f5:0x398d6efb8d5f003b,UMI Teriyaki & Sushi,"UMI Teriyaki & Sushi, Charlotte, NC 28278",35.1690077,-80.969313,['Japanese restaurant'],2.5,13,,"[['Monday', '11:30AM–6PM'], ['Tuesday', '11:30AM–6PM'], ['Wednesday', '11:30AM–6PM'], ['Thursday', '11:30AM–6PM'], ['Friday', '11:30AM–6PM'], ['Saturday', '11:30AM–6:30PM'], ['Sunday', '11:30AM–6PM']]"
