gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x52d0150a08549225:0x16d895b981781809,Izumi Sushi & Hibachi,"Izumi Sushi & Hibachi, 2612 8th Ave SW, Jamestown, ND 58401",46.880339299999996,-98.71909579999999,['Japanese restaurant'],4.7,28,,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]"
0x52df2bc656f4c99d:0x39e8a9934f09c6ff,OISHII Ramen,"OISHII Ramen, 1901 S Broadway, Minot, ND 58701",48.2124759,-101.2951832,['Japanese restaurant'],4.6,48,,"[['Saturday', '11AM–10PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM']]"
0x52c680efb17cc3af:0x7367c018d0a85e64,Sakura Japanese Steakhouse,"Sakura Japanese Steakhouse, 3250 32nd Ave S, Grand Forks, ND 58201",47.8901779,-97.0752229,"['Japanese restaurant', 'Asian restaurant', 'Bar', 'Ramen restaurant', 'Sushi restaurant']",4.5,686,$$,"[['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–10:30PM']]"
0x52df2a514ba93a93:0x99f72b8b714792a5,Sakura Japanese Steakhouse,"Sakura Japanese Steakhouse, 1425 24th Ave SW, Minot, ND 58701",48.2073044,-101.31555589999999,['Japanese steakhouse'],4.4,468,$$,"[['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '11:30AM–9PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x52c8cb5f68d0a8ab:0x59eea9bb799b19ff,Samurai | Japanese Cuisine,"Samurai | Japanese Cuisine, 1775 45th St S B, Fargo, ND 58103",46.853502899999995,-96.8627037,"['Japanese restaurant', 'Asian restaurant', 'Southeast Asian restaurant', 'Sushi restaurant']",4.5,364,$$,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]"
0x53215b8a42636cbd:0x781454908d14e45d,Sakura Japanese Steakhouse,"Sakura Japanese Steakhouse, 424 32nd Ave W #12, Williston, ND 58801",48.148438999999996,-103.667501,['Japanese restaurant'],4.4,758,$$$,"[['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '11:30AM–9PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM']]"
0x52d783b32b7d9b7d:0xb237fd48bb1a2403,"Shogun Japanese Steakhouse, Sushi & Thai","Shogun Japanese Steakhouse, Sushi & Thai, 2700 State Street #H1, Bismarck, ND 58503",46.836084,-100.7761227,"['Asian restaurant', 'Japanese restaurant', 'Sushi restaurant', 'Thai restaurant']",4.4,374,$$,"[['Friday', '11AM–9:45PM'], ['Saturday', '11AM–9:45PM'], ['Sunday', '11:30AM–8:45PM'], ['Monday', '11AM–9:45PM'], ['Tuesday', '11AM–9:45PM'], ['Wednesday', '11AM–9:45PM'], ['Thursday', '11AM–9:45PM']]"
0x52c8cc886702f5e7:0x5519d82d0aaf67a7,Izumi,"Izumi, 5675 26th Ave S, Fargo, ND 58104",46.8415302,-96.88239019999999,"['Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.6,1122,$$,"[['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM']]"
0x52c8cb7091cc97cf:0xc54c79dc2b1f586,Osaka | Sushi & Hibachi,"Osaka | Sushi & Hibachi, 1111 38th St S, Fargo, ND 58103",46.864450999999995,-96.84555499999999,['Japanese restaurant'],4.3,481,$$,"[['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '12–11PM'], ['Sunday', '12–10PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM']]"
0x52d78396d25dd0fb:0x84bd1fe1b5138405,Kobe's Japanese Steak House and Sushi Bar,"Kobe's Japanese Steak House and Sushi Bar, 915 W Interstate Ave, Bismarck, ND 58503",46.8317653,-100.8066111,['Japanese restaurant'],4.5,558,$$,"[['Monday', '11AM–9:45PM'], ['Tuesday', '11AM–9:45PM'], ['Wednesday', '11AM–9:45PM'], ['Thursday', '11AM–9:45PM'], ['Friday', '11AM–9:45PM'], ['Saturday', '11AM–9:45PM'], ['Sunday', '11AM–9:45PM']]"
