gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x883884c02a57e979:0xc0e17b86530396e5,Sogo Asian Bistro,"Sogo Asian Bistro, 2040 Stringtown Rd, Grove City, OH 43123",39.8789454,-83.0575168,"['Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.5,8,$$,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM']]"
0x8838894425219e41:0xb966f3a74aff6fa1,Red Rabbit Ramen,"Red Rabbit Ramen, 1282 Essex Ave, Columbus, OH 43201",39.9902777,-82.98686289999999,['Japanese restaurant'],4.9,26,$$,"[['Monday', '10:30AM–9PM'], ['Tuesday', 'Closed'], ['Wednesday', '10:30AM–9PM'], ['Thursday', '10:30AM–9PM'], ['Friday', '10:30AM–9PM'], ['Saturday', '10:30AM–9PM'], ['Sunday', '10:30AM–9PM']]"
0x883892bc66e3259b:0x7c2ef26db331be49,Karen Japanese Market,"Karen Japanese Market, 5875 Sawmill Rd, Dublin, OH 43017",40.0867072,-83.0929606,"['Sushi restaurant', 'Asian grocery store', 'Asian restaurant', 'Japanese curry restaurant', 'Japanese grocery store', 'Japanese restaurant', 'Delivery Restaurant', 'Takeout Restaurant']",4.7,26,,"[['Monday', 'Closed'], ['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM'], ['Thursday', 'Closed'], ['Friday', '11AM–2PM'], ['Saturday', '11AM–2PM'], ['Sunday', '11AM–2PM']]"
0x8831a5c961141eeb:0x92e8694b817c797a,Kiko's Kitchen,"Kiko's Kitchen, 9179 Mentor Ave, Mentor, OH 44060",41.677355999999996,-81.31084349999999,['Japanese restaurant'],4.9,47,,"[['Monday', 'Closed'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–8PM'], ['Saturday', '12–8PM'], ['Sunday', '12–6PM']]"
0x8835d97e4959b7a9:0xd6c243153eac6364,TOKYO Hibachi Restaurant,"Ohio, Martins Ferry, Zane Hwy, TOKYO Hibachi Restaurant邮政编码: 43935",40.0866069,-80.7360096,['Japanese restaurant'],4.5,17,,"[['Sunday', '11AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]"
0x8841b30ccd8c2d59:0x736752abda9bb7be,Poke World,"Poke World, 214 Calhoun St, Cincinnati, OH 45219",39.128439799999995,-84.5155863,"['Japanese restaurant', 'Asian restaurant', 'Bakery', 'Bubble tea store', 'Hawaiian restaurant']",4.4,13,,"[['Saturday', '10AM–10PM'], ['Sunday', '11AM–9PM'], ['Monday', '10AM–10PM'], ['Tuesday', '10AM–10PM'], ['Wednesday', '10AM–10PM'], ['Thursday', '10AM–10PM'], ['Friday', '10AM–10PM']]"
0x8838f31333d03d1d:0x1b109156b1991999,Noren9,"Noren9, 1047 Polaris Pkwy, Columbus, OH 43240",40.1453139,-82.9936206,"['Izakaya restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Korean restaurant']",4.7,37,,"[['Friday', '11:30AM–2:30PM'], ['Saturday', '11:30AM–2:30PM'], ['Sunday', 'Closed'], ['Monday', '11:30AM–2:30PM'], ['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM']]"
0x88403d9efd563aeb:0xd649a69b9de68cf9,Ichiban Hibachi House,"Ohio, Oxford, W Church St, Ichiban Hibachi House邮政编码: 45056",39.5113255,-84.74302,"['Japanese restaurant', 'Fast food restaurant']",3.5,35,,"[['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM']]"
0x8830fd89493c7843:0x66feb8b0cacc722a,Sababa Cuisine,"Sababa Cuisine, 14417 Cedar Rd, South Euclid, OH 44121",41.5016318,-81.52076629999999,"['Kosher restaurant', 'Japanese restaurant', 'Mediterranean restaurant', 'Restaurant', 'Sushi restaurant']",4.5,95,,"[['Thursday', '11AM–8PM'], ['Friday', '11AM–2PM'], ['Saturday', 'Closed'], ['Sunday', '11AM–8PM'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM']]"
0x88403d733cfe1cad:0x56e1035268f4f42e,Moonstone Asian Cuisine,"Moonstone Asian Cuisine, 313 S College Ave, Oxford, OH 45056",39.5065879,-84.745299,['Japanese restaurant'],4.8,45,,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', 'Closed'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM']]"
0x88405398ef1c78b1:0x9b8d1ed3064cdb2f,Rokaru Ramen,"Rokaru Ramen, 9405 Kenwood Rd Ste B, Blue Ash, OH 45242",39.227489,-84.37815499999999,"['Ramen restaurant', 'Japanese restaurant']",4.8,38,,"[['Thursday', '11AM–3:30PM'], ['Friday', '11AM–3:30PM'], ['Saturday', '11AM–3:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–3:30PM'], ['Tuesday', '11AM–3:30PM'], ['Wednesday', '11AM–3:30PM']]"
0x88388f288dba1839:0xec4d5f1e63e127ca,Japanese Steak House,"Japanese Steak House, 479 N High St, Columbus, OH 43215",39.9720988,-83.00279619999999,"['Japanese steakhouse', 'Restaurant']",3.7,38,,
0x883893028ebf6d1d:0xd13c7599f1ddfd16,Panda Wok,"Panda Wok, 5799 Karric Square Dr, Dublin, OH 43016",40.0728399,-83.1233417,"['Chinese restaurant', 'Japanese restaurant', 'Restaurant']",4.7,6,,"[['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM']]"
