gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x87ad1ee8f42a9bd9:0xbeb316f8520932a3,Global Food Market Lawton,"Global Food Market Lawton, 1907 NW Sheridan Rd, Lawton, OK 73505",34.6282093,-98.42149769999999,"['Asian grocery store', 'African goods store', 'Gourmet grocery store', 'Grocery store', 'Indian grocery store', 'Japanese grocery store', 'Korean grocery store', 'Mexican grocery store', 'Produce market', 'Seafood market']",4.4,156,,"[['Monday', '10AM–8PM'], ['Tuesday', '10AM–8PM'], ['Wednesday', '10AM–8PM'], ['Thursday', '10AM–8PM'], ['Friday', '10AM–8PM'], ['Saturday', '10AM–8PM'], ['Sunday', 'Closed']]"
0x87b4b5e9e6ebc7a5:0xef46ad41e12d63a3,KOBE B EXSPRESS,"KOBE B EXSPRESS, 1101 W 13th St, Atoka, OK 74525",34.3751143,-96.14360649999999,['Japanese restaurant'],4.0,78,,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM']]"
0x87b1098af5661001:0x2d54d6bb2454b9b0,Kyoto Japanese Restaurant,"Kyoto Japanese Restaurant, 2021 N Boomer Rd, Stillwater, OK 74075",36.1428436,-97.06862559999999,"['Japanese restaurant', 'Japanese steakhouse', 'Sushi restaurant']",4.4,28,,"[['Wednesday', '5–10PM'], ['Thursday', '5–10PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–2:30PM'], ['Sunday', '11AM–2:30PM'], ['Monday', '5–9PM'], ['Tuesday', '5–10PM']]"
0x87b693ffa75ef6f9:0x88d11f2eb02991b8,Sian Restaurant,"Sian Restaurant, 3530 S Sheridan Rd, Tulsa, OK 74145",36.110998699999996,-95.9050195,"['Asian restaurant', 'Caterer', 'Japanese restaurant', 'Lunch restaurant', 'Takeout Restaurant', 'Pan-Asian restaurant', 'Seafood restaurant', 'South Asian restaurant', 'Sushi restaurant', 'Thai restaurant']",4.8,48,,"[['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9:30PM']]"
0x87b56df048d40b4f:0x739bdc70d627b81b,kojun hibachi express,"kojun hibachi express, 909 W Main St, Wilburton, OK 74578",34.9131426,-95.3225307,"['Japanese restaurant', 'Restaurant']",4.8,18,,"[['Sunday', 'Closed'], ['Monday', '8AM–2PM'], ['Tuesday', '8AM–2PM'], ['Wednesday', '8AM–2PM'], ['Thursday', '8AM–2PM'], ['Friday', '8AM–2PM'], ['Saturday', 'Closed']]"
0x87b6ec9bdad451f1:0xa1f5b789802273e1,Zanmai,"Zanmai, 1402 S Peoria Ave #200, Tulsa, OK 74120",36.141838199999995,-95.9759253,"['Japanese steakhouse', 'Bar', 'Japanese restaurant', 'Sushi restaurant']",3.8,68,,"[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '1–1:01AM'], ['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', 'Closed'], ['Friday', 'Closed']]"
0x87b693a193bf3c6f:0x16b62c0484b8a75b,Sushi Express,"Sushi Express, 8173 S Harvard Ave, Tulsa, OK 74137",36.0455714,-95.9392045,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant']",4.7,128,,"[['Saturday', '11AM–9:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM']]"
0x87b21f626da1e3a5:0x5c7889dad481b37d,Wow Sushi (All You Can Eat),"Wow Sushi (All You Can Eat), 2137 W Edmond Rd, Edmond, OK 73003",35.654133099999996,-97.512442,"['Sushi restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Takeout Restaurant']",4.1,38,,"[['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–3PM']]"
0x87b1f57be35d727b:0x7f2ef9eff74cdb49,Sumo steak house and sushi bar,"Sumo steak house and sushi bar, 1803 S Broadway, Edmond, OK 73013",35.636168,-97.48445629999999,"['Japanese restaurant', 'Sushi restaurant']",4.3,18,,"[['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM']]"
0x87b2173198b8cb33:0x5a0bac2835bb3e37,Tamashii Ramen House,"Tamashii Ramen House, 321 NW 8th St, Oklahoma City, OK 73102, United States",35.476337,-97.51872,"['Ramen restaurant', 'Japanese restaurant']",4.7,2366,₩₩,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM']]"
0x87b68d8ff5b4e437:0xaf31f8a6ab12e28c,Toyosu Buffet,"Toyosu Buffet, 1118 N Aspen Ave, Broken Arrow, OK 74012",36.0620231,-95.81635279999999,['Japanese restaurant'],3.4,8,,"[['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–9:30PM']]"
0x87ad1ee7189af0b5:0xc5a007a7f5a20211,Hibachi Sushi & Buffet,"Hibachi Sushi & Buffet, 2102 NW Cache Rd, Lawton, OK 73507",34.6227778,-98.4202778,"['Sushi restaurant', 'American restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Mexican restaurant']",3.4,118,,"[['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–9:30PM']]"
0x87b211a368e15d47:0x5724e264a468b246,TORI TORI! Fried Chicken Shop,"TORI TORI! Fried Chicken Shop, 1634 N Blackwelder Ave STE 102, Oklahoma City, OK 73106",35.4857886,-97.53850519999999,"['Japanese restaurant', 'Chicken restaurant']",4.4,28,,"[['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM']]"
