gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x549575762581f125:0x502c5a100f248e93,BlueFin Sushi Bar & Restaurant,"BlueFin Sushi Bar & Restaurant, 12450 SE 82nd Ave, Happy Valley, OR 97086",45.4333123,-122.5788267,"['Sushi restaurant', 'Japanese restaurant']",3.6,8,$$,"[['Thursday', '11:30AM–3PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', 'Closed'], ['Monday', '11:30AM–3PM'], ['Tuesday', '11:30AM–3PM'], ['Wednesday', '11:30AM–3PM']]"
0x5495a069e3381847:0x5ea71e61b9c2f53f,UmaiPDX,"UmaiPDX, SE 33rd & Hawthorne Ave, SE Hawthorne Blvd, Portland, OR 97214",45.512422,-122.6310439,"['Ramen restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Takeout Restaurant', 'Noodle shop', 'Sandwich shop']",4.8,18,,"[['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', '12–3PM'], ['Friday', '12–3PM'], ['Saturday', '12–3PM'], ['Sunday', '12–3PM'], ['Monday', 'Closed']]"
0x549575762581f125:0x502c5a100f248e93,BlueFin Sushi Bar & Restaurant,"BlueFin Sushi Bar & Restaurant, 12450 SE 82nd Ave, Happy Valley, OR 97086",45.4333123,-122.5788267,"['Sushi restaurant', 'Japanese restaurant']",3.6,8,$$,"[['Thursday', '11:30AM–3PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', 'Closed'], ['Monday', '11:30AM–3PM'], ['Tuesday', '11:30AM–3PM'], ['Wednesday', '11:30AM–3PM']]"
0x5495a069e3381847:0x5ea71e61b9c2f53f,UmaiPDX,"UmaiPDX, SE 33rd & Hawthorne Ave, SE Hawthorne Blvd, Portland, OR 97214",45.512422,-122.6310439,"['Ramen restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Takeout Restaurant', 'Noodle shop', 'Sandwich shop']",4.8,18,,"[['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', '12–3PM'], ['Friday', '12–3PM'], ['Saturday', '12–3PM'], ['Sunday', '12–3PM'], ['Monday', 'Closed']]"
0x5495a0827fa629ff:0xbd37b64416e1172f,Bara Sushi House,"Bara Sushi House, 2625 SE 21st Ave, Portland, OR 97202",45.503679,-122.644802,['Japanese restaurant'],3.9,7,$,
0x54c040bdb9e3465b:0x6d3cb0eb03cb6538,Young's Kitchen,"Young's Kitchen, 2051 NW Monroe Ave, Corvallis, OR 97330",44.568322699999996,-123.276201,"['Japanese restaurant', 'Korean restaurant', 'Restaurant']",4.2,17,$$,
0x5495499fa5f80a9b:0xcf99aa44f9c2cccc,KAKI Hibachi & Sushi,"KAKI Hibachi & Sushi, Food Truck Pod, 570 NE highway 99W Grocery Outlet, McMinnville, OR 97128",45.2228072,-123.19319809999999,"['Japanese restaurant', 'Restaurant']",4.5,14,,"[['Friday', '11AM–3PM'], ['Saturday', '12–8:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM']]"
0x54950a0e24156733:0x14330f73ec12756b,Tom's First Avenue Bento,"Tom's First Avenue Bento, 1236 SW 1st Ave, Portland, OR 97204",45.5138606,-122.6755005,['Japanese restaurant'],4.5,15,$$,
0x54c000a90bae8bdd:0x8832c32dbdf1cf93,Yummy Meal,"Yummy Meal, 2916 Commercial St SE, Salem, OR 97302",44.9132769,-123.04466479999999,['Japanese restaurant'],3.6,26,,"[['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM']]"
0x54bfff0c4881c123:0x2dfe300287d6f232,Suki Hana,"Suki Hana, 401 Center St NE, Salem, OR 97301",44.9436003,-123.0368144,['Japanese restaurant'],3.7,8,,"[['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM'], ['Sunday', '12–6PM'], ['Monday', '11AM–7PM']]"
0x549509f6b00f7aa5:0x90cdd3c6f79a7f3e,Dr. Sushi & BBQ,"Dr. Sushi & BBQ, 333 NW 23rd Ave, Portland, OR 97210",45.5253344,-122.69862959999999,"['Sushi restaurant', 'Japanese restaurant']",3.6,8,,"[['Monday', '11:30AM–9:30PM'], ['Tuesday', '11:30AM–9:30PM'], ['Wednesday', '11:30AM–9:30PM'], ['Thursday', '11:30AM–9:30PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '4–9PM']]"
0x54c423c3763918db:0x63558fcc3152af9c,Teriyaki Spice,"Teriyaki Spice, 1350 NE Stephens St Suite 24, Roseburg, OR 97470",43.2248261,-123.3489065,['Japanese restaurant'],4.2,28,,"[['Monday', '10AM–10PM'], ['Tuesday', '10AM–10PM'], ['Wednesday', '10AM–10PM'], ['Thursday', '10AM–10PM'], ['Friday', '10AM–10PM'], ['Saturday', '10AM–10PM'], ['Sunday', '10AM–8PM']]"
0x8640c0ec122beef7:0xc7d3666faaa92d6c,Nara Sushi and Korean Kitchen,,45.5980213,-127.26963889999999,"['Japanese delicatessen', 'Service establishment']",3.7,7,$$,
0x5495a7ccbb6077f1:0xac58bd7f885cba27,Momiji Sushi Restaurant - Fremont,"Momiji Sushi Restaurant - Fremont, 4425 NE Fremont St, Portland, OR 97213",45.5484139,-122.6178874,"['Sushi restaurant', 'Japanese restaurant', 'Restaurant']",4.3,8,,"[['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM']]"
0x5495a189d6c2dd4b:0x5f348cc3350e9ba0,Tonari,"Tonari, 2838 SE Belmont St, Portland, OR 97214",45.5162723,-122.6363288,['Japanese restaurant'],5.0,18,,"[['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', 'Closed'], ['Friday', 'Closed'], ['Saturday', '10AM–2PM'], ['Sunday', '10AM–2PM'], ['Monday', 'Closed']]"
0x54cf7a7697f911ed:0x2bb34f23b9207119,The Great Outdoor Grill,"The Great Outdoor Grill, Medford, OR 97504",42.3160324,-122.8328018,['Japanese restaurant'],4.9,14,,"[['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]"
0x54950b692e1397c3:0x8066dfcefafba72a,Bentoz Teriyaki,"Bentoz Teriyaki, 9107 SW Barbur Blvd, Portland, OR 97219",45.459371999999995,-122.70941429999999,['Japanese restaurant'],4.3,93,$,"[['Saturday', '11AM–7PM'], ['Sunday', 'Closed'], ['Monday', '11AM–7:30PM'], ['Tuesday', '11AM–7:30PM'], ['Wednesday', '11AM–7:30PM'], ['Thursday', '11AM–7:30PM'], ['Friday', '11AM–7:30PM']]"
0x54950b61d21b9209:0xa974e55699af973d,Koji Osakaya Japanese Restaurant,"Koji Osakaya Japanese Restaurant, 10100 SW Barbur Blvd, Portland, OR 97219",45.452837699999996,-122.7221155,['Japanese restaurant'],4.3,7,$,
0x54c0e1fc2a52c7bb:0x77b9d0cd058cfb97,Mio Sushi,"Mio Sushi, 132 Oakway Center, Eugene, OR 97401",44.066355699999995,-123.0771475,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Restaurant']",4.4,98,$$,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '12–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM']]"
0x5495059052816689:0xba346276558899ea,Teriaki's 2,"Teriaki's 2, 7373 NE Imbrie Dr, Hillsboro, OR 97124",45.5517903,-122.9026332,['Japanese restaurant'],4.3,68,$,"[['Tuesday', '10:30AM–8PM'], ['Wednesday', '10:30AM–8PM'], ['Thursday', '10:30AM–8PM'], ['Friday', '10:30AM–8PM'], ['Saturday', '10:30AM–5:30PM'], ['Sunday', 'Closed'], ['Monday', '10:30AM–8PM']]"
0x5495194ad8e6eda5:0xab411764fe0ec24c,SaWa's Donburi,"SaWa's Donburi, 2036 Main St suite b, Forest Grove, OR 97116",45.5206903,-123.1123245,['Authentic Japanese restaurant'],4.7,58,,"[['Tuesday', 'Closed'], ['Wednesday', '12–8PM'], ['Thursday', '12–8PM'], ['Friday', '12–9PM'], ['Saturday', '12–9PM'], ['Sunday', '12–8PM'], ['Monday', 'Closed']]"
0x54950be79b6c1d17:0xd728a064ecd21655,Yoshi's Sushi,"Yoshi's Sushi, 3530 SW Multnomah Blvd, Portland, OR 97219",45.4669667,-122.71361789999999,['Japanese restaurant'],5.0,65,,"[['Tuesday', '12–2PM'], ['Wednesday', '12–2PM'], ['Thursday', '12–2PM'], ['Friday', '12–2PM'], ['Saturday', '12–2PM'], ['Sunday', 'Closed'], ['Monday', 'Closed']]"
0x5495a0bef80ec4ed:0xdfc9a6da57ecd32d,Tobiko Bowl,"Tobiko Bowl, 113 SE 28th Ave, Portland, OR 97214",45.521874499999996,-122.63751789999999,['Japanese restaurant'],4.7,13,,
0x54950a46572f8e57:0xee09f21e4eaba685,Oishi Thai,"Oishi Thai, 907 SW Gibbs St, Portland, OR 97239",45.49934,-122.6897571,"['Japanese restaurant', 'Soup restaurant', 'Thai restaurant']",4.3,55,,"[['Friday', '11AM–3PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM']]"
0x54960e6f4ac1998b:0x5ccdb72ff8a4f6b4,Kaze Japanese Restaurant,"Kaze Japanese Restaurant, 212 4th St, Hood River, OR 97031",45.7083576,-121.51453,"['Japanese restaurant', 'Asian restaurant', 'Sushi restaurant']",4.2,105,$$,"[['Tuesday', '6–9PM'], ['Wednesday', '6–9PM'], ['Thursday', '6–9PM'], ['Friday', '6–9PM'], ['Saturday', '6–9PM'], ['Sunday', 'Closed'], ['Monday', '6–9PM']]"
0x54c11e3ee71d187f:0x736c0f7e582a971,The Donburi House,"The Donburi House, 686 E 13th Ave, Eugene, OR 97401",44.045345399999995,-123.0826369,"['Japanese restaurant', 'Asian restaurant', 'Japanese curry restaurant', 'Sushi restaurant']",3.9,35,,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM']]"
0x54a2e15afe6128a9:0x704f2930826a53b1,Mitori Teriyaki,"Mitori Teriyaki, 703 SW Court Ave, Pendleton, OR 97801",45.670735799999996,-118.7945678,['Japanese restaurant'],4.6,138,$$,"[['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–2PM']]"
0x54cf0ca360467ea3:0x59d885312621832c,Mihama Teriyaki Grill,"Mihama Teriyaki Grill, 1253 Siskiyou Blvd B, Ashland, OR 97520",42.186619,-122.693648,"['Japanese restaurant', 'Family restaurant', 'Seafood restaurant']",4.3,118,$,"[['Sunday', 'Closed'], ['Monday', '11AM–7:30PM'], ['Tuesday', '11AM–7:30PM'], ['Wednesday', '11AM–7:30PM'], ['Thursday', '11AM–7:30PM'], ['Friday', '11AM–7:30PM'], ['Saturday', '11AM–7:30PM']]"
0x549565642c647d99:0x7186e1863f176bcb,Happy Teriyaki canby,"Happy Teriyaki canby, 1477 SE 1st Ave, Canby, OR 97013",45.2678817,-122.67538019999999,['Japanese restaurant'],3.6,63,$,"[['Sunday', 'Closed'], ['Monday', '11AM–8:30PM'], ['Tuesday', '11AM–8:30PM'], ['Wednesday', '11AM–8:30PM'], ['Thursday', '11AM–8:30PM'], ['Friday', '11AM–8:30PM'], ['Saturday', '11AM–8:30PM']]"
0x5495a0d75e155281:0x3f28bb4cb7a3b605,Obon Shokudo,"Obon Shokudo, Morrison Market, 720 SE Grand Ave, Portland, OR 97214",45.5173961,-122.66074139999999,"['Japanese restaurant', 'Authentic Japanese restaurant', 'Japanese curry restaurant', 'Takeout Restaurant', 'Noodle shop', 'Teppanyaki restaurant', 'Udon noodle restaurant', 'Vegan restaurant', 'Vegetarian restaurant']",4.8,65,,"[['Saturday', '11:30AM–8PM'], ['Sunday', '11:30AM–8PM'], ['Monday', '11:30AM–8PM'], ['Tuesday', '11:30AM–8PM'], ['Wednesday', '11:30AM–8PM'], ['Thursday', '11:30AM–8PM'], ['Friday', '11:30AM–8PM']]"
0x5495a71b718beb45:0xe360dcbf23aa615a,Lu's Teriyaki,"Lu's Teriyaki, 625 NE Killingsworth St, Portland, OR 97211",45.56294,-122.6590806,['Japanese restaurant'],4.1,28,,"[['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM']]"
