gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x8834f36c27709bc7:0x2b2b5418b5826f39,Sakura Teppanyaki & Sushi,"Sakura Teppanyaki & Sushi, 5882 Forbes Ave, Pittsburgh, PA 15217",40.4378362,-79.9196805,"['Sushi restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Teppanyaki restaurant']",3.9,38,,"[['Tuesday', 'Closed'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–9:30PM']]"
0x89c6b930900c508b:0xdbcf60d4bb43102b,King's Palace,"King's Palace, #5, 8500 Henry Ave, Philadelphia, PA 19128",40.0626728,-75.23735669999999,"['Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.0,7,$,
0x89c6e5e34787f75d:0x6b40a5b2caa26aa7,Seafood Hibachi Gourmet,"Seafood Hibachi Gourmet, 627 Conchester Hwy, Boothwyn, PA 19061",39.851814,-75.4501789,"['Asian fusion restaurant', 'Cajun restaurant', 'Chinese restaurant', 'Japanese restaurant']",4.2,24,,"[['Saturday', '11:30AM–9PM'], ['Sunday', '11:30AM–9PM'], ['Monday', '11:30AM–9PM'], ['Tuesday', '11:30AM–9PM'], ['Wednesday', '11:30AM–9PM'], ['Thursday', '11:30AM–9PM'], ['Friday', '11:30AM–9PM']]"
0x89c6c7ce86c40329:0xd1732a85ea41be23,Sushiya Poke,"Sushiya Poke, 1418 W Girard Ave, Philadelphia, PA 19130",39.9714236,-75.1604533,['Japanese restaurant'],5.0,8,,"[['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x89c8c20eeb871e8f:0x7e01a41fceb57401,Teriyaki Express,"Teriyaki Express, 3612 Capital City Mall Dr, Camp Hill, PA 17011",40.2225999,-76.9339562,['Japanese restaurant'],4.5,35,,"[['Monday', '10AM–9PM'], ['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '10AM–9PM'], ['Saturday', '10AM–9PM'], ['Sunday', '11AM–6PM']]"
0x89c99f639388b889:0x9bc9d5b5ad3e398c,Sakura Japanese restaurant,"Sakura Japanese restaurant, 1071 Wayne Ave, Chambersburg, PA 17201",39.911827599999995,-77.6507282,['Japanese restaurant'],4.6,75,,"[['Friday', '11AM–9:30PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '11:30AM–9PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM']]"
0x89c6c7cb7b4fc601:0xb89cce3e3e737cef,Cho Cho San,"Cho Cho San, 2000 Hamilton St # 106, Philadelphia, PA 19130",39.9622939,-75.1724493,"['Japanese restaurant', 'Asian restaurant', 'Chinese restaurant']",3.0,25,$$,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–10PM'], ['Tuesday', 'Closed']]"
0x89c48b9d1044daf5:0x530ed635a2c8ef2e,Chopstick,"Chopstick, 2959 Route 611 Fountain Spring East, Tannersville, PA 18372",41.033116799999995,-75.3015399,"['Restaurant', 'Chinese restaurant', 'Japanese restaurant']",4.7,8,,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–10PM']]"
0x8834d1c99819ecef:0x227fceac84bae01a,Osaka Japanese Best,"Osaka Japanese Best, 5256 US-30, Greensburg, PA 15601",40.3014333,-79.5084152,['Japanese restaurant'],2.2,45,,"[['Monday', '10AM–9PM'], ['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '10AM–9PM'], ['Saturday', '10AM–9PM'], ['Sunday', '10AM–9PM']]"
0x89c6c6301a21197d:0xbca090dae819bb12,Jay's Favorite Sushi Bar,"Jay's Favorite Sushi Bar, 1526 Sansom St, Philadelphia, PA 19102",39.950303,-75.166856,"['Japanese restaurant', 'Asian restaurant', 'Restaurant', 'Sushi restaurant']",4.6,5,$$,"[['Monday', '11:30AM–9:30PM'], ['Tuesday', '11:30AM–9:30PM'], ['Wednesday', '11:30AM–9:30PM'], ['Thursday', '11:30AM–9:30PM'], ['Friday', '11:30AM–10:30PM'], ['Saturday', 'Closed'], ['Sunday', '3–9:30PM']]"
