gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x89e5b9b344ab8a85:0xda0c66788102a91d,Krazy Fusion Cafe,"Krazy Fusion Cafe, 99 Fortin Rd #104, Kingston, RI 02881",41.4856453,-71.5237234,"['Korean restaurant', 'Bubble tea store', 'Japanese restaurant']",4.4,57,,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '1–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM']]"
0x89e44463ed2ba1fd:0x7b823281ece4a82d,Oki Japanese Steak House,"Oki Japanese Steak House, 1270 Mineral Spring Ave, North Providence, RI 02904",41.8679188,-71.434992,"['Japanese steakhouse', 'Japanese restaurant', 'Sushi restaurant']",4.1,38,$$,"[['Friday', '5–11PM'], ['Saturday', '5–11PM'], ['Sunday', '4–9PM'], ['Monday', '5–10PM'], ['Tuesday', '5–10PM'], ['Wednesday', '5–10PM'], ['Thursday', '5–10PM']]"
0x89e46966ac59b583:0x2149eb95465753cb,New China Super Buffet,"New China Super Buffet, 2000 Diamond Hill Rd, Woonsocket, RI 02895",42.017047999999996,-71.471334,"['Restaurant', 'Asian restaurant', 'Chinese restaurant', 'Italian restaurant', 'Japanese restaurant']",3.4,37,$$,"[['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM']]"
0x89e44523789aa5a3:0x93eeaf1e98e51f0e,SUSHI X- PRESS,"SUSHI X- PRESS, 283 Thayer St, Providence, RI 02906",41.8296267,-71.4006302,"['Sushi restaurant', 'Japanese restaurant', 'Restaurant']",4.4,18,,"[['Saturday', '12–10PM'], ['Sunday', '4–9PM'], ['Monday', '12–10PM'], ['Tuesday', '12–10PM'], ['Wednesday', '12–10PM'], ['Thursday', '12–10PM'], ['Friday', '12–10PM']]"
0x89e44ff0dd286c41:0xbe7acc0dea17998a,Chefs Bento,"Chefs Bento, 840 Allens Ave, Providence, RI 02905",41.7919859,-71.3965916,"['Asian restaurant', 'Asian fusion restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Korean restaurant']",4.0,25,,"[['Sunday', '11AM–9:30PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM']]"
0x89e44511b61b0bed:0xbab6d973deba2327,Fuji Cajun,"Fuji Cajun, 1 Providence Pl, Providence, RI 02903",41.8272368,-71.4165403,['Japanese restaurant'],4.2,6,,"[['Friday', '10AM–9PM'], ['Saturday', '10AM–9PM'], ['Sunday', '11AM–6PM'], ['Monday', '10AM–9PM'], ['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM']]"
0x89e45cd91865e5f3:0x750c3ffcd4f8bfce,Sakura Hibachi Sushi,"Sakura Hibachi Sushi, 809 Washington St South, Attleboro, MA 02703, United States",41.905239099999996,-71.36607049999999,"['Chinese restaurant', 'Japanese restaurant']",4.3,498,₩₩,"[['Wednesday', '11:30AM–10PM'], ['Thursday', '11:30AM–10PM'], ['Friday', '11:30AM–11PM'], ['Saturday', '12–11PM'], ['Sunday', '12–10PM'], ['Monday', '11:30AM–10PM'], ['Tuesday', '11:30AM–10PM']]"
0x89e41539b0adbffd:0xe1d1ff8ccda5e8d3,Yama Fuji,"Yama Fuji, 900 Victory Hwy #3, North Smithfield, RI 02896",42.0054327,-71.5849386,['Authentic Japanese restaurant'],4.3,156,$$,"[['Sunday', '10:30AM–9PM'], ['Monday', '10:30AM–9PM'], ['Tuesday', '10:30AM–9PM'], ['Wednesday', '10:30AM–9PM'], ['Thursday', '10:30AM–9PM'], ['Friday', '10:30AM–10:30PM'], ['Saturday', '10:30AM–10:30PM']]"
0x89e4416f6c72ef79:0x1267c7486d9cf80f,Ichiraku ramen & fusion,"Ichiraku ramen & fusion, 970 Douglas Pike, Smithfield, RI 02917",41.9158269,-71.5204486,"['Restaurant', 'Asian restaurant', 'Japanese restaurant', 'Ramen restaurant', 'Sushi restaurant']",4.3,46,,"[['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '11:30AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM']]"
0x89e44536c1976451:0x5f3ea130b569a096,Teddihana,"Teddihana, 1342 Douglas Ave Unit 4, North Providence, RI 02904",41.8616205,-71.4510427,['Japanese steakhouse'],4.7,20,,"[['Thursday', '4–10PM'], ['Friday', '4–11PM'], ['Saturday', '4–11PM'], ['Sunday', '4–9PM'], ['Monday', 'Closed'], ['Tuesday', '4–10PM'], ['Wednesday', '4–10PM']]"
0x89e446bde03ba837:0xed5f138f06b2e4d8,Rangoon Chinese Japanese Restaurant,"Rangoon Chinese Japanese Restaurant, 294 Waterman Ave, Smithfield, RI 02917",41.873030299999996,-71.4951729,"['Japanese restaurant', 'Chinese restaurant']",4.2,138,$$,"[['Thursday', '11:30AM–8:30PM'], ['Friday', '11:30AM–10:30PM'], ['Saturday', '11:30AM–10:30PM'], ['Sunday', '12–9PM'], ['Monday', 'Closed'], ['Tuesday', '11:30AM–8:30PM'], ['Wednesday', '11:30AM–8:30PM']]"
0x89e46a4b7bd68c77:0x17060894ea0b4f3b,Toyo Steak House,"Toyo Steak House, 401 Clinton St, Woonsocket, RI 02895",42.005939399999995,-71.5068206,['Japanese steakhouse'],4.3,535,$$,"[['Tuesday', '11:30AM–9PM'], ['Wednesday', '11:30AM–9PM'], ['Thursday', '11:30AM–9PM'], ['Friday', '11:30AM–9PM'], ['Saturday', '11:30AM–9PM'], ['Sunday', '12–9PM'], ['Monday', '11:30AM–9PM']]"
0x89e5e6ff37aad14f:0x4ee9a82ddf3cab39,New China Pavilion,"New China Pavilion, 105 Franklin St #21, Westerly, RI 02891",41.360361399999995,-71.8123021,"['Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Delivery Restaurant', 'Takeout Restaurant']",3.8,38,$$,"[['Tuesday', 'Closed'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–9PM']]"
0x89e5ab28b578977f:0xce1d034926ad6252,China Gourmet-Portsmouth,"China Gourmet-Portsmouth, 3001 E Main Rd, Portsmouth, RI 02871",41.609685999999996,-71.2460309,"['Chinese restaurant', 'Cantonese restaurant', 'Japanese restaurant', 'Delivery Restaurant', 'Thai restaurant']",4.1,44,$,"[['Sunday', '11AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]"
0x89e44f151ba48329:0xc5f9b7a4f0693f8a,Ichiban Restaurant,"Ichiban Restaurant, 146 Gansett Ave, Cranston, RI 02910",41.7860489,-71.45121,['Japanese restaurant'],4.6,398,$$,"[['Saturday', '12–10:30PM'], ['Sunday', '1–9PM'], ['Monday', 'Closed'], ['Tuesday', '11:30AM–9:30PM'], ['Wednesday', '11:30AM–9:30PM'], ['Thursday', '11:30AM–9:30PM'], ['Friday', '11:30AM–10:30PM']]"
0x89e45aceedea6941:0x6885d8187b59c6f8,Yaki Mani,"Yaki Mani, 188 Taunton Ave, East Providence, RI 02914",41.819911999999995,-71.3747211,['Japanese restaurant'],4.7,108,,"[['Friday', 'Closed'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '12–9PM'], ['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', 'Closed']]"
0x89e445c34927d4c3:0x49f4a0dc055a3c9c,Tori Tomo Restaurant,"Tori Tomo Restaurant, 69 Washington St, Providence, RI 02903",41.8238699,-71.4139227,"['Ramen restaurant', 'Japanese restaurant']",4.6,135,,"[['Thursday', '12–9PM'], ['Friday', '12–9PM'], ['Saturday', '12–9PM'], ['Sunday', '12–9PM'], ['Monday', '12–9PM'], ['Tuesday', '12–9PM'], ['Wednesday', '12–9PM']]"
0x89e442469268a38f:0x66d6fb922888b624,ENN Japanese Cuisine & Sushi Bar,"ENN Japanese Cuisine & Sushi Bar, 600 George Washington Hwy, Lincoln, RI 02865",41.934742,-71.48743859999999,"['Sushi restaurant', 'Japanese restaurant']",4.2,188,,"[['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '4:30–10PM'], ['Sunday', '2–9PM'], ['Monday', '11:30AM–2:30PM'], ['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM']]"
0x89e438dcd798dd9b:0x731143e1e1a293a8,Yamato Hibachi and Sushi,"Yamato Hibachi and Sushi, 375 Putnam Pike #30, Smithfield, RI 02917",41.870467999999995,-71.523162,['Japanese restaurant'],4.4,207,$$,"[['Monday', '3–9PM'], ['Tuesday', '3–9PM'], ['Wednesday', '12–9PM'], ['Thursday', '12–9PM'], ['Friday', '12–9PM'], ['Saturday', '12–9PM'], ['Sunday', '12–9PM']]"
0x89e44524aea49dbf:0x7b75edb387c0a3f3,Haruki Express,"Haruki Express, 112 Waterman St, Providence, RI 02906",41.827553099999996,-71.39974099999999,"['Japanese restaurant', 'Japanese curry restaurant']",3.9,65,$,"[['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM']]"
0x89e445143694e761:0xf39effd65bf9b99e,Ten Prime Steak & Sushi,"Ten Prime Steak & Sushi, 55 Pine St, Providence, RI 02903",41.8230949,-71.4096608,"['Steak house', 'Asian restaurant', 'Bar', 'Fine dining restaurant', 'Japanese restaurant', 'Seafood restaurant', 'Sushi restaurant']",4.5,388,$$$,"[['Friday', '4:30–10PM'], ['Saturday', '4:30–10PM'], ['Sunday', 'Closed'], ['Monday', '4:30–10PM'], ['Tuesday', '4:30–10PM'], ['Wednesday', '4:30–10PM'], ['Thursday', '4:30–10PM']]"
0x89e5af691ca130d1:0xa4d5e3b9823797e7,Sumo Sushi,"Sumo Sushi, 198 Thames St #1, Newport, RI 02840",41.48809,-71.314917,['Japanese restaurant'],4.1,114,$$,"[['Thursday', '11:30AM–10:30PM'], ['Friday', '11:30AM–10:30PM'], ['Saturday', '11:30AM–10:30PM'], ['Sunday', '11:30AM–10:30PM'], ['Monday', '11:30AM–10:30PM'], ['Tuesday', '11:30AM–10:30PM'], ['Wednesday', '11:30AM–10:30PM']]"
0x89e5a8d5e4aaaf77:0xb50025f1204450d1,New Sea Shai Restaurant,"New Sea Shai Restaurant, 747 Aquidneck Ave #138a, Middletown, RI 02842",41.507892299999995,-71.2819688,"['Japanese restaurant', 'Asian restaurant', 'Bar & grill', 'Korean restaurant', 'Restaurant', 'Sushi restaurant']",4.4,118,$$,"[['Thursday', '11:30AM–9:30PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '11:30AM–9:30PM'], ['Monday', 'Closed'], ['Tuesday', '11:30AM–9:30PM'], ['Wednesday', '11:30AM–9:30PM']]"
0x89e5af3f8b714e21:0x4d9c60280bcbcb3a,Newport Tokyo House,"Newport Tokyo House, 6 Equality Park Pl, Newport, RI 02840",41.494467,-71.3096889,"['Japanese restaurant', 'Asian restaurant', 'Sushi restaurant']",4.3,248,$$,"[['Thursday', '11:30AM–10PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '11:30AM–10PM'], ['Monday', '11:30AM–10PM'], ['Tuesday', '11:30AM–10PM'], ['Wednesday', '11:30AM–10PM']]"
0x89e45d6b80f0d7e9:0x6b4fd89ccc9ca1b8,Osaka,"Osaka, 514 Benefit St, Pawtucket, RI 02861",41.8920871,-71.3505437,"['Asian restaurant', 'Chinese restaurant', 'Chinese takeaway', 'Delivery Chinese restaurant', 'Japanese restaurant', 'Sushi restaurant', 'Sushi takeaway']",4.6,107,,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]"
0x89e44f7595da7fc5:0xd052c4049661c10b,Ebisu Providence,"Ebisu Providence, 38 Pontiac Ave, Providence, RI 02907",41.7877235,-71.4312897,"['Ramen restaurant', 'Asian fusion restaurant', 'Hot pot restaurant', 'Japanese restaurant']",4.7,418,$$,"[['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '12–10:30PM'], ['Sunday', '2–10PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM']]"
0x89e45bae38012b7d:0x98872bcb926eb7d0,Ebisu East Providence,"Ebisu East Providence, 250 Warren Ave, East Providence, RI 02914",41.8151538,-71.3748672,"['Ramen restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.8,77,,"[['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '12–10:30PM'], ['Sunday', '2–10PM'], ['Monday', '11AM–2:30PM']]"
0x89e5afde43e140b1:0x7939d951be289208,UMI Asian Cuisine,"UMI Asian Cuisine, 82 Broadway, Newport, RI 02840",41.4922002,-71.31166449999999,"['Japanese restaurant', 'Asian restaurant', 'Chinese restaurant', 'Takeout Restaurant', 'Sushi restaurant']",3.9,78,,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9PM']]"
0x89e44538e73deaa9:0xbad7074ed4e34e43,Sakura Restaurant,"Sakura Restaurant, 231 Wickenden St, Providence, RI 02903",41.819312599999996,-71.3986267,['Japanese restaurant'],4.4,467,$$,"[['Friday', '12–9:30PM'], ['Saturday', '12–9:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '12–9:30PM'], ['Tuesday', '12–9:30PM'], ['Wednesday', '12–9:30PM'], ['Thursday', '12–9:30PM']]"
