gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x8900390512ab3851:0xafbb2daf7162e83d,Bei Jing Chinese Restaurant,"Bei Jing Chinese Restaurant, 4390 US Highway 17 Bypass South # C3, Murrells Inlet, SC 29576",33.5549325,-79.0464571,"['Chinese restaurant', 'Japanese restaurant']",4.2,18,,"[['Sunday', '12–10PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM']]"
0x8857ee93c0ba5ff9:0x1fdcc9604cd5eccd,Japan House,"Japan House, 909 E Main St, Laurens, SC 29360",34.4934867,-81.9822825,"['Sushi restaurant', 'Japanese restaurant']",4.1,28,,"[['Saturday', '11AM–10PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM']]"
0x88f8b0101d534e59:0x31f55406728fed0e,Fujiya Restaurant,"Fujiya Restaurant, 4430 Rosewood Dr, Columbia, SC 29209",33.9876375,-80.9752575,['Japanese restaurant'],4.3,16,$$,
0x88579f547c87cc15:0x4a636b37fc2d617,Wow Wings & Hibachi,"Wow Wings & Hibachi, 431 W Main St, Spartanburg, SC 29301",34.945748,-81.9416537,"['Restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Chicken wings restaurant', 'Chinese restaurant', 'Fast food restaurant', 'Japanese restaurant', 'Takeout Restaurant']",3.8,58,,"[['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–10PM']]"
0x89006cefb3291afd:0x6f99859d08fc470b,Nina Hibachi,"Nina Hibachi, 152 Middle Ridge Ave, Conway, SC 29526",33.778706,-78.987487,['Japanese restaurant'],1.8,28,,"[['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM']]"
0x88fe8c2cf6a0df21:0x6bb1cd5c834244f,Red Leaf Japanese Steakhouse,"Red Leaf Japanese Steakhouse, 9770 Dorchester Rd #103, Summerville, SC 29485",32.9477028,-80.1555028,"['Japanese restaurant', 'Restaurant', 'Steak house', 'Sushi restaurant']",3.6,15,$$,"[['Wednesday', '11:30AM–9:30PM'], ['Thursday', '11:30AM–9:30PM'], ['Friday', '11:30AM–10:30PM'], ['Saturday', '11:30AM–10:30PM'], ['Sunday', '11:30AM–9:30PM'], ['Monday', '11:30AM–9:30PM'], ['Tuesday', '11:30AM–9:30PM']]"
0x88fe7a46cd211b4f:0x3123cd6b2292a98a,Octobachi,"Octobachi, 119 Spring St, Charleston, SC 29403",32.7899534,-79.94745139999999,"['Asian restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Sushi restaurant', 'Vietnamese restaurant']",3.7,8,$$,"[['Monday', '4–11PM'], ['Tuesday', '4–11PM'], ['Wednesday', '4–11PM'], ['Thursday', '4–11PM'], ['Friday', '4–11PM'], ['Saturday', '4–11PM'], ['Sunday', 'Closed']]"
0x88fe8c8cd9501407:0x1c0b4de24734dae4,Asian Grill,"Asian Grill, 1115 Central Ave, Summerville, SC 29483",33.0170768,-80.2081682,"['Asian restaurant', 'Chinese restaurant', 'Japanese restaurant']",4.0,88,,"[['Saturday', '11AM–9:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9:30PM']]"
0x88554b830a072071:0xb0e7fe7a47e4ca97,Little Tokyo,"Little Tokyo, 115 E Main St, Latta, SC 29565",34.337219499999996,-79.43182759999999,['Kyoto style Japanese restaurant'],4.5,26,,"[['Saturday', '11:15AM–11:30PM'], ['Sunday', '11:15AM–11:30PM'], ['Monday', '11:15AM–11:30PM'], ['Tuesday', '11:15AM–11:30PM'], ['Wednesday', '11:15AM–11:30PM'], ['Thursday', '11:15AM–11:30PM'], ['Friday', '11:15AM–11:30PM']]"
0x885828cd433cae1d:0x9947ca0c64f1faab,Genji Sushi Express,"Genji Sushi Express, 1140 Woodruff Rd, Greenville, SC 29607",34.8255774,-82.3010094,"['Japanese restaurant', 'Sushi restaurant']",3.8,8,$$,"[['Wednesday', '7AM–10PM'], ['Thursday', '7AM–10PM'], ['Friday', '7AM–10PM'], ['Saturday', '7AM–10PM'], ['Sunday', '7AM–10PM'], ['Monday', '7AM–10PM'], ['Tuesday', '7AM–10PM']]"
0x88fe7b25616940af:0x848cdcb003ec3693,Blackenese Soul Food Hibachi Catering and food stand,"Blackenese Soul Food Hibachi Catering and food stand, 3316 Ashley Phosphate Rd suite 4, North Charleston, SC 29418",32.930317099999996,-80.0727872,"['Cajun restaurant', 'Caterer', 'Japanese restaurant', 'Mobile caterer', 'Soul food restaurant']",3.7,8,,"[['Monday', '11AM–2PM'], ['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM'], ['Saturday', '11AM–2PM'], ['Sunday', 'Closed']]"
0x88586ec6d34fc38f:0xa9710f33d493f146,Japan Grill,"Japan Grill, 3131 N Main St, Anderson, SC 29621",34.5393135,-82.6713188,['Japanese restaurant'],4.2,86,,"[['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', '12–6PM'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM']]"
0x890069a46e4bf6d3:0x1fec3f8b91a54fae,Mitsuwa Japanese Hibachi,"Mitsuwa Japanese Hibachi, 409 S Kings Hwy, Myrtle Beach, SC 29577",33.6825082,-78.8940341,['Japanese restaurant'],4.1,78,,"[['Monday', '11AM–9PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM']]"
0x88fb8935eab40ddf:0x1a3c58a6f7fab549,AKOMEYA Asian Bistro,"South Carolina, Bluffton, Kitties Landing Rd, AKOMEYA Asian Bistro邮政编码: 29910",32.253209,-80.85434149999999,"['Chinese restaurant', 'Japanese restaurant']",4.6,83,,"[['Sunday', '12–9PM'], ['Monday', '11AM–10PM'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
0x88f8af1c5f5b530b:0xf6b7988470bdf396,Hibachi & Sushi Restaurant Tama,"Hibachi & Sushi Restaurant Tama, 2318 Decker Blvd, Columbia, SC 29206",34.0556836,-80.9468431,"['Sushi restaurant', 'Asian restaurant', 'Caterer', 'Japanese restaurant', 'Restaurant']",4.1,8,$$,"[['Saturday', '11:30AM–2PM'], ['Sunday', 'Closed'], ['Monday', '11:30AM–2PM'], ['Tuesday', '11:30AM–2PM'], ['Wednesday', '11:30AM–2PM'], ['Thursday', '11:30AM–2PM'], ['Friday', '11:30AM–2PM']]"
0x88580fbd7d10cf99:0xb1e7705d730c28fe,Kaori Express,"Kaori Express, 124 Church St, Honea Path, SC 29654",34.443340899999995,-82.3906367,['Japanese restaurant'],4.5,46,,"[['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM']]"
0x88f8af15a3f25401:0x9665570cb7da6b0b,Sarku Japan,"Sarku Japan, 7201 Two Notch Rd Space FC-1, Columbia, SC 29223",34.0651849,-80.9615694,"['Japanese restaurant', 'Asian restaurant', 'Fast food restaurant', 'Restaurant', 'Sushi restaurant', 'Teppanyaki restaurant']",4.6,34,$,"[['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM'], ['Sunday', '12–6PM'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM']]"
0x88fe7181a0d495bd:0xf67816802e06f481,Little Miss Ha Vietnamese Cuisine,"Little Miss Ha Vietnamese Cuisine, 915 Houston Northcutt Blvd, Mt Pleasant, SC 29464",32.802588899999996,-79.8883882,"['Restaurant', 'Chinese noodle restaurant', 'Dumpling restaurant', 'Gluten-free restaurant', 'Japanese curry restaurant', 'Udon noodle restaurant', 'Vegan restaurant', 'Vegetarian restaurant', 'Vietnamese restaurant']",4.5,65,,"[['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed']]"
0x88f8d58ed001545f:0xe981cea53f47efac,Tokyo Grill,"Tokyo Grill, 2847 North Rd, Orangeburg, SC 29118",33.5264046,-80.8903186,"['Asian restaurant', 'Japanese restaurant']",4.0,13,$,"[['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM']]"
0x88f9cb7f5e936e93:0xd863909e7c9b0d1a,Tokyo Japanese Restaurant,"Tokyo Japanese Restaurant, 615 E Martintown Rd, North Augusta, SC 29841",33.490464599999996,-81.9515222,['Japanese restaurant'],4.3,78,$,"[['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', 'Closed']]"
0x885560cbc8898e55:0x1efc8e3e26f7007a,Shogun Japanese Steakhouse,"Shogun Japanese Steakhouse, 116 W Kansas Dr, Florence, SC 29505",34.1627417,-79.76636239999999,"['Japanese steakhouse', 'Sushi restaurant']",3.8,98,$$,"[['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM']]"
0x88fe7dd0043fcf8b:0xbdb0c88eabd5735d,Kings Sushi,"Kings Sushi, 1119 Wappoo Rd # H, Charleston, SC 29407, United States",32.7995904,-80.0160798,"['Sushi restaurant', 'Asian restaurant', 'Buffet restaurant', 'Japanese restaurant', 'Seafood restaurant', 'Teppanyaki restaurant']",4.6,274,,"[['Wednesday', '11AM–10:30PM'], ['Thursday', '11AM–10:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–10:30PM'], ['Monday', '11AM–10:30PM'], ['Tuesday', '11AM–10:30PM']]"
0x88f8a206ab81d8f3:0xaf227c8c68fea5c8,Fuji Cafe,"Fuji Cafe, 7320 Broad River Rd # G, Irmo, SC 29063",34.0964741,-81.15728519999999,['Japanese restaurant'],4.3,48,,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '1–10PM'], ['Sunday', '11:30AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]"
0x89000d0c0786c3ef:0xdac911fbf8e3c8ee,Benny's Hibachi,"Benny's Hibachi, 1600 Main St, Conway, SC 29526",33.8502629,-79.0557718,['Japanese restaurant'],4.1,57,,"[['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', '11AM–8PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–8PM']]"
