gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x877d5d1a3414e591:0xfcbeb46d0f6345b6,Fuji Asian Express,"Fuji Asian Express, 2200 N Maple St #608, Rapid City, SD 57701",44.106603199999995,-103.2112358,"['Asian restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.5,47,,"[['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '10AM–9PM'], ['Saturday', '11AM–8PM'], ['Sunday', '11AM–6PM'], ['Monday', '10AM–9PM']]"
0x878fa1a8e207310f:0xa6259ab54166bf37,Tokyo Japanese Cuisine,"Tokyo Japanese Cuisine, 2007 Broadway Ave j, Yankton, SD 57078",42.8899562,-97.3984358,['Japanese restaurant'],4.6,178,,"[['Monday', 'Closed'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–10PM']]"
0x878eb512d0b23d87:0xcf32d44081af4d0,Fancy bowl,"Fancy bowl, 323B S Phillips Ave, Sioux Falls, SD 57104",43.543941,-96.72708279999999,['Japanese restaurant'],4.9,36,,"[['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–9PM']]"
0x52ccd77c45544a87:0x4a4745d80a73e16d,Downtown Sushi Japanese Restaurant,"Downtown Sushi Japanese Restaurant, 18 N Broadway, Watertown, SD 57201",44.9011468,-97.11404309999999,"['Restaurant', 'Japanese restaurant', 'Takeout Restaurant', 'Sushi restaurant']",4.9,98,,"[['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', 'Closed'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM']]"
0x878ec929120f194f:0xa87174b3acf346c,"Lao Szechuan Hot Pot Buffet, all you can eat sushi","Lao Szechuan Hot Pot Buffet, all you can eat sushi, 3101 W 41st St #105, Sioux Falls, SD 57105",43.5142859,-96.76382819999999,"['Restaurant', 'Chinese restaurant', 'Hot pot restaurant', 'Japanese restaurant']",4.4,168,,"[['Friday', '10:30AM–10PM'], ['Saturday', '10:30AM–10PM'], ['Sunday', '10:30AM–9:30PM'], ['Monday', 'Closed'], ['Tuesday', '10:30AM–9:30PM'], ['Wednesday', '10:30AM–9:30PM'], ['Thursday', '10:30AM–9:30PM']]"
0x878ec98bd10fb943:0x631b0d70ef0e3c5b,Fuji Sushi Express,"Fuji Sushi Express, 1770 West Empire Place FC11, Sioux Falls, SD 57105",43.511738,-96.777333,"['Sushi restaurant', 'Japanese restaurant', 'Japanese steakhouse', 'Seafood restaurant']",4.2,206,,"[['Friday', '11AM–8PM'], ['Saturday', '11AM–8PM'], ['Sunday', '12AM–5:30PM'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM'], ['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM']]"
0x5332984aeb53a489:0x88becc5f1ffa39e8,Fujisan,"Fujisan, 126 W Hudson St, Spearfish, SD 57783",44.4890968,-103.8595392,['Japanese restaurant'],4.9,212,$$,"[['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '11:30AM–2:30PM'], ['Sunday', '12–7PM'], ['Monday', 'Closed'], ['Tuesday', '3:30–8PM']]"
0x878eb4058796aa41:0x1e32a3da91a0ce19,Tokyo 26,"Tokyo 26, 4511 E 26th St, Sioux Falls, SD 57110",43.5288998,-96.67019719999999,"['Japanese restaurant', 'Sushi restaurant']",4.4,356,$$,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]"
0x877d5ccea5ee195d:0xf3f4eab4d6d2b934,Ichiban,"Ichiban, 1109 W Omaha St A, Rapid City, SD 57701",44.0839091,-103.2367591,"['Japanese restaurant', 'Sushi restaurant']",4.2,425,$$,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM']]"
0x877d42d17f649b79:0x6a3cd0f3d3c00f95,Sumo Japanese Kitchen,"Sumo Japanese Kitchen, 214 E St Joseph St, Rapid City, SD 57701",44.077397999999995,-103.21155279999999,['Japanese restaurant'],4.6,338,$,"[['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–3PM']]"
