gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x8864665bb7f7a24d:0x3eaaf062ed6f3ec8,Ichiban Japanese Restaurant,"Ichiban Japanese Restaurant, 109 2nd Ave N, Nashville, TN 37201",36.1621368,-86.775656,"['Japanese restaurant', 'Asian restaurant', 'Restaurant', 'Seafood restaurant', 'Sushi restaurant']",4.3,48,$$,"[['Wednesday', '10AM–7PM'], ['Thursday', '10AM–6PM'], ['Friday', '10AM–6PM'], ['Saturday', '10AM–4PM'], ['Sunday', 'Closed'], ['Monday', '10AM–6PM'], ['Tuesday', '10AM–6PM']]"
0x885c143aff2b3931:0xc6a02ace9ff1d737,Sarku Japan,"Sarku Japan, East Towne, 3001 Knoxville Center Dr #2227, Knoxville, TN 37924",36.0340554,-83.8761263,"['Japanese restaurant', 'Asian restaurant', 'Fast food restaurant', 'Restaurant', 'Sushi restaurant', 'Teppanyaki restaurant']",3.9,8,$,"[['Saturday', '10AM–9PM'], ['Sunday', '12–6PM'], ['Monday', '10AM–9PM'], ['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '10AM–9PM']]"
0x887fa2ae5626f697:0xbf587800e7163eda,Iron Chef Sushi & Steakhouse,"Iron Chef Sushi & Steakhouse, 942 W Poplar Ave, Collierville, TN 38017",35.0484977,-89.69250939999999,"['Sushi restaurant', 'Japanese restaurant', 'Japanese steakhouse', 'Tempura restaurant']",4.5,25,,"[['Friday', '11AM–10:30PM'], ['Saturday', '11:30AM–10:30PM'], ['Sunday', '11:30AM–9PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x8864d9d162bb9e37:0x926f326d2526bba,Fujiyama,"Fujiyama, 2257 Wilma Rudolph Blvd #6193, Clarksville, TN 37040",36.5682723,-87.3044795,['Japanese restaurant'],4.9,58,,"[['Tuesday', 'Closed'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–8:30PM'], ['Monday', '11AM–9:30PM']]"
0x885c2e8f581b449f:0x40d8b5b577b9eefb,Kasumi and Thai Cafe,"Kasumi and Thai Cafe, 743 N Campbell Station Rd, Knoxville, TN 37934",35.8972532,-84.17596859999999,"['Chinese restaurant', 'Asian restaurant', 'Japanese restaurant', 'Sushi restaurant', 'Thai restaurant']",3.9,38,$$,"[['Tuesday', 'Closed'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM']]"
0x887f9b08313f0e17:0xca6f8c044aa35894,Zen Japanese fine cuisine,"Zen Japanese fine cuisine, 1730 S Germantown Rd STE 125, Germantown, TN 38138",35.1022232,-89.8038546,['Japanese restaurant'],4.9,24,,"[['Thursday', '4:30–9PM'], ['Friday', '4:30–10PM'], ['Saturday', '4:30–10PM'], ['Sunday', '4:30–9PM'], ['Monday', '4:30–9PM'], ['Tuesday', '4:30–9PM'], ['Wednesday', '4:30–9PM']]"
0x88647988bfbfaf23:0x6236c9b9decb852a,Sarku Japan,"Sarku Japan, Coolsprings Galleria, 1800 Galleria Blvd #3030, Franklin, TN 37067",35.9571209,-86.81353519999999,"['Japanese restaurant', 'Fast food restaurant', 'Restaurant', 'Sushi restaurant', 'Teppanyaki restaurant']",3.6,16,$,"[['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '10AM–9PM'], ['Saturday', '10AM–9PM'], ['Sunday', '12–6PM'], ['Monday', '10AM–9PM']]"
0x8864795de493bb4d:0x515952550ced5ae0,China Panda 珍宝楼 Bamboo House,"China Panda 珍宝楼 Bamboo House, 330 Mayfield Dr A10, Franklin, TN 37067",35.954749299999996,-86.8031573,"['Chinese restaurant', 'Asian restaurant', 'Japanese restaurant', 'Jiangsu restaurant', 'Delivery Restaurant', 'Takeout Restaurant', 'Ramen restaurant', 'Sichuan restaurant']",4.1,182,$,"[['Friday', '10:30AM–9:15PM'], ['Saturday', '10:30AM–9:15PM'], ['Sunday', '3:30–9:15PM'], ['Monday', '10:30AM–9:15PM'], ['Tuesday', '3:30–9:15PM'], ['Wednesday', '10:30AM–9:15PM'], ['Thursday', '10:30AM–9:15PM']]"
0x885c3dcc160b2af7:0xf739617a7604885,Fulin's Asian Cuisine,"Fulin's Asian Cuisine, 120 Merchant Dr, Knoxville, TN 37912",36.0100441,-83.9701919,"['Asian fusion restaurant', 'Asian restaurant', 'Chinese restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant', 'Thai restaurant']",4.1,45,$,"[['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '11AM–9:30PM'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM']]"
0x885c2512b07724a3:0x593482cfa30500cb,Shono's Japanese Grill,"Shono's Japanese Grill, 122 S Peters Rd, Knoxville, TN 37923",35.912206,-84.0810255,"['Japanese restaurant', 'Restaurant']",4.3,48,$,"[['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–8:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–2:30PM']]"
