gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x864be71b9b55ae0f:0xc680a60b338cd5be,Tokyo Express in Greenville,"Tokyo Express in Greenville, 3106 I-30 Frontage Rd W, Greenville, TX 75402",33.097105,-96.1114441,['Japanese restaurant'],4.2,46,,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–8PM'], ['Monday', '11AM–9PM']]"
0x864e9fee68fe9161:0xbcc5f15346b875c2,MANPUKU Japanese Yakiniku Grill,"MANPUKU Japanese Yakiniku Grill, 2023 Greenville Ave, Dallas, TX 75206",32.8152995,-96.7704997,"['Yakiniku restaurant', 'Authentic Japanese restaurant', 'Japanese restaurant']",4.0,58,,"[['Tuesday', '5–11PM'], ['Wednesday', '5–11PM'], ['Thursday', '5–11PM'], ['Friday', '5–11:30PM'], ['Saturday', '12–11:30PM'], ['Sunday', '12–10PM'], ['Monday', '5–11PM']]"
0x864c210fd962b4f1:0xa805e7e97130ee61,Sushi Wasabi,"Sushi Wasabi, 14902 Preston Rd # 1000A, Dallas, TX 75254",32.9526325,-96.8031654,"['Japanese restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Bar', 'Bar & grill', 'Cocktail bar', 'Japanese steakhouse', 'Restaurant', 'Sushi restaurant']",4.0,6,,"[['Saturday', '11AM–10PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–10PM']]"
0x864e8794a499a6bb:0x1e3c7994d0d1c2,Sakari Ramen,"Sakari Ramen, 2625 W Pioneer Pkwy #211, Grand Prairie, TX 75051",32.7099419,-97.04588849999999,['Japanese restaurant'],4.3,6,,"[['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM']]"
0x8640e70b3b882fa5:0x6475bef78d93fa8,Takara,"Takara, 15830 Southwest Fwy Suite 100, Sugar Land, TX 77478",29.601301099999997,-95.62193789999999,"['Asian restaurant', 'Japanese restaurant', 'Seafood restaurant', 'Sushi restaurant']",4.6,36,,"[['Saturday', '11AM–10PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM']]"
0x8641274fa93d4f25:0xf205e1594070a2e9,Zake,"Zake, 23119 Colonial Pkwy Suite A9, Katy, TX 77494",29.793174999999998,-95.77376199999999,['Japanese restaurant'],4.1,27,,"[['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM']]"
0x86fbd94c0fce4ce9:0xfb18b2b4f9bff9a9,Tokyo Express,"Tokyo Express, 4501 W Wadley Ave, Midland, TX 79707",32.0149652,-102.143329,"['Restaurant', 'Japanese restaurant']",4.3,38,,"[['Thursday', '10:30AM–9:30PM'], ['Friday', '10:30AM–9:30PM'], ['Saturday', '10:30AM–9:30PM'], ['Sunday', '10:30AM–9:30PM'], ['Monday', '10:30AM–9:30PM'], ['Tuesday', '10:30AM–9:30PM'], ['Wednesday', '10:30AM–9:30PM']]"
0x865c5f11a698aad7:0x378d402df79b0a5c,Shogun,"Shogun, 7863 Callaghan Rd Suite 101, San Antonio, TX 78229",29.509506199999997,-98.5548341,['Japanese steakhouse'],4.1,62,,"[['Wednesday', '11:30AM–3PM'], ['Thursday', '11:30AM–3PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '11:30AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11:30AM–3PM']]"
0x8644b4fdbc69ee4f:0xfc5e87c2f7b4585e,Zen Japanese Food Fast,"Zen Japanese Food Fast, 1303 S Congress Ave, Austin, TX 78704",30.250819999999997,-97.74897709999999,"['Japanese restaurant', 'Asian restaurant', 'Fast food restaurant', 'Sushi restaurant']",4.1,25,$$,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '10AM–10PM'], ['Sunday', '10AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]"
0x864c6322a6c7c429:0x5119ab8b5e04adef,Namiku Hibachi,"Namiku Hibachi, 1728 S Farm to Market Rd 1417, Sherman, TX 75090",33.6095621,-96.6456477,['Japanese restaurant'],5.0,13,,"[['Monday', 'Closed'], ['Tuesday', '11AM–7:45PM'], ['Wednesday', '11AM–7:45PM'], ['Thursday', '11AM–7:45PM'], ['Friday', '11AM–7:45PM'], ['Saturday', '11AM–7:45PM'], ['Sunday', '11AM–7:45PM']]"
