gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x875261083886b663:0xe08d1df6b3bedd7a,iSushi,"iSushi, 3011 3300 S, Salt Lake City, UT 84109",40.700224399999996,-111.80765269999999,"['Japanese restaurant', 'Restaurant']",4.0,38,$$,"[['Sunday', 'Closed'], ['Monday', '11:30AM–2:30PM'], ['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '11:30AM–2:30PM']]"
0x87530f6cf18ba63b:0x75bce25e801cc2f,Sansei,"Sansei, 3651 Wall Ave # 1054, Ogden, UT 84405",41.1950721,-111.98236109999999,"['Asian restaurant', 'Japanese restaurant']",2.6,18,,"[['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '10AM–9PM'], ['Saturday', '10AM–9PM'], ['Sunday', '11AM–7PM'], ['Monday', '10AM–9PM']]"
0x87526108478e38ef:0x839198551096b3db,BF Sushi,"BF Sushi, 3011 E 3300 S, Salt Lake City, UT 84109",40.70021,-111.80763069999999,"['Japanese restaurant', 'Restaurant']",4.6,48,,"[['Friday', '11:30AM–9PM'], ['Saturday', '12–9PM'], ['Sunday', 'Closed'], ['Monday', '5–9PM'], ['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM']]"
0x874d85be085328a1:0x2f5b4e6312d4ebef,Q One Teriyaki & Sushi Express,"Q One Teriyaki & Sushi Express, 569 N State St, Lindon, UT 84042",40.3483641,-111.72834859999999,"['Sushi restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi takeaway']",5.0,57,,"[['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '12–8PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM']]"
0x8752631dbd2663a9:0x4dd6d2f106a28c11,Mint Tapas and Sushi Holladay,"Mint Tapas and Sushi Holladay, 3158 6200 S Ste B, Holladay, UT 84121",40.6350528,-111.80377039999999,"['Restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Small plates restaurant', 'Sushi restaurant']",4.7,38,,"[['Sunday', '5–9PM'], ['Monday', '5–9PM'], ['Tuesday', '5–9PM'], ['Wednesday', '5–9PM'], ['Thursday', '5–9PM'], ['Friday', '5–9:30PM'], ['Saturday', '5–9:30PM']]"
0x874d974e2617f717:0x5ae2a9c70bd4e9ba,Yummy's Korean BBQ-Food Truck,"Yummy's Korean BBQ-Food Truck, 545 W Columbia Ln, Provo, UT 84604",40.2504474,-111.6683881,"['Korean barbecue restaurant', 'Asian restaurant', 'Barbecue restaurant', 'Hawaiian restaurant', 'Japanese restaurant']",4.5,154,,"[['Monday', 'Closed'], ['Tuesday', 'Closed'], ['Wednesday', '11AM–11:30PM'], ['Thursday', 'Closed'], ['Friday', 'Closed'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]"
0x8752f53d8afc06f5:0x46fc57dcb792de60,Sapa,"Sapa, 722 S State St, Salt Lake City, UT 84111",40.753554099999995,-111.8884772,"['Japanese restaurant', 'Asian restaurant', 'Bar & grill', 'Restaurant', 'Sushi restaurant', 'Vietnamese restaurant']",4.6,2108,$$,"[['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '5–10PM'], ['Sunday', 'Closed'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM']]"
0x874d9b1e4b362fc5:0x7a6cefa3e85ccd06,Ramen 930,"Ramen 930, 719 E University Pkwy, Orem, UT 84097",40.273558799999996,-111.678597,['Japanese restaurant'],4.5,126,,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM']]"
0x87528c9c79789a6d:0xfa8c9905581bcd3,Sushi Monster,"Sushi Monster, 3567 Constitution Blvd, West Valley City, UT 84119, United States",40.6949,-111.95757619999999,"['Restaurant', 'Asian restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.2,682,₩₩,"[['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM']]"
0x8752f59e5c833a09:0xb6cbf7285ed18dd6,Yoshi's Japanese Grill,"Yoshi's Japanese Grill, 516 E 300 S, Salt Lake City, UT 84102, United States",40.7625264,-111.8760765,"['Japanese restaurant', 'Fast food restaurant', 'Restaurant', 'Rice restaurant', 'Sushi restaurant', 'Tofu restaurant', 'Vegan restaurant']",4.5,118,,"[['Tuesday', '11AM–8:30PM'], ['Wednesday', '11AM–8:30PM'], ['Thursday', '11AM–8:30PM'], ['Friday', '11AM–9PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–8:30PM']]"
0x87530f44bcc1accb:0x63744345e2748cf0,Temari,"Temari, 458 40th St, Ogden, UT 84403",41.190705,-111.96953599999999,"['Japanese restaurant', 'Soba noodle shop', 'Sushi restaurant']",5.0,8,$$,"[['Tuesday', '11:30AM–3PM'], ['Wednesday', '11:30AM–3PM'], ['Thursday', '11:30AM–3PM'], ['Friday', '5–8PM'], ['Saturday', '5–8PM'], ['Sunday', 'Closed'], ['Monday', 'Closed']]"
0x87528b49c0617523:0x93143bb54d234e4b,Restaurant & Family Mart - 顺发 亚洲食品批发零售卖场,"Restaurant & Family Mart - 顺发 亚洲食品批发零售卖场, 3435 S Main St, South Salt Lake, UT 84115",40.6967977,-111.8905911,"['Asian grocery store', 'Chinese supermarket', 'Japanese grocery store', 'Korean grocery store', 'Wholesale market']",4.6,48,,"[['Monday', '9AM–8:30PM'], ['Tuesday', '9AM–8:30PM'], ['Wednesday', '9AM–8:30PM'], ['Thursday', '9AM–8:30PM'], ['Friday', '9AM–8:30PM'], ['Saturday', '9AM–8:30PM'], ['Sunday', '10AM–8PM']]"
0x8752621dc33acd1d:0x6c7c8dacee369d59,Jasmine,"Jasmine, 4810 Highland Cir, Salt Lake City, UT 84117",40.6650892,-111.8411125,"['Sushi restaurant', 'Chinese restaurant', 'Japanese restaurant']",3.4,138,$$,"[['Monday', 'Closed'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '4–9:30PM']]"
0x87526b8a73b415b7:0xdb35a6f14b25f53a,Shoyu,"Shoyu, 1612 W Ute Blvd #116, Park City, UT 84098",40.7249511,-111.54249829999999,"['Sushi restaurant', 'Japanese restaurant']",4.4,153,$$,"[['Sunday', '4–8:30PM'], ['Monday', '4–8:30PM'], ['Tuesday', '11:30AM–2PM'], ['Wednesday', '11:30AM–2PM'], ['Thursday', '11:30AM–2PM'], ['Friday', '11:30AM–2PM'], ['Saturday', '4–8:30PM']]"
0x80ca5b98bf2ab8c7:0x95aeb37a9668a5f5,Teriyaki Madness,"Teriyaki Madness, 15 S River Rd Ste 320, St. George, UT 84790",37.1066863,-113.5539474,"['Asian fusion restaurant', 'Caterer', 'Fast food restaurant', 'Gluten-free restaurant', 'Japanese restaurant', 'Restaurant']",3.9,86,$,"[['Sunday', '10:30AM–9PM'], ['Monday', '10:30AM–9PM'], ['Tuesday', '10:30AM–9PM'], ['Wednesday', '10:30AM–9PM'], ['Thursday', '10:30AM–9PM'], ['Friday', '10:30AM–9PM'], ['Saturday', '10:30AM–9PM']]"
0x8753055d361a067d:0x4ca86fbb3e8851a1,MIDORI SUSHI,"MIDORI SUSHI, 5698 S 1900 W, Roy, UT 84067",41.1597266,-112.0256962,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant']",4.4,58,$$,"[['Sunday', 'Closed'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '4–10PM']]"
