gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x4cca7af78ed6ac55:0x304ba4978f4662d3,Gaku Ramen,"Gaku Ramen, 144 Church St, Burlington, VT 05401, United States",44.4763917,-73.2122806,"['Ramen restaurant', 'Asian restaurant', 'Authentic Japanese restaurant']",4.3,629,₩₩,"[['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM']]"
0x89e11ae4bb4f9d59:0x9f605a3c3c3e2677,Panasian Chinese & Japanese Restaurant,"Panasian Chinese & Japanese Restaurant, 766 Putney Rd #6, Brattleboro, VT 05301, United States",42.874306,-72.561616,"['Pan-Asian restaurant', 'Chinese restaurant', 'Japanese restaurant']",4.5,248,₩₩,"[['Monday', 'Closed'], ['Tuesday', '11:30AM–9PM'], ['Wednesday', '11:30AM–9PM'], ['Thursday', '11:30AM–9PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '12–9PM']]"
0x89e11a4fa044ecaf:0xf14bddf7e25d1e58,Shin-La Restaurant & Sushi Bar,"Shin-La Restaurant & Sushi Bar, 57 Main St, Brattleboro, VT 05301",42.851544,-72.55749949999999,"['Korean restaurant', 'Asian restaurant', 'Japanese restaurant', 'Sushi restaurant']",4.3,84,,"[['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM']]"
0x89e02462e220291b:0xee9163a767f6fdf4,Tokyo House,"Tokyo House, 106 West St, Rutland, VT 05701",43.6076778,-72.9796886,['Japanese restaurant'],4.5,228,,"[['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', 'Closed']]"
0x4cca7af796e886fd:0xdf986e5d86a872bc,Bento Japanese Delicatessen,"Bento Japanese Delicatessen, 197 College St, Burlington, VT 05401",44.4769917,-73.21182019999999,"['Japanese restaurant', 'Authentic Japanese restaurant']",4.5,104,,"[['Sunday', '12–9PM'], ['Monday', '11:30AM–9PM'], ['Tuesday', '11:30AM–9PM'], ['Wednesday', '11:30AM–9PM'], ['Thursday', '11:30AM–9PM'], ['Friday', '11:30AM–9PM'], ['Saturday', '12–9PM']]"
0x4cca7760ff9159e3:0x810ab1b1a0e5fc98,"Asian Mart (Fresh vegetables, Japanese, Korean, Indian, Thai, Vietnam)","Asian Mart (Fresh vegetables, Japanese, Korean, Indian, Thai, Vietnam), 60D Pearl St, Essex Junction, VT 05452",44.4925159,-73.1183099,"['Asian grocery store', 'Cooking class', 'Fresh food market', 'Frozen food store', 'Fruit and vegetable store', 'Indian grocery store', 'Japanese grocery store', 'Korean grocery store', 'Nepalese restaurant', 'Seafood market']",4.6,166,,"[['Thursday', '10AM–8PM'], ['Friday', '10AM–8PM'], ['Saturday', '10AM–8PM'], ['Sunday', '10AM–8PM'], ['Monday', '10AM–8PM'], ['Tuesday', '10AM–8PM'], ['Wednesday', '10AM–8PM']]"
0x4cca7af03656d9f1:0x18a35b6a6eca7c08,San Sai Japanese Restaurant,"San Sai Japanese Restaurant, 112 Lake St, Burlington, VT 05401",44.479183,-73.22003699999999,"['Japanese restaurant', 'Asian restaurant', 'Bar', 'Sushi restaurant']",4.2,13,$$,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM']]"
0x4cca78f868b776e7:0x1f49f298d0bb82e,Sakura Sushi & Kitchen,"Sakura Sushi & Kitchen, 19 Taft Corners Shopping Center, Williston, VT 05495",44.4503225,-73.1100104,"['Japanese restaurant', 'Asian restaurant', 'Sushi restaurant']",4.6,138,$$,"[['Thursday', '11AM–8:30PM'], ['Friday', '11AM–8:30PM'], ['Saturday', '11AM–8:30PM'], ['Sunday', 'Closed'], ['Monday', '4–8:30PM'], ['Tuesday', '11AM–8:30PM'], ['Wednesday', '11AM–8:30PM']]"
0x89e02413fca5c9ed:0xc2fbd1a480ce971a,Shang Hai & Tokyo,"Shang Hai & Tokyo, 271 N Main St #208, Rutland, VT 05701",43.628012,-72.976654,"['Chinese restaurant', 'Asian restaurant', 'Japanese restaurant']",3.3,78,$,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]"
0x89e11ac515ecaae9:0x9ef2a5c38c663319,Panda North Chinese And Japanese Restaurant,"Panda North Chinese And Japanese Restaurant, 1332 Putney Rd, Brattleboro, VT 05301",42.8898418,-72.5544869,"['Chinese restaurant', 'Asian restaurant', 'Bar', 'Japanese restaurant']",4.4,455,$$,"[['Tuesday', '11:30AM–9:30PM'], ['Wednesday', '11:30AM–9:30PM'], ['Thursday', '11:30AM–9:30PM'], ['Friday', '11:30AM–9:30PM'], ['Saturday', '11:30AM–9:30PM'], ['Sunday', '11:30AM–9:30PM'], ['Monday', '11:30AM–9:30PM']]"
0x4cca7a326ba0d6fd:0x85c9bd638e0e521f,HANA Japanese Restaurant,"HANA Japanese Restaurant, 150 Dorset St #340, South Burlington, VT 05403",44.465128799999995,-73.1799058,"['Japanese restaurant', 'Asian restaurant', 'Japanese steakhouse', 'Restaurant', 'Sushi restaurant']",4.3,477,$$,"[['Sunday', '12–9:30PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
0x89e0248b2325d2e3:0xf85f1c22ac9d86c9,East Asian Cuisine,"East Asian Cuisine, 283 US-4, Rutland, VT 05701",43.6244841,-72.9518695,"['Chinese restaurant', 'Asian fusion restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.2,284,$$,"[['Sunday', '11:30AM–9PM'], ['Monday', '11:30AM–9PM'], ['Tuesday', 'Closed'], ['Wednesday', '11:30AM–9PM'], ['Thursday', '11:30AM–9PM'], ['Friday', '11:30AM–10PM'], ['Saturday', '11:30AM–10PM']]"
0x4cca7b95d347ab21:0x5622ee004eb9eef8,Koto Japanese Restaurant,"Koto Japanese Restaurant, 792 Shelburne Rd, South Burlington, VT 05403",44.4448413,-73.2089692,"['Japanese restaurant', 'Asian restaurant', 'Bar', 'Restaurant', 'Steak house', 'Sushi restaurant']",4.3,835,$$$,"[['Tuesday', '11:30AM–2:30PM'], ['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '11:30AM–10PM'], ['Sunday', '12–9:30PM'], ['Monday', '11:30AM–2:30PM']]"
