gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x89b07e93cdeaddcd:0x22c89b47849fedeb,First Wok Chinese & Hibachi,"First Wok Chinese & Hibachi, 12917 Jefferson Ave S, Newport News, VA 23608",37.1505335,-76.5307014,"['Chinese takeaway', 'Chinese language instructor', 'Japanese language instructor', 'Restaurant']",3.8,53,$,"[['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '3–10PM'], ['Monday', '11AM–10PM']]"
0x89b2d3d25d66e545:0x791f81b20dde9b18,Kabuto Hibachi Express,"Kabuto Hibachi Express, 14595 Forest Rd, Forest, VA 24551",37.3686463,-79.3001228,['Japanese restaurant'],4.5,36,,"[['Saturday', '4–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–2PM'], ['Tuesday', '11AM–2PM'], ['Wednesday', '11AM–2PM'], ['Thursday', '11AM–2PM'], ['Friday', '11AM–2PM']]"
0x89b644e5520c7ba3:0xcdbd6777380d0b25,Yogi Jogi,"Yogi Jogi, 5900 Centreville Crest Ln, Centreville, VA 20120",38.8379611,-77.43594019999999,"['Asian restaurant', 'Japanese restaurant', 'Korean restaurant']",3.9,48,$$,"[['Monday', '8AM–7PM'], ['Tuesday', '8AM–7PM'], ['Wednesday', '8AM–7PM'], ['Thursday', '8AM–7PM'], ['Friday', '8AM–7PM'], ['Saturday', '8AM–7PM'], ['Sunday', '8AM–7PM']]"
0x89b2d8da047c9bcf:0x9dee36af1094efd0,Koto Grill,"Koto Grill, 4758 S Amherst Hwy, Madison Heights, VA 24572",37.4428511,-79.12035829999999,"['Japanese restaurant', 'Bar', 'Family restaurant', 'Sushi restaurant']",4.3,17,,"[['Monday', 'Closed'], ['Tuesday', '4–10PM'], ['Wednesday', '4–10PM'], ['Thursday', '4–11PM'], ['Friday', '4–11PM'], ['Saturday', '4–11PM'], ['Sunday', 'Closed']]"
0x89b645d58c1bd4db:0xca70c9992c682207,Gaboja II,"Gaboja II, 14245H Centreville Square, Centreville, VA 20121",38.8375272,-77.4390912,"['Sushi restaurant', 'Japanese restaurant', 'Korean restaurant', 'Takeout Restaurant', 'Restaurant', 'Seafood restaurant']",3.3,18,,"[['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM']]"
0x89b1131568ce685d:0x334f0b866397f75f,Rva Onigiri,"Rva Onigiri, 2820 W Cary St #3, Richmond, VA 23221",37.552315899999996,-77.4773093,['Japanese delicatessen'],4.9,38,,"[['Saturday', '11AM–7PM'], ['Sunday', '12–5PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM']]"
0x89b65dc9e925bfb3:0x912d459e437b4942,Wasabiko,"Wasabiko, 7412 Stream Walk Ln, Manassas, VA 20109",38.7963355,-77.5236941,"['Japanese restaurant', 'Sushi restaurant']",4.9,24,,"[['Friday', '10AM–7:30PM'], ['Saturday', '10AM–7:30PM'], ['Sunday', '10AM–7PM'], ['Monday', '10AM–7:30PM'], ['Tuesday', '10AM–7:30PM'], ['Wednesday', '10AM–7:30PM'], ['Thursday', '10AM–7:30PM']]"
0x89b71980e846cce1:0x56c3d50189e41309,Hancho's Hibachi Box,"Hancho's Hibachi Box, 5079 James Madison Pkwy, King George, VA 22485",38.3432319,-77.0672234,['Japanese restaurant'],4.5,25,,"[['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–9PM']]"
0x89b1a5365a23e67d:0x9fe7994603519bec,Lucky Wings & Hibachi,"Lucky Wings & Hibachi, 2138 S Crater Rd, Petersburg, VA 23805",37.2010833,-77.37977289999999,"['Chicken restaurant', 'American restaurant', 'Asian fusion restaurant', 'Fried chicken takeaway', 'Japanese restaurant']",3.5,8,,"[['Monday', 'Closed'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–9PM']]"
0x89b7b728aca9cda1:0xd7c7c7ac51e72d91,Utahime Asian Bistro & Bar,"Utahime Asian Bistro & Bar, 3225 Washington Blvd, Arlington, VA 22201",38.886167,-77.09761379999999,"['Japanese restaurant', 'Asian restaurant', 'Bar', 'Karaoke bar', 'Sushi restaurant']",4.5,27,,"[['Sunday', '11AM–10PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '11AM–2AM']]"
0x89b64d3909c20759:0xda887c7354075dcf,YamaChen's sushi,"YamaChen's sushi, 9650 Main St Ste 41, Fairfax, VA 22031",38.8447025,-77.2756064,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Seafood restaurant']",4.5,58,,"[['Thursday', '11:30AM–3PM'], ['Friday', '11:30AM–3PM'], ['Saturday', '12–10PM'], ['Sunday', '12–10PM'], ['Monday', '11:30AM–3PM'], ['Tuesday', '11:30AM–3PM'], ['Wednesday', '11:30AM–3PM']]"
0x89ba957d75212f91:0xd75ad2ef3dace0bb,Matsu Sushi Bar,"Matsu Sushi Bar, 4312 Holland Rd #107, Virginia Beach, VA 23452",36.82203,-76.123024,"['Japanese restaurant', 'Asian restaurant', 'Bar', 'Restaurant', 'Sushi restaurant']",4.7,26,$$,"[['Wednesday', '11:30AM–2:30PM'], ['Thursday', '11:30AM–2:30PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '4:30–10PM'], ['Sunday', '4:30–9:30PM'], ['Monday', '11:30AM–2:30PM'], ['Tuesday', '11:30AM–2:30PM']]"
