gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x54905b57bd207b65:0x51e7734870181563,Kobo,"Kobo, Seattle, WA 98158",47.4389805,-122.3020483,"['Japanese food', 'Takeout Restaurant', 'Salad shop', 'Sandwich shop', 'Sushi restaurant']",1.7,28,,"[['Tuesday', '4:30AM–12AM'], ['Wednesday', '4:30AM–12AM'], ['Thursday', '4:30AM–12AM'], ['Friday', '4:30AM–12AM'], ['Saturday', '4:30AM–12AM'], ['Sunday', '4:30AM–12AM'], ['Monday', '4:30AM–12AM']]"
0x54906a868e8af8af:0xb83dd8e42a0334a,Hiroshi's,"Hiroshi's, 2521 15th Ave S, Seattle, WA 98144",47.5804538,-122.31370629999999,['Japanese restaurant'],4.1,38,,"[['Tuesday', '11AM–6PM'], ['Wednesday', '11AM–6PM'], ['Thursday', '11AM–6PM'], ['Friday', '11AM–6PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–6PM']]"
0x5491751c7e5a05a5:0xb8dab85f4cb036ce,Inaka Ramen,"Inaka Ramen, 120 5th Ave SW, Olympia, WA 98501",47.044118999999995,-122.90264649999999,"['Ramen restaurant', 'Izakaya restaurant', 'Japanese restaurant']",2.2,28,,"[['Tuesday', '4:30–9PM'], ['Wednesday', '11:15AM–2PM'], ['Thursday', '11:15AM–2PM'], ['Friday', '11:15AM–2PM'], ['Saturday', '11:15AM–2PM'], ['Sunday', '11:15AM–2PM'], ['Monday', '4:30–9PM']]"
0x548553feafbfbceb:0xfc442f72346d34a9,Tokyo Stop Teriyaki in Marysville,"Tokyo Stop Teriyaki in Marysville, 1369 State Ave, Marysville, WA 98270",48.0669185,-122.177336,['Japanese restaurant'],4.6,18,,"[['Tuesday', '11AM–8:30PM'], ['Wednesday', '11AM–8:30PM'], ['Thursday', '11AM–8:30PM'], ['Friday', '11AM–8:30PM'], ['Saturday', '11AM–8:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8:30PM']]"
0x54907184e871b8b3:0xd6b96efed8e5720,Big Fish Sushi,"Big Fish Sushi, 22639 NE Inglewood Hill Rd, Sammamish, WA 98074",47.6155361,-122.03689639999999,"['Japanese restaurant', 'Ramen restaurant', 'Sushi restaurant', 'Sushi takeaway']",4.7,38,,"[['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–9PM']]"
0x549e1de5395e7879:0x157f2d64a558cc48,Avocado Roll Sushi,"Avocado Roll Sushi, 9423 N Division St, Spokane, WA 99218",47.7430022,-117.41204959999999,['Japanese restaurant'],4.8,18,,"[['Wednesday', '11AM–8:30PM'], ['Thursday', '11AM–8:30PM'], ['Friday', '11AM–8:30PM'], ['Saturday', '11AM–8:30PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8:30PM'], ['Tuesday', '11AM–8:30PM']]"
0x549015b9daa72b6b:0x373b9017a50f2b3d,Aoki Sushi & Grill,"Aoki Sushi & Grill, 621 Broadway E, Seattle, WA 98102",47.6249014,-122.32118159999999,"['Restaurant', 'Japanese restaurant', 'Sushi restaurant', 'Sushi takeaway']",4.9,64,$$,"[['Wednesday', '5–9PM'], ['Thursday', '5–9PM'], ['Friday', '4–10PM'], ['Saturday', '4–10PM'], ['Sunday', '4–9PM'], ['Monday', '5–9PM'], ['Tuesday', '5–9PM']]"
0x54906dbaaf77f0cf:0x4a683ea5872b5cf7,Tanpopo,"Tanpopo, 15600 NE 8th St, Bellevue, WA 98008",47.619491599999996,-122.1308591,"['Japanese restaurant', 'Restaurant']",3.5,33,,"[['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–6PM']]"
0x54906fa2a19b58bd:0x3f07046a43b6c436,Orenji Sushi & Noodles,"Orenji Sushi & Noodles, 5625 221st Pl SE unit 120, Issaquah, WA 98027",47.550923999999995,-122.04560599999999,"['Japanese restaurant', 'Noodle shop', 'Ramen restaurant', 'Sushi restaurant']",4.6,458,$$,"[['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM']]"
0x54987b58496b2091:0x74e3e80df9352441,Nikko Japanese Restaurant,"Nikko Japanese Restaurant, 5025 N Rd 68, Pasco, WA 99301",46.2727706,-119.1827005,"['Japanese restaurant', 'Restaurant']",4.8,18,,"[['Tuesday', 'Closed'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM'], ['Friday', '11AM–3PM'], ['Saturday', '12–10PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–3PM']]"
0x5499d79958165e47:0xc7af257ae053d898,sumo hibachi and sushi,"sumo hibachi and sushi, 111 E Yakima Ave, Yakima, WA 98901",46.6025278,-120.50548029999999,['Japanese restaurant'],4.5,53,,"[['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '12–8PM']]"
0x54903782947149e1:0x7856c3e2b7fddea3,Ichizen Restaurant,"Ichizen Restaurant, 200 1st St, Bremerton, WA 98337",47.5636091,-122.6257424,"['Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.7,14,,"[['Saturday', '3–7PM'], ['Sunday', 'Closed'], ['Monday', '10:30AM–7PM'], ['Tuesday', '10:30AM–7PM'], ['Wednesday', '10:30AM–7PM'], ['Thursday', '10:30AM–7PM'], ['Friday', '10:30AM–7PM']]"
0x549058645b3eb859:0x523d928cae8c5974,Sapporo Teriyaki,"Sapporo Teriyaki, 512 Auburn Way N, Auburn, WA 98002",47.3120991,-122.22575669999999,['Japanese restaurant'],4.1,44,$$,"[['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]"
0x549058e4825607a3:0x4f52d06f0894579,Himitsu Sushi & Teriyaki,"Himitsu Sushi & Teriyaki, 3310 Auburn Way N # J, Auburn, WA 98002",47.336515,-122.22125199999999,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant', 'Restaurant']",4.2,18,,"[['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM']]"
0x54904119963d1ec3:0x67a06b4857149272,New Teriyaki & Wok,"New Teriyaki & Wok, 6540 California Ave SW #C, Seattle, WA 98136",47.5437503,-122.3866419,['Japanese restaurant'],4.4,105,$,"[['Wednesday', '11:30AM–8:30PM'], ['Thursday', '11:30AM–8:30PM'], ['Friday', '11:30AM–8:30PM'], ['Saturday', '12–7:30PM'], ['Sunday', 'Closed'], ['Monday', '11:30AM–8:30PM'], ['Tuesday', '11:30AM–8:30PM']]"
0x54906abfdd488895:0xeb2fe6573d1b0acb,Mikado Teppanyaki,"Mikado Teppanyaki, 1306 S King St, Seattle, WA 98144",47.5985139,-122.3138694,"['Japanese restaurant', 'Bar']",4.5,27,$$,"[['Monday', '4:30–9:30PM'], ['Tuesday', '4:30–9:30PM'], ['Wednesday', '4:30–9:30PM'], ['Thursday', '4:30–9:30PM'], ['Friday', '4:30–9:30PM'], ['Saturday', '4:30–9:30PM'], ['Sunday', '4:30–9:30PM']]"
0x54906dbaaf77f0cf:0x44f1d2602174c6fe,Ai Sushi,"Ai Sushi, 15600 NE 8th St, Bellevue, WA 98008",47.6194157,-122.13070019999999,"['Sushi restaurant', 'Asian restaurant', 'Japanese restaurant']",2.7,8,,"[['Saturday', '11AM–10PM'], ['Sunday', '11AM–6PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM']]"
0x548553e0509bf56f:0x73ca9f79d71a55e7,Jackpot Teriyaki,"Jackpot Teriyaki, 8825 34th Ave NE STE J, Tulalip, WA 98271",48.0768541,-122.1867073,['Japanese restaurant'],4.3,65,$,"[['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', 'Closed'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM']]"
0x54900fa9b7f716d1:0x1c205508b93922bb,Sumo Teriyaki,"Sumo Teriyaki, 22833 Bothell Everett Hwy UNIT 105, Bothell, WA 98021",47.7897562,-122.21733739999999,"['Japanese restaurant', 'Asian restaurant', 'Restaurant', 'Sushi restaurant']",4.4,48,,"[['Friday', '11AM–7PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM']]"
0x549059f51bcd5237:0xa8d0990e3e944980,Apple Teriyaki,"Apple Teriyaki, 27400 Pacific Hwy S B, Federal Way, WA 98003",47.3563135,-122.3093237,['Japanese restaurant'],3.8,76,$,"[['Tuesday', '10:30AM–8PM'], ['Wednesday', '10:30AM–8PM'], ['Thursday', '10:30AM–8PM'], ['Friday', '10:30AM–8PM'], ['Saturday', '10:30AM–7PM'], ['Sunday', 'Closed'], ['Monday', '10:30AM–8PM']]"
0x549006d5f2fc0449:0x3f398675775cd891,Express Japan,"Express Japan, 1402 SE Everett Mall Way, Everett, WA 98208",47.9106598,-122.2138415,['Japanese restaurant'],4.1,25,,"[['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM'], ['Sunday', '11AM–6PM']]"
0x549012e9d48cb139:0xe01a88867173d95f,Rikki Rikki Japanese Restaurant,"Rikki Rikki Japanese Restaurant, 442 Parkplace Center, Kirkland, WA 98033",47.678071499999994,-122.19835499999999,"['Japanese restaurant', 'Restaurant']",3.9,28,$$,
0x54906acdcd22e78b:0x5eb998423e14c7f8,Boom Noodle,"Boom Noodle, 1121 E Pike St, Seattle, WA 98122",47.613974999999996,-122.3171778,"['Japanese restaurant', 'Restaurant']",3.5,58,$$,"[['Monday', '11:30AM–10PM'], ['Tuesday', '11:30AM–10PM'], ['Wednesday', '11:30AM–10PM'], ['Thursday', '11:30AM–10PM'], ['Friday', '11:30AM–12AM'], ['Saturday', '11:30AM–12AM'], ['Sunday', '11:30AM–10PM']]"
0x5495a50de6f12307:0x468bc09fe8306d5c,Wagaya Sushi & Grill,"Wagaya Sushi & Grill, 3425 SE 192nd Ave #110, Vancouver, WA 98683",45.5956459,-122.4765243,"['Japanese restaurant', 'Asian fusion restaurant', 'Sushi takeaway']",3.8,38,,"[['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM']]"
0x808e1aff62cbda21:0x41e8b0df1ff943c8,Samurai Sam's,"Samurai Sam's, 8530 W Gage Blvd, Kennewick, WA 99336",46.226856,-119.23637,"['Japanese restaurant', 'Asian fusion restaurant', 'Asian restaurant', 'Chinese restaurant', 'Fast food restaurant', 'Food court', 'Noodle shop', 'Salad shop', 'Thai restaurant']",4.1,18,$,
0x54987aea15d60a47:0x378cbf8eaa7f6f06,Seoul Sushi,"Seoul Sushi, 701 The Pkwy, Richland, WA 99352",46.275085,-119.2745499,"['Sushi restaurant', 'Japanese restaurant']",4.5,24,,"[['Wednesday', '11AM–8PM'], ['Thursday', '11AM–8PM'], ['Friday', '11AM–8PM'], ['Saturday', '11AM–3PM'], ['Sunday', 'Closed'], ['Monday', '11AM–8PM'], ['Tuesday', '11AM–8PM']]"
