gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x8834310a6b18ed3d:0x363f4d0392b150a8,Peking Nagoya,"Peking Nagoya, 254 Three Springs Dr, Weirton, WV 26062",40.3992317,-80.5523773,"['Chinese restaurant', 'Japanese restaurant']",3.9,46,,"[['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', 'Closed']]"
0x88495535a29a131d:0xe72f757e06d6aade,Fujiyama Japanese Steak House (Summerville),"Fujiyama Japanese Steak House (Summerville), 102 Merchant Walk, Summersville, WV 26651, United States",38.2975002,-80.833699,['Japanese restaurant'],4.5,387,$$,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '12–11PM'], ['Sunday', '12–9PM']]"
0x884f2cd2b6317dc5:0xd15b97e8f973cc06,Sakkio Japan,"Sakkio Japan, 2031 Charleston Town Center, Charleston, WV 25389",38.354155399999996,-81.6376817,['Japanese restaurant'],4.1,8,$,
0x88357b7cfb741ce3:0xd620c643bb9bd89e,Yama Japanese Restaurant,"Yama Japanese Restaurant, 387 1/2 High St, Morgantown, WV 26505",39.6309937,-79.9553565,['Japanese restaurant'],4.9,367,$,"[['Thursday', '11:30AM–3PM'], ['Friday', '5–8PM'], ['Saturday', '5–8PM'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '11:30AM–3PM'], ['Wednesday', '11:30AM–3PM']]"
0x884f2cb7c3f7c07f:0xfa4960997efe268e,Umami Sushi & Hibachi Grill,"Umami Sushi & Hibachi Grill, 1401 ዋሺንግቶን መንገድ ምስራቅ, Charleston, WV 25301",38.344845,-81.62477799999999,['Japanese restaurant'],3.7,88,$$,"[['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', 'Closed'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM']]"
0x89c9fb91e7500265:0x7b059f1e6d4b5d0,Kazu,"Kazu, 120 W German St, Shepherdstown, WV 25443",39.431024799999996,-77.8066158,"['Thai restaurant', 'Japanese restaurant']",4.4,178,$$,"[['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–2:30PM'], ['Sunday', '11AM–2:30PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–2:30PM']]"
0x89c9fbf65aaaf997:0xcc53b25ea3cb7016,Kome Thai & Sushi Bistro,"Kome Thai & Sushi Bistro, 120 W German St, Shepherdstown, WV 25443",39.431024799999996,-77.8066158,"['Thai restaurant', 'Japanese restaurant']",4.3,65,,"[['Friday', '11AM–2:30PM'], ['Saturday', '11:30AM–9:30PM'], ['Sunday', '11:30AM–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM']]"
0x884f331cbe92d5bb:0x96feb7465795466,KITA MODERN JAPANESE,"KITA MODERN JAPANESE, 2815 Mountaineer Blvd, Charleston, WV 25309",38.3182702,-81.7190729,['Japanese restaurant'],4.5,153,$$,"[['Friday', '11AM–3PM'], ['Saturday', '12–10PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–3PM'], ['Tuesday', '11AM–3PM'], ['Wednesday', '11AM–3PM'], ['Thursday', '11AM–3PM']]"
0x883564c20b3d1cc9:0x2abe334172426982,Fujiyama,"Fujiyama, 849 Venture Dr, Morgantown, WV 26508",39.649597,-79.8971674,"['Authentic Japanese restaurant', 'Asian restaurant', 'Japanese restaurant', 'Japanese steakhouse', 'Sushi restaurant']",4.4,417,$$,"[['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '12AM–11PM'], ['Sunday', '12AM–10PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM']]"
0x884600895cc5842f:0xeae90622517386b6,Shogun,"Shogun, 3420 US-60, Barboursville, WV 25504",38.4162673,-82.2545995,"['Japanese steakhouse', 'Asian restaurant', 'Brewpub', 'Authentic Japanese restaurant', 'Japanese restaurant', 'Sushi restaurant', 'Wine bar']",4.3,307,$$,"[['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–11PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM']]"
0x89c9f7c876d7c483:0xc0110b72bb19781c,Tokyo Steakhouse,"Tokyo Steakhouse, 5724 Hammonds Mill Rd, Martinsburg, WV 25404",39.54374,-77.907279,"['Japanese restaurant', 'Asian restaurant', 'Steak house', 'Sushi restaurant']",4.4,207,$$,"[['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '12–9PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM']]"
0x884955371c190303:0xbd2db48c2096ee54,Ichiban | Japanese Steakhouse,"Ichiban | Japanese Steakhouse, 1028 Wal St, Summersville, WV 26651",38.3025874,-80.835791,"['Japanese restaurant', 'Japanese steakhouse']",4.3,148,,"[['Thursday', '11AM–9:30PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', 'Open 24 hours'], ['Monday', '11AM–9:30PM'], ['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM']]"
0x89ca03b8fe64bbf5:0x254ed0b7d4ec6051,Kobe Japanese Steak House & Sushi Bar,"Kobe Japanese Steak House & Sushi Bar, 220 Viking Way, Martinsburg, WV 25401",39.4618525,-77.98767289999999,['Japanese restaurant'],4.2,552,$$,"[['Thursday', '4:30–9PM'], ['Friday', '11:30AM–2:30PM'], ['Saturday', '12–10PM'], ['Sunday', '12–9PM'], ['Monday', 'Closed'], ['Tuesday', '4:30–9PM'], ['Wednesday', '11:30AM–2:30PM']]"
0x884609c519245525:0xb6e80745edfdfe38,Taste of Asia,"Taste of Asia, 821 3rd Ave, Huntington, WV 25701",38.4216161,-82.4451048,"['Japanese steakhouse', 'Asian restaurant', 'Bar & grill', 'Chinese restaurant', 'Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.4,568,$$,"[['Tuesday', '10:30AM–9PM'], ['Wednesday', '10:30AM–9PM'], ['Thursday', '10:30AM–2PM'], ['Friday', '10:30AM–10PM'], ['Saturday', '11AM–10PM'], ['Sunday', '11AM–10PM'], ['Monday', '10:30AM–2PM']]"
0x884f3292c9f02bab:0xf390d606798b2e98,Hibachi Japanese Steakhouse,"Hibachi Japanese Steakhouse, 48 RHL Blvd, South Charleston, WV 25309",38.335861799999996,-81.7135509,"['Asian restaurant', 'Japanese restaurant', 'Japanese steakhouse', 'Sushi restaurant']",4.2,648,$$,"[['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM'], ['Saturday', '11AM–11PM'], ['Sunday', '11AM–10PM']]"
