gmap_id,name,address,latitude,longitude,category,avg_rating,num_of_reviews,price,hours
0x880653378b759361:0xe68e68a096e8212f,T Sushi,"T Sushi, 251 State St, Madison, WI 53703",43.074554,-89.389979,"['Japanese restaurant', 'Sushi restaurant']",4.4,5,,
0x8804fffe57e0780d:0x1681b3659f2da777,Teriyaki Madness,"Teriyaki Madness, W182 N9606, Appleton Ave, Germantown, WI 53022",43.192957299999996,-88.13700159999999,"['Asian fusion restaurant', 'Caterer', 'Fast food restaurant', 'Gluten-free restaurant', 'Japanese restaurant', 'Restaurant']",3.1,58,$,"[['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '11AM–9PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM']]"
0x8807afc40fe113db:0xc2e96702c3840cee,FIN SUSHI,"FIN SUSHI, 610 Junction Rd #113, Madison, WI 53717",43.0732541,-89.5266501,['Japanese restaurant'],4.8,64,$,"[['Thursday', '11AM–9PM'], ['Friday', '11AM–9:30PM'], ['Saturday', '11AM–9:30PM'], ['Sunday', '11AM–9PM'], ['Monday', '11AM–9PM'], ['Tuesday', '11AM–9PM'], ['Wednesday', '11AM–9PM']]"
0x880f59bd9339a399:0x255ca31318d14de5,Rise Restaurant,"Rise Restaurant, 541 Kenosha St Unit B, Walworth, WI 53184",42.5307998,-88.58990469999999,['Japanese restaurant'],4.7,15,,"[['Wednesday', '11AM–9PM'], ['Thursday', '11AM–9PM'], ['Friday', '11AM–9PM'], ['Saturday', '4–9PM'], ['Sunday', '4–9PM'], ['Monday', 'Closed'], ['Tuesday', '11AM–9PM']]"
0x88065337b9bf1803:0x2714f1ee4b5395c2,Takara Japanese Restaurant,"Takara Japanese Restaurant, 315 State St, Madison, WI 53703",43.0746781,-89.3907594,"['Japanese restaurant', 'Asian restaurant', 'Sushi restaurant']",3.4,28,$$,"[['Saturday', '11AM–2:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM']]"
0x8804e147bb012649:0x6e236187dd1f6ebf,Ginza Japanese Restaurant,"Ginza Japanese Restaurant, 333 W Brown Deer Rd, Bayside, WI 53217",43.1762057,-87.91057169999999,['Japanese restaurant'],4.2,13,,"[['Tuesday', '11AM–9:30PM'], ['Wednesday', '11AM–9:30PM'], ['Thursday', '11AM–9:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11:30AM–10:30PM'], ['Sunday', '12–9:30PM'], ['Monday', '11AM–9:30PM']]"
0x8807ae58b006b6f5:0x627244a9b37fb9f1,Ginza of Tokyo,"Ginza of Tokyo, 6734 Odana Rd, Madison, WI 53719",43.0572052,-89.49898879999999,['Japanese steakhouse'],4.0,28,$$,"[['Tuesday', '5–9PM'], ['Wednesday', '5–9PM'], ['Thursday', '5–9PM'], ['Friday', '5–10PM'], ['Saturday', '4:30–10PM'], ['Sunday', '4:30–9PM'], ['Monday', '5–9PM']]"
0x87fe91846ea4b05d:0xb9d5d3a2ae96d709,J-Mart Japanese/Asian Grocery Store,"J-Mart Japanese/Asian Grocery Store, 213 N Black River St, Sparta, WI 54656",43.946075,-90.82024489999999,"['Japanese grocery store', 'Asian grocery store', 'Grocery store', 'Snack bar', 'Sushi takeaway']",4.9,18,,"[['Wednesday', '10AM–8PM'], ['Thursday', '10AM–8PM'], ['Friday', '10AM–8PM'], ['Saturday', '9AM–8PM'], ['Sunday', '10AM–6PM'], ['Monday', '10AM–8PM'], ['Tuesday', 'Closed']]"
0x880652d54094aa27:0xbd2226af5d07abfc,Oriental Shop,"Oriental Shop, 1029 S Park St, Madison, WI 53715",43.055661799999996,-89.3974764,"['Japanese grocery store', 'Asian grocery store']",4.8,118,,"[['Wednesday', '12–6PM'], ['Thursday', '12–6PM'], ['Friday', '12–6PM'], ['Saturday', '12–6PM'], ['Sunday', '12–5PM'], ['Monday', '12–6PM'], ['Tuesday', 'Closed']]"
0x8805e0ea4223ecbd:0x3af4385b27e63d55,Tokyo Japanese Cuisine,"Tokyo Japanese Cuisine, 161 W Main St, Whitewater, WI 53190",42.8338634,-88.73142229999999,"['Japanese restaurant', 'Restaurant']",4.2,58,$$,"[['Tuesday', '11:30AM–9PM'], ['Wednesday', '11:30AM–9PM'], ['Thursday', '11:30AM–9PM'], ['Friday', '11:30AM–9:30PM'], ['Saturday', '11:30AM–9:30PM'], ['Sunday', '4:30–9PM'], ['Monday', '11:30AM–9PM']]"
